object,object_source,K_eff,bright_px,basis_pixels,basis_image_size,basis,estimator,N,channel,noise,cnr,psnr,ssim,rel_mse,raw_rel_mse,scale_rel_mse,affine_rel_mse,status,scan,note
letter_A,stage3_handcrafted,1488.3050471268934,1452,16384,128,random_uniform,dgi,16384,static,none,3.3770549297332764,8.047524452209473,0.06832148134708405,1.8540314435958862,0.9998044967651367,0.5475946068763733,0.4557774066925049,ok,keff,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,random_uniform,dgi,16384,static,none,2.4749419689178467,8.209062576293945,0.19718186557292938,0.7100858688354492,0.9999269843101501,0.6038581728935242,0.3882621228694916,ok,keff,
letter_L,stage3_handcrafted,1440.0,1440,16384,128,random_uniform,dgi,16384,static,none,3.4898548126220703,8.135940551757812,0.05939237400889397,1.7476859092712402,0.9998021721839905,0.5507730841636658,0.46052688360214233,ok,keff,
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,16384,static,none,2.9727885723114014,7.659852981567383,0.08096031099557877,1.3073756694793701,0.9998730421066284,0.5661396980285645,0.43461284041404724,ok,keff,
mnist_like_0,mnist,1117.4556485032303,796,16384,128,random_uniform,dgi,16384,static,none,3.783446788787842,10.045511245727539,0.06072279438376427,2.8827364444732666,0.9996330738067627,0.5332044959068298,0.4619596004486084,ok,keff,
mnist_like_1,mnist,2329.1780121819766,1883,16384,128,random_uniform,dgi,16384,static,none,2.7810287475585938,8.444279670715332,0.07727107405662537,1.5590823888778687,0.9998504519462585,0.5644033551216125,0.4260762333869934,ok,keff,
mnist_like_2,mnist,2348.7601027654396,1606,16384,128,random_uniform,dgi,16384,static,none,2.8032453060150146,8.59816837310791,0.09625251591205597,2.019981861114502,0.99983149766922,0.5734978914260864,0.42609068751335144,ok,keff,
mnist_like_3,mnist,1207.2450730465837,861,16384,128,random_uniform,dgi,16384,static,none,3.6572229862213135,8.981103897094727,0.06094104424118996,3.6058695316314697,0.9996505975723267,0.5298395752906799,0.45554783940315247,ok,keff,
mnist_like_4,mnist,3954.57991333285,3315,16384,128,random_uniform,dgi,16384,static,none,2.2623348236083984,8.914134979248047,0.10248144716024399,0.7797235250473022,0.9999242424964905,0.6161993741989136,0.3755311965942383,ok,keff,
mnist_like_5,mnist,2956.309746588698,2243,16384,128,random_uniform,dgi,16384,static,none,2.537637233734131,8.883655548095703,0.1009872779250145,1.2089917659759521,0.9998851418495178,0.5889562964439392,0.4109887182712555,ok,keff,
mnist_like_6,mnist,1865.742134265269,1111,16384,128,random_uniform,dgi,16384,static,none,3.1092021465301514,10.109143257141113,0.09158752113580704,2.2646443843841553,0.9997589588165283,0.5537452697753906,0.43992745876312256,ok,keff,
mnist_like_7,mnist,2165.702469159523,1565,16384,128,random_uniform,dgi,16384,static,none,2.8989005088806152,8.928488731384277,0.08563164621591568,1.8062000274658203,0.9998286962509155,0.5707425475120544,0.4338795244693756,ok,keff,
filled_disk,synthetic_candidate,4044.0,4044,16384,128,random_uniform,dgi,16384,static,none,2.322528600692749,8.208539009094238,0.04989821836352348,0.6120048761367798,0.9999403953552246,0.6260460019111633,0.37617185711860657,ok,keff,
filled_square,synthetic_candidate,4096.0,4096,16384,128,random_uniform,dgi,16384,static,none,2.306636333465576,8.068742752075195,0.05018140375614166,0.6240016222000122,0.9999417066574097,0.6289376020431519,0.3764265179634094,ok,keff,
usaf_like_bars,synthetic_candidate,1456.0,1456,16384,128,random_uniform,dgi,16384,static,none,3.4905996322631836,8.51838207244873,0.11814583837985992,1.5827792882919312,0.9998001456260681,0.5372798442840576,0.4542497396469116,ok,keff,
grayscale_gradient,synthetic_candidate,14011.906691246142,8128,16384,128,random_uniform,dgi,16384,static,none,1.39609694480896,16.654476165771484,0.15838392078876495,0.07390770316123962,0.9999945163726807,0.927834689617157,0.07349080592393875,ok,keff,
grayscale_blob,synthetic_candidate,6527.114243348389,2324,16384,128,random_uniform,dgi,16384,static,none,2.158844232559204,11.090737342834473,0.0828026682138443,0.763653576374054,0.9999411702156067,0.6998376846313477,0.2987644076347351,ok,keff,
fat_cross,synthetic_candidate,6600.0,6600,16384,128,random_uniform,dgi,16384,static,none,2.061951160430908,7.6002020835876465,0.0726495012640953,0.4313758313655853,0.999970018863678,0.6975769996643066,0.29497748613357544,ok,keff,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,random_uniform,dgi,16384,static,none,2.4486329555511475,8.253124237060547,0.19862857460975647,0.7029181718826294,0.9999269843101501,0.6034641861915588,0.39301586151123047,ok,nscan,
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,16384,static,none,3.0018739700317383,7.81320333480835,0.08283723890781403,1.2620173692703247,0.9998711943626404,0.5687176585197449,0.430869460105896,ok,nscan,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,random_uniform,dgi,32768,static,none,3.4768199920654297,9.164275169372559,0.24472244083881378,0.5698882341384888,0.999927282333374,0.4691694974899292,0.25971364974975586,ok,nscan,
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,32768,static,none,4.2328877449035645,9.146574974060059,0.10558987408876419,0.9283850789070129,0.9998704195022583,0.4207697808742523,0.28820130228996277,ok,nscan,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,random_uniform,dgi,65536,static,none,4.8531694412231445,9.243368148803711,0.2742328643798828,0.5596033334732056,0.9999274015426636,0.36708784103393555,0.15746642649173737,ok,nscan,
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,65536,static,none,5.922181129455566,10.562929153442383,0.12725524604320526,0.6700276732444763,0.9998725652694702,0.30607473850250244,0.17425991594791412,ok,nscan,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,random_uniform,dgi,131072,static,none,6.886011123657227,11.646584510803223,0.33878493309020996,0.3217797577381134,0.9999276399612427,0.29881179332733154,0.08702649176120758,ok,nscan,
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,131072,static,none,8.337648391723633,11.777481079101562,0.14430361986160278,0.5065678954124451,0.9998724460601807,0.22668179869651794,0.09767389297485352,ok,nscan,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,random_uniform,dgi,262144,static,none,9.823040962219238,12.761181831359863,0.36790409684181213,0.24894244968891144,0.9999276995658875,0.2581373155117035,0.04592496529221535,ok,nscan,
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,262144,static,none,11.819977760314941,13.631805419921875,0.16298148036003113,0.33052560687065125,0.9998723864555359,0.18049019575119019,0.051681775599718094,ok,nscan,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,random_uniform,dgi,524288,static,none,13.910548210144043,14.856176376342773,0.39760449528694153,0.1536737084388733,0.9999279379844666,0.23715415596961975,0.023629646748304367,ok,nscan,
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,524288,static,none,16.810178756713867,15.620267868041992,0.17890524864196777,0.2091023325920105,0.9998730421066284,0.15705756843090057,0.026435550302267075,ok,nscan,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,random_uniform,dgi,1048576,static,none,19.371570587158203,16.536453247070312,0.41678619384765625,0.10436908155679703,0.9999279379844666,0.22529172897338867,0.012284088879823685,ok,nscan,
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,1048576,static,none,23.56349754333496,17.797563552856445,0.1927834302186966,0.12665705382823944,0.9998729228973389,0.14496994018554688,0.013551803305745125,ok,nscan,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,hadamard_paired,exact_inverse_off_protocol,32768,static,none,200000000.0,80.0,1.0,0.0,0.0,0.0,0.0,ok,estimator,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,srht_paired,exact_inverse_off_protocol,32768,static,none,200000000.0,80.0,1.0,0.0,0.0,0.0,0.0,ok,estimator,
stripe_target,stage3_handcrafted_budgeted_64x64_from_128x128,1105.6190259444697,504,4096,64,random_uniform_budgeted,dgi_protocol_compare,4096,static,none,2.3427329063415527,9.179481506347656,0.20790152251720428,0.7206622362136841,0.7206622362136841,0.5272331833839417,0.3626484274864197,ok,estimator,budgeted_random_ls_off_protocol_downsampled_object
