basis,rho,object,fit_max_W,slope_log_err_vs_log_W,W,object_mean_err,object_std_err,relative_spread
random_binary,0.001,digit_0,32,-0.3994884292076276,4,0.05373031084771436,0.034117276175511614,0.6349726185692248
random_binary,0.001,digit_0,32,-0.3994884292076276,8,0.04017892409888637,0.0253410227076358,0.6307043624480271
random_binary,0.001,digit_0,32,-0.3994884292076276,16,0.029634122037919874,0.017804962224691318,0.6008263785209516
random_binary,0.001,digit_0,32,-0.3994884292076276,32,0.022797136445593984,0.012006569050237361,0.5266700525696014
random_binary,0.001,digit_0,32,-0.3994884292076276,64,0.019764906919555805,0.007737892422281109,0.39149652734387935
random_binary,0.001,digit_0,32,-0.3994884292076276,128,0.019786916902167048,0.0044431644908956,0.2245506216488425
random_binary,0.001,digit_0,32,-0.3994884292076276,256,0.02358324819236051,0.0022954786459554464,0.09733513497513192
random_binary,0.001,digit_0,32,-0.3994884292076276,512,0.03290380116824613,0.0017776768679054352,0.054026489487208104
random_binary,0.001,digit_0,32,-0.3994884292076276,1024,0.04415978475229498,0.0030981990432218318,0.0701588347995926
random_binary,0.001,digit_1,32,-0.4101754158892896,4,0.05373031084771436,0.034117276175511614,0.6349726185692248
random_binary,0.001,digit_1,32,-0.4101754158892896,8,0.04017892409888637,0.0253410227076358,0.6307043624480271
random_binary,0.001,digit_1,32,-0.4101754158892896,16,0.029634122037919874,0.017804962224691318,0.6008263785209516
random_binary,0.001,digit_1,32,-0.4101754158892896,32,0.022797136445593984,0.012006569050237361,0.5266700525696014
random_binary,0.001,digit_1,32,-0.4101754158892896,64,0.019764906919555805,0.007737892422281109,0.39149652734387935
random_binary,0.001,digit_1,32,-0.4101754158892896,128,0.019786916902167048,0.0044431644908956,0.2245506216488425
random_binary,0.001,digit_1,32,-0.4101754158892896,256,0.02358324819236051,0.0022954786459554464,0.09733513497513192
random_binary,0.001,digit_1,32,-0.4101754158892896,512,0.03290380116824613,0.0017776768679054352,0.054026489487208104
random_binary,0.001,digit_1,32,-0.4101754158892896,1024,0.04415978475229498,0.0030981990432218318,0.0701588347995926
random_binary,0.001,digit_2,32,-0.3563877706259976,4,0.05373031084771436,0.034117276175511614,0.6349726185692248
random_binary,0.001,digit_2,32,-0.3563877706259976,8,0.04017892409888637,0.0253410227076358,0.6307043624480271
random_binary,0.001,digit_2,32,-0.3563877706259976,16,0.029634122037919874,0.017804962224691318,0.6008263785209516
random_binary,0.001,digit_2,32,-0.3563877706259976,32,0.022797136445593984,0.012006569050237361,0.5266700525696014
random_binary,0.001,digit_2,32,-0.3563877706259976,64,0.019764906919555805,0.007737892422281109,0.39149652734387935
random_binary,0.001,digit_2,32,-0.3563877706259976,128,0.019786916902167048,0.0044431644908956,0.2245506216488425
random_binary,0.001,digit_2,32,-0.3563877706259976,256,0.02358324819236051,0.0022954786459554464,0.09733513497513192
random_binary,0.001,digit_2,32,-0.3563877706259976,512,0.03290380116824613,0.0017776768679054352,0.054026489487208104
random_binary,0.001,digit_2,32,-0.3563877706259976,1024,0.04415978475229498,0.0030981990432218318,0.0701588347995926
random_binary,0.001,digit_3,32,-0.41692022741706647,4,0.05373031084771436,0.034117276175511614,0.6349726185692248
random_binary,0.001,digit_3,32,-0.41692022741706647,8,0.04017892409888637,0.0253410227076358,0.6307043624480271
random_binary,0.001,digit_3,32,-0.41692022741706647,16,0.029634122037919874,0.017804962224691318,0.6008263785209516
random_binary,0.001,digit_3,32,-0.41692022741706647,32,0.022797136445593984,0.012006569050237361,0.5266700525696014
random_binary,0.001,digit_3,32,-0.41692022741706647,64,0.019764906919555805,0.007737892422281109,0.39149652734387935
random_binary,0.001,digit_3,32,-0.41692022741706647,128,0.019786916902167048,0.0044431644908956,0.2245506216488425
random_binary,0.001,digit_3,32,-0.41692022741706647,256,0.02358324819236051,0.0022954786459554464,0.09733513497513192
random_binary,0.001,digit_3,32,-0.41692022741706647,512,0.03290380116824613,0.0017776768679054352,0.054026489487208104
random_binary,0.001,digit_3,32,-0.41692022741706647,1024,0.04415978475229498,0.0030981990432218318,0.0701588347995926
random_binary,0.001,digit_4,32,-0.4532180441633134,4,0.05373031084771436,0.034117276175511614,0.6349726185692248
random_binary,0.001,digit_4,32,-0.4532180441633134,8,0.04017892409888637,0.0253410227076358,0.6307043624480271
random_binary,0.001,digit_4,32,-0.4532180441633134,16,0.029634122037919874,0.017804962224691318,0.6008263785209516
random_binary,0.001,digit_4,32,-0.4532180441633134,32,0.022797136445593984,0.012006569050237361,0.5266700525696014
random_binary,0.001,digit_4,32,-0.4532180441633134,64,0.019764906919555805,0.007737892422281109,0.39149652734387935
random_binary,0.001,digit_4,32,-0.4532180441633134,128,0.019786916902167048,0.0044431644908956,0.2245506216488425
random_binary,0.001,digit_4,32,-0.4532180441633134,256,0.02358324819236051,0.0022954786459554464,0.09733513497513192
random_binary,0.001,digit_4,32,-0.4532180441633134,512,0.03290380116824613,0.0017776768679054352,0.054026489487208104
random_binary,0.001,digit_4,32,-0.4532180441633134,1024,0.04415978475229498,0.0030981990432218318,0.0701588347995926
random_binary,0.001,letter_A,32,-0.4466233485514304,4,0.05373031084771436,0.034117276175511614,0.6349726185692248
random_binary,0.001,letter_A,32,-0.4466233485514304,8,0.04017892409888637,0.0253410227076358,0.6307043624480271
random_binary,0.001,letter_A,32,-0.4466233485514304,16,0.029634122037919874,0.017804962224691318,0.6008263785209516
random_binary,0.001,letter_A,32,-0.4466233485514304,32,0.022797136445593984,0.012006569050237361,0.5266700525696014
random_binary,0.001,letter_A,32,-0.4466233485514304,64,0.019764906919555805,0.007737892422281109,0.39149652734387935
random_binary,0.001,letter_A,32,-0.4466233485514304,128,0.019786916902167048,0.0044431644908956,0.2245506216488425
random_binary,0.001,letter_A,32,-0.4466233485514304,256,0.02358324819236051,0.0022954786459554464,0.09733513497513192
random_binary,0.001,letter_A,32,-0.4466233485514304,512,0.03290380116824613,0.0017776768679054352,0.054026489487208104
random_binary,0.001,letter_A,32,-0.4466233485514304,1024,0.04415978475229498,0.0030981990432218318,0.0701588347995926
random_binary,0.001,letter_L,32,-0.46851782660209534,4,0.05373031084771436,0.034117276175511614,0.6349726185692248
random_binary,0.001,letter_L,32,-0.46851782660209534,8,0.04017892409888637,0.0253410227076358,0.6307043624480271
random_binary,0.001,letter_L,32,-0.46851782660209534,16,0.029634122037919874,0.017804962224691318,0.6008263785209516
random_binary,0.001,letter_L,32,-0.46851782660209534,32,0.022797136445593984,0.012006569050237361,0.5266700525696014
random_binary,0.001,letter_L,32,-0.46851782660209534,64,0.019764906919555805,0.007737892422281109,0.39149652734387935
random_binary,0.001,letter_L,32,-0.46851782660209534,128,0.019786916902167048,0.0044431644908956,0.2245506216488425
random_binary,0.001,letter_L,32,-0.46851782660209534,256,0.02358324819236051,0.0022954786459554464,0.09733513497513192
random_binary,0.001,letter_L,32,-0.46851782660209534,512,0.03290380116824613,0.0017776768679054352,0.054026489487208104
random_binary,0.001,letter_L,32,-0.46851782660209534,1024,0.04415978475229498,0.0030981990432218318,0.0701588347995926
random_binary,0.001,natural_patch,32,-0.2156822573436917,4,0.05373031084771436,0.034117276175511614,0.6349726185692248
random_binary,0.001,natural_patch,32,-0.2156822573436917,8,0.04017892409888637,0.0253410227076358,0.6307043624480271
random_binary,0.001,natural_patch,32,-0.2156822573436917,16,0.029634122037919874,0.017804962224691318,0.6008263785209516
random_binary,0.001,natural_patch,32,-0.2156822573436917,32,0.022797136445593984,0.012006569050237361,0.5266700525696014
random_binary,0.001,natural_patch,32,-0.2156822573436917,64,0.019764906919555805,0.007737892422281109,0.39149652734387935
random_binary,0.001,natural_patch,32,-0.2156822573436917,128,0.019786916902167048,0.0044431644908956,0.2245506216488425
random_binary,0.001,natural_patch,32,-0.2156822573436917,256,0.02358324819236051,0.0022954786459554464,0.09733513497513192
random_binary,0.001,natural_patch,32,-0.2156822573436917,512,0.03290380116824613,0.0017776768679054352,0.054026489487208104
random_binary,0.001,natural_patch,32,-0.2156822573436917,1024,0.04415978475229498,0.0030981990432218318,0.0701588347995926
random_binary,0.001,ring,32,-0.36621030200150856,4,0.05373031084771436,0.034117276175511614,0.6349726185692248
random_binary,0.001,ring,32,-0.36621030200150856,8,0.04017892409888637,0.0253410227076358,0.6307043624480271
random_binary,0.001,ring,32,-0.36621030200150856,16,0.029634122037919874,0.017804962224691318,0.6008263785209516
random_binary,0.001,ring,32,-0.36621030200150856,32,0.022797136445593984,0.012006569050237361,0.5266700525696014
random_binary,0.001,ring,32,-0.36621030200150856,64,0.019764906919555805,0.007737892422281109,0.39149652734387935
random_binary,0.001,ring,32,-0.36621030200150856,128,0.019786916902167048,0.0044431644908956,0.2245506216488425
random_binary,0.001,ring,32,-0.36621030200150856,256,0.02358324819236051,0.0022954786459554464,0.09733513497513192
random_binary,0.001,ring,32,-0.36621030200150856,512,0.03290380116824613,0.0017776768679054352,0.054026489487208104
random_binary,0.001,ring,32,-0.36621030200150856,1024,0.04415978475229498,0.0030981990432218318,0.0701588347995926
random_binary,0.001,stripe,32,-0.27098783246619595,4,0.05373031084771436,0.034117276175511614,0.6349726185692248
random_binary,0.001,stripe,32,-0.27098783246619595,8,0.04017892409888637,0.0253410227076358,0.6307043624480271
random_binary,0.001,stripe,32,-0.27098783246619595,16,0.029634122037919874,0.017804962224691318,0.6008263785209516
random_binary,0.001,stripe,32,-0.27098783246619595,32,0.022797136445593984,0.012006569050237361,0.5266700525696014
random_binary,0.001,stripe,32,-0.27098783246619595,64,0.019764906919555805,0.007737892422281109,0.39149652734387935
random_binary,0.001,stripe,32,-0.27098783246619595,128,0.019786916902167048,0.0044431644908956,0.2245506216488425
random_binary,0.001,stripe,32,-0.27098783246619595,256,0.02358324819236051,0.0022954786459554464,0.09733513497513192
random_binary,0.001,stripe,32,-0.27098783246619595,512,0.03290380116824613,0.0017776768679054352,0.054026489487208104
random_binary,0.001,stripe,32,-0.27098783246619595,1024,0.04415978475229498,0.0030981990432218318,0.0701588347995926
random_uniform,0.001,digit_0,32,-0.4821626710156806,4,0.03161259522737479,0.020258173581480677,0.6408260200016163
random_uniform,0.001,digit_0,32,-0.4821626710156806,8,0.023719959470410376,0.014817225108522604,0.6246732894719509
random_uniform,0.001,digit_0,32,-0.4821626710156806,16,0.017892964486346925,0.010347968034823685,0.5783260813332309
random_uniform,0.001,digit_0,32,-0.4821626710156806,32,0.014844837850594724,0.006914957359259963,0.4658156208141358
random_uniform,0.001,digit_0,32,-0.4821626710156806,64,0.014274898440496883,0.003921594483597028,0.27471960658380173
random_uniform,0.001,digit_0,32,-0.4821626710156806,128,0.016855571114221753,0.0024361505212168615,0.1445308797137926
random_uniform,0.001,digit_0,32,-0.4821626710156806,256,0.0223456048857799,0.002358733312138252,0.10555692379754204
random_uniform,0.001,digit_0,32,-0.4821626710156806,512,0.03177113146746617,0.0026818924254167443,0.08441287110479583
