unit_index,K,p,N,offset,seed,object_kind,shard,rank_J,expected_rank,local_identifiable,rank_deficit,sv_smallest_informative_ratio,sv_gauge_ratio,rank_threshold,solver_success,best_relmse_T,best_ell_max_err,best_residual,iterations,restarts_used
0,64,3,65,-2,0,smooth_bump,0/2,65,66,False,1,,,5.975451823484971e-08,False,0.13316328685616555,0.08558343221157476,8.840988232839152e-12,130,8
2,64,3,65,-2,2,random_nonneg,0/2,65,66,False,1,,,4.3893209275753e-08,False,0.08330826727585237,0.08357441675220051,0.0038154896443672063,150,8
4,64,3,65,-2,4,random_nonneg,0/2,65,66,False,1,,,4.19045411360604e-08,False,0.6887144898665619,0.2832253283597398,0.002021432636491559,150,8
6,64,3,65,-2,6,random_nonneg,0/2,65,66,False,1,,,3.0356194308254155e-08,False,0.03540630335126748,0.053558129849261706,0.0015591156414523858,150,8
8,64,3,65,-2,8,random_nonneg,0/2,65,66,False,1,,,4.5465737891063954e-08,False,0.014859048028371164,0.026441448358729105,0.000559043038932956,150,8
10,64,3,65,-2,10,random_nonneg,0/2,65,66,False,1,,,3.7559071235676136e-08,False,0.8974677801956263,0.3308125936321831,0.0008029867214542229,150,8
12,64,3,65,-2,12,random_nonneg,0/2,65,66,False,1,,,4.3144195654068696e-08,False,0.3919109859219098,0.11833383214856114,0.001972069012771423,150,8
14,64,3,65,-2,14,random_nonneg,0/2,65,66,False,1,,,4.097230175143212e-08,False,0.03554684930606123,0.05031443466450744,0.003549158189121189,150,8
16,64,3,65,-2,16,random_nonneg,0/2,65,66,False,1,,,5.8105994123059424e-08,False,0.19443447694120403,0.12072392115523087,0.0017433251397273287,150,8
18,64,3,65,-2,18,random_nonneg,0/2,65,66,False,1,,,7.663835309387176e-08,False,0.16656148527619297,0.10703374042723646,0.00302205052952707,150,8
20,64,3,66,-1,0,smooth_bump,0/2,66,66,True,0,0.000894718214937937,,5.264484687543317e-08,False,0.003943329322801,0.028630889771061097,0.00036679968041494044,150,8
22,64,3,66,-1,2,random_nonneg,0/2,66,66,True,0,0.002129585897255086,,3.8483216430591115e-08,False,0.03607549560270569,0.08352928571529229,0.0024691408491645164,150,8
24,64,3,66,-1,4,random_nonneg,0/2,66,66,True,0,0.001971871793443203,,6.011096081962108e-08,False,0.0025520032571384747,0.01507204052722888,0.000713909853408338,150,8
26,64,3,66,-1,6,random_nonneg,0/2,66,66,True,0,0.0017721067769030491,,1.6376235333789332e-07,False,0.05780891126583553,0.1218795404054671,0.0059652262290057385,150,8
28,64,3,66,-1,8,random_nonneg,0/2,66,66,True,0,0.0011801117376950357,,5.250495771635941e-08,False,0.003015884570873269,0.035714883745827465,0.00042247920869438704,150,8
30,64,3,66,-1,10,random_nonneg,0/2,66,66,True,0,0.0003689074658756006,,9.47253716886849e-08,False,0.003990908683719465,0.018888744004376408,0.00013546669085627247,150,8
32,64,3,66,-1,12,random_nonneg,0/2,66,66,True,0,0.001002711947613613,,7.163651655449036e-08,False,0.06912688087595806,0.05483143626664044,0.0020746412658935206,150,8
34,64,3,66,-1,14,random_nonneg,0/2,66,66,True,0,5.971567996466225e-05,,4.153577006364018e-08,False,0.050309884459356934,0.09400185612460166,0.003868232399896017,150,8
36,64,3,66,-1,16,random_nonneg,0/2,66,66,True,0,0.0003562962133160631,,5.712812787727666e-08,False,0.14046785043435855,0.019954416157402455,0.0009760081076811584,150,8
38,64,3,66,-1,18,random_nonneg,0/2,66,66,True,0,0.00045018222398896657,,3.494425131178059e-08,False,0.006981706232959264,0.012770991766210854,0.0006796151538492965,150,8
40,64,3,67,0,0,smooth_bump,0/2,66,66,True,0,0.0017819709345647586,5.609995092027093e-18,1.1858392832504135e-07,False,0.1237829814841677,0.19241516958308502,0.006264541912215631,150,8
42,64,3,67,0,2,random_nonneg,0/2,66,66,True,0,0.002253403068187714,8.469621212001093e-18,6.038685422446569e-08,False,0.0023918227923065494,0.016261815161395465,0.001228939320652733,150,8
44,64,3,67,0,4,random_nonneg,0/2,66,66,True,0,0.0028190992058796643,2.1462223506306086e-17,6.279948738290572e-08,False,4.041625419427849e-06,0.0009119645695829376,9.413455285757388e-05,150,8
46,64,3,67,0,6,random_nonneg,0/2,66,66,True,0,0.002694421292462225,7.746923444564715e-18,6.704063872081181e-08,False,0.0031005160194185174,0.021741115093872415,0.0007934481448985304,150,8
