sample,lambda,b_mean,b_var,b_ks_d,b_ks_p,r_slope,factor_start,factor_end
0,0.9995262026786804,0.9553730487823486,8.882051042746753e-05,0.0035591721534729004,1.0,-0.5649657249450684,1.0,0.0004248227924108505
1,0.999625027179718,0.9648710489273071,9.613258589524776e-05,0.007732182741165161,0.2819736182388501,-0.6455860733985901,1.0,0.002145887352526188
2,0.9998273253440857,0.9611656665802002,0.00010495967580936849,0.00465703010559082,0.9826297428529014,-0.8159244656562805,1.0,0.0590684711933136
3,0.9998131990432739,0.9600818157196045,9.960248280549422e-05,0.0037033557891845703,1.0,-0.8113619685173035,1.0,0.046849675476551056
4,0.9999597072601318,0.9644739627838135,9.190158743876964e-05,0.005624622106552124,0.7092738934847943,-0.4697508215904236,1.0,0.516602635383606
5,0.9998135566711426,0.9519283175468445,0.0001266579347429797,0.005067884922027588,0.8620445241406891,-0.8150666356086731,1.0,0.04713232442736626
6,0.9997991919517517,0.9638444185256958,0.00010720198770286515,0.00378262996673584,1.0,-0.8086894750595093,1.0,0.0372375026345253
7,0.9999416470527649,0.9619577527046204,9.502231841906905e-05,0.004403471946716309,1.0,-0.5924617052078247,1.0,0.38426414132118225
8,0.9996327757835388,0.9449104070663452,0.0001964653201866895,0.0047175586223602295,0.9645279823240213,-0.656091034412384,1.0,0.002435824600979686
9,0.9996203780174255,0.9564468860626221,0.00010359896987210959,0.0045035481452941895,1.0,-0.6425032019615173,1.0,0.00198754551820457
