unit_index,K,p,N,offset,seed,object_kind,shard,rank_J,expected_rank,local_identifiable,rank_deficit,sv_smallest_informative_ratio,sv_gauge_ratio,rank_threshold,solver_success,best_relmse_T,best_ell_max_err,best_residual,iterations,restarts_used
1,128,3,129,-2,1,sparse_spikes,1/2,129,130,False,1,,,8.246417734860972e-08,False,0.023708184949459744,0.042668131106192844,0.0005524919138991168,150,8
3,128,3,129,-2,3,random_nonneg,1/2,129,130,False,1,,,1.2816660377221154e-07,False,0.18528404304217855,0.08084083824192467,0.0023929343585747474,150,8
5,128,3,129,-2,5,random_nonneg,1/2,129,130,False,1,,,6.569391189439981e-08,False,0.19555106762798316,0.12516366940054477,0.0027037461307540776,150,8
7,128,3,129,-2,7,random_nonneg,1/2,129,130,False,1,,,1.2848879286504613e-07,False,0.0773251824291891,0.06614879692195179,0.0005104434227303536,150,8
9,128,3,129,-2,9,random_nonneg,1/2,129,130,False,1,,,7.940984070611743e-08,False,0.4404426213979942,0.19722812094274164,0.005071156767373389,150,8
11,128,3,129,-2,11,random_nonneg,1/2,129,130,False,1,,,1.5124521579997298e-07,False,0.5888639207579859,0.06534462473179775,0.0037726294007662045,150,8
13,128,3,129,-2,13,random_nonneg,1/2,129,130,False,1,,,8.849699985562714e-08,False,0.19324698071250795,0.0710002987544831,0.004008933841469849,150,8
15,128,3,129,-2,15,random_nonneg,1/2,129,130,False,1,,,1.0087550400334963e-07,False,0.5884934373277029,0.2285601089539118,0.008633243170000785,150,8
17,128,3,129,-2,17,random_nonneg,1/2,129,130,False,1,,,8.806093019981225e-08,False,0.5806465665343904,0.16132920614063528,0.006562877636671243,150,8
19,128,3,129,-2,19,random_nonneg,1/2,129,130,False,1,,,1.032069684480147e-07,False,0.008266035171304406,0.03424741948884229,0.00016818231785799807,150,8
21,128,3,129,-2,21,random_nonneg,1/2,129,130,False,1,,,1.1021160794313092e-07,False,0.0820217167734834,0.07347741940168186,0.0013067009622789764,150,8
23,128,3,129,-2,23,random_nonneg,1/2,129,130,False,1,,,1.409660596068388e-07,False,0.04958026359719769,0.03270018590468404,0.000569822396100542,150,8
25,128,3,129,-2,25,random_nonneg,1/2,129,130,False,1,,,8.656546399472121e-08,False,0.09233502687826874,0.06604290141908695,0.0010052979602783382,150,8
27,128,3,129,-2,27,random_nonneg,1/2,129,130,False,1,,,1.1493096753825733e-07,False,0.6815298039252634,0.19443438650055447,0.003829983619298069,150,8
29,128,3,129,-2,29,random_nonneg,1/2,129,130,False,1,,,8.420444579095153e-08,False,0.754822539853003,0.09746553295395971,0.0014645651587787646,150,8
31,128,3,130,-1,1,sparse_spikes,1/2,130,130,True,0,0.0009588633232079973,,6.764576443308088e-08,False,0.2020560383290955,0.059659527408206375,0.0020024307768272873,150,8
33,128,3,130,-1,3,random_nonneg,1/2,130,130,True,0,0.0004176640706991204,,7.820267561404748e-08,False,0.5660077813094592,0.19056730600350136,0.007324525325513145,150,8
