sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,points,rho_min,rho_max
0.05,agc,random_uniform,hadamard_paired,,not_reached,-2.4595959602056237,-10.074254069354076,9,0.001,10.0
0.05,agc,random_binary,hadamard_paired,,not_reached,-1.3548164354726637,-9.836160325673085,9,0.001,10.0
0.05,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.29766435711791317,-2.6417349714677663,9,0.001,10.0
0.05,agc,dct_paired,hadamard_paired,,not_reached,-0.9433456407839316,-2.3935440664135506,9,0.001,10.0
0.05,agc,srht_paired,hadamard_paired,0.001,left_censored,18.68897758964188,1.066900759400836,9,0.001,10.0
0.05,none,random_uniform,hadamard_paired,,not_reached,-3.406570778210533,-26.325981236154433,9,0.001,10.0
0.05,none,random_binary,hadamard_paired,,not_reached,-2.2778772416911153,-25.63959839160127,9,0.001,10.0
0.05,none,fourier_fourstep,hadamard_paired,,not_reached,-1.152899592982978,-20.115329430755374,9,0.001,10.0
0.05,none,dct_paired,hadamard_paired,,not_reached,-0.29459599989213103,-2.6837930661929192,9,0.001,10.0
0.05,none,srht_paired,hadamard_paired,0.08290479383197367,observed,0.1022914004560711,-0.21229090779213777,9,0.001,10.0
0.05,pairwise,dct_paired,hadamard_paired,,not_reached,-1.9125497841737022,-3.0157757612745897,9,0.001,10.0
0.05,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.09094411842961847,0.011371331409257834,9,0.001,10.0
0.05,reference_k2,random_uniform,hadamard_paired,,not_reached,-4.019362787209694,-32.28007830917282,9,0.001,10.0
0.05,reference_k2,random_binary,hadamard_paired,,not_reached,-2.920439649305571,-32.38768497618677,9,0.001,10.0
0.05,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-1.1719241849772803,-27.52576239965894,9,0.001,10.0
0.05,reference_k2,dct_paired,hadamard_paired,,not_reached,-2.1293781124605395,-3.0081433645239315,9,0.001,10.0
0.05,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.07874643676770177,0.013273522818835204,9,0.001,10.0
0.05,reference_k32,random_uniform,hadamard_paired,,not_reached,-3.9807169702070677,-29.297033697191996,9,0.001,10.0
0.05,reference_k32,random_binary,hadamard_paired,,not_reached,-2.796432550983617,-29.36078151538331,9,0.001,10.0
0.05,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-1.140761327495209,-24.48990630283757,9,0.001,10.0
0.05,reference_k32,dct_paired,hadamard_paired,,not_reached,-1.881363544310462,-2.9241552446933383,9,0.001,10.0
0.05,reference_k32,srht_paired,hadamard_paired,0.342559712396932,observed,0.07415546274313911,-0.124849838879733,9,0.001,10.0
