sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,max_margin_db_above_floor,min_margin_db_above_floor,points,above_floor_points,sub_floor_points,rho_min,rho_max,above_floor_rho_min,above_floor_rho_max,above_floor_rel_mse
0.05,agc,random_uniform,hadamard_paired,,not_reached,-2.4595962151267514,-10.074254069354076,-2.4595962151267514,-10.074254069354076,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,agc,random_binary,hadamard_paired,,not_reached,-1.3548166031888922,-9.836160325673085,-1.3548166031888922,-9.836160325673085,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.29766435711791317,-2.6417349714677663,-0.29766435711791317,-2.6417349714677663,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,agc,dct_paired,hadamard_paired,,not_reached,-0.9433456407839316,-2.3935440664135506,-0.9433456407839316,-2.3935440664135506,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,agc,srht_paired,hadamard_paired,0.001,left_censored,18.68897758964188,1.066900887528579,18.68897758964188,1.066900887528579,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,none,random_uniform,hadamard_paired,,not_reached,-3.4065711083492225,-26.325981236154433,-3.4065711083492225,-26.325981236154433,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,none,random_binary,hadamard_paired,,not_reached,-2.2778773779744697,-25.63959839160127,-2.2778773779744697,-25.63959839160127,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,none,fourier_fourstep,hadamard_paired,,not_reached,-1.1528998600220213,-20.115329430755374,-1.1528998600220213,-20.115329430755374,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,none,dct_paired,hadamard_paired,,not_reached,-0.29459599989213103,-2.6837930661929192,-0.29459599989213103,-2.6837930661929192,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,none,srht_paired,hadamard_paired,0.08290479383197367,observed,0.10229150852939384,-0.21229090779213777,0.10229150852939384,-0.21229090779213777,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,pairwise,dct_paired,hadamard_paired,,not_reached,-1.9125499950676765,-3.0157757612745897,-1.9125499950676765,-3.0157757612745897,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.09094445105998261,0.011371331409257834,0.09094445105998261,0.011371331409257834,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k2,random_uniform,hadamard_paired,,not_reached,-4.019362979852657,-32.28007830917282,-4.019362979852657,-32.28007830917282,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k2,random_binary,hadamard_paired,,not_reached,-2.92043964229536,-32.38768497618677,-2.92043964229536,-32.38768497618677,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-1.1719243351062651,-27.52576239965894,-1.1719243351062651,-27.52576239965894,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k2,dct_paired,hadamard_paired,,not_reached,-2.129378105582699,-3.0081433645239315,-2.129378105582699,-3.0081433645239315,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.07874680234969844,0.013273522818835204,0.07874680234969844,0.013273522818835204,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k32,random_uniform,hadamard_paired,,not_reached,-3.9807172271088938,-29.297033697191996,-3.9807172271088938,-29.297033697191996,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k32,random_binary,hadamard_paired,,not_reached,-2.7964326282567775,-29.36078151538331,-2.7964326282567775,-29.36078151538331,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-1.140761520629539,-24.48990630283757,-1.140761520629539,-24.48990630283757,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k32,dct_paired,hadamard_paired,,not_reached,-1.8813636949150911,-2.9241552446933383,-1.8813636949150911,-2.9241552446933383,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k32,srht_paired,hadamard_paired,0.342559712396932,observed,0.07415571274445654,-0.124849838879733,0.07415571274445654,-0.124849838879733,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k8,random_uniform,hadamard_paired,,not_reached,-3.8404798932524713,-29.801148467237045,-3.8404798932524713,-29.801148467237045,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k8,random_binary,hadamard_paired,,not_reached,-2.670561862227906,-29.897231696557746,-2.670561862227906,-29.897231696557746,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-1.2091646792038357,-25.041433128006002,-1.2091646792038357,-25.041433128006002,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k8,dct_paired,hadamard_paired,,not_reached,-1.906297055220156,-3.012366820759709,-1.906297055220156,-3.012366820759709,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,reference_k8,srht_paired,hadamard_paired,0.1082415579557569,observed,0.09171502180540969,-0.0356219954847532,0.09171502180540969,-0.0356219954847532,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-3.4337028008798463,-29.057947099193882,-3.4337028008798463,-29.057947099193882,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,scgi_proxy,random_binary,hadamard_paired,,not_reached,-2.3300113658128705,-29.129219664898248,-2.3300113658128705,-29.129219664898248,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-1.298973627164992,-23.185183075366886,-1.298973627164992,-23.185183075366886,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-1.8978847464915845,-2.8076462512475757,-1.8978847464915845,-2.8076462512475757,9,9,0,0.001,10.0,0.001,10.0,0.5
0.05,scgi_proxy,srht_paired,hadamard_paired,0.09925699067978273,observed,0.09305669108963954,-0.12981097013383902,0.09305669108963954,-0.12981097013383902,9,9,0,0.001,10.0,0.001,10.0,0.5
0.1,agc,random_uniform,hadamard_paired,,not_reached,-0.9204137935991685,-10.12740097669837,-3.5229620518021534,-10.12740097669837,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,agc,random_binary,hadamard_paired,,not_reached,-0.06186980109239393,-9.784275776149308,-2.63892910895075,-9.784275776149308,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.4390665544305197,-2.798189330699813,-0.5409206549397787,-2.798189330699813,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,agc,dct_paired,hadamard_paired,,not_reached,-0.8244197823384969,-2.2721662275821117,-1.0754834664273467,-2.2721662275821117,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,agc,srht_paired,hadamard_paired,0.001,left_censored,13.239969335824163,0.5210717254120869,13.239969335824163,0.6823849736960899,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,none,random_uniform,hadamard_paired,,not_reached,-1.3228174564578694,-21.772910949039545,-4.445826991447962,-21.772910949039545,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,none,random_binary,hadamard_paired,,not_reached,-0.43872917147392165,-20.600914639831288,-3.5453173029763505,-20.600914639831288,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,none,fourier_fourstep,hadamard_paired,,not_reached,-0.3320696074659981,-14.01015028241802,-2.1424295410200127,-14.01015028241802,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,none,dct_paired,hadamard_paired,,not_reached,-0.3522589202679214,-2.3279738660539806,-0.3522589202679214,-2.3279738660539806,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,none,srht_paired,hadamard_paired,0.046420407824143556,observed,0.12818122886316807,-0.18252473076460163,0.12818122886316807,-0.18252473076460163,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,pairwise,dct_paired,hadamard_paired,,not_reached,-0.9227320075599525,-3.0099475931132886,-1.2308618290565843,-3.0099475931132886,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.10975360105931742,0.01442912009532904,0.10975360105931742,0.01442912009532904,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k2,random_uniform,hadamard_paired,,not_reached,-1.6805926323960385,-26.271275122916705,-2.5116797224581937,-26.271275122916705,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k2,random_binary,hadamard_paired,,not_reached,-0.6330064533274609,-26.37357972350521,-1.337179749268664,-26.37357972350521,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.23715758168669865,-21.53189686541928,-0.7480821585493498,-21.53189686541928,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.1361752307664386,-3.007882720051967,-1.5897490046840765,-3.007882720051967,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.09010367271357111,0.014711243980393363,0.08297344064346213,0.014711243980393363,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-1.6157242955001472,-23.48768057003112,-4.6546614486644575,-23.48768057003112,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-0.9059861510409171,-23.422050594663027,-3.8438965355771852,-23.422050594663027,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.3127813443544323,-18.55375837890654,-2.153613906055199,-18.55375837890654,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.8834549391096864,-2.916066798510684,-1.8359966449573282,-2.916066798510684,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k32,srht_paired,hadamard_paired,0.17490124693549938,observed,0.08852456000230013,-0.12106876465260541,0.08707362149954712,-0.12106876465260541,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.5397233770061156,-23.837837789258884,-4.37607705697781,-23.837837789258884,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-0.7759943915557947,-23.897788687258412,-3.310149440554712,-23.897788687258412,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.3659191331614675,-19.08605590106521,-2.1128767064029965,-19.08605590106521,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.906833165653925,-3.008192025385398,-1.9203153215616329,-3.008192025385398,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k8,srht_paired,hadamard_paired,0.03137733773610111,observed,0.12215773931317209,-0.03217034254286233,0.12215773931317209,-0.03217034254286233,9,7,2,0.001,10.0,0.001,1.0,0.5
