sigma_a,correction,challenger,baseline,rho,challenger_psnr,baseline_psnr,margin_db,challenger_rel_mse,baseline_rel_mse,min_rel_mse,above_floor,above_floor_rel_mse
0.05,agc,random_uniform,hadamard_paired,0.001,15.257307471063832,25.022869550948457,-9.765562079884624,0.338463109357477,0.0359533399904432,0.0359533399904432,True,0.5
0.05,agc,random_uniform,hadamard_paired,0.003,15.044743081683418,24.90710763919294,-9.862364557509522,0.3554896661152927,0.0369398140952017,0.0369398140952017,True,0.5
0.05,agc,random_uniform,hadamard_paired,0.01,14.451067573241176,24.52532164259525,-10.074254069354076,0.4077852504908212,0.0403787649727272,0.0403787649727272,True,0.5
0.05,agc,random_uniform,hadamard_paired,0.03,13.555701059883493,23.598586176375477,-10.042885116491984,0.5014582712981016,0.0500840793389777,0.0500840793389777,True,0.5
0.05,agc,random_uniform,hadamard_paired,0.1,12.837916927225008,21.520451688977825,-8.682534761752818,0.5915607798833353,0.0810210242590567,0.0810210242590567,True,0.5
0.05,agc,random_uniform,hadamard_paired,0.3,12.674579034559622,18.88724118345041,-6.212662148890788,0.6141472892417741,0.1486191472413772,0.1486191472413772,True,0.5
0.05,agc,random_uniform,hadamard_paired,1.0,12.636000210313112,16.309370050713117,-3.673369840400005,0.6196190306989509,0.2683963793165558,0.2683963793165558,True,0.5
0.05,agc,random_uniform,hadamard_paired,3.0,12.622045373454798,15.210516406756271,-2.5884710333014738,0.6215964375991311,0.3450292544301597,0.3450292544301597,True,0.5
0.05,agc,random_uniform,hadamard_paired,10.0,12.62052307611146,15.080119036317084,-2.4595959602056237,0.6218083423881965,0.3554576108030907,0.3554576108030907,True,0.5
0.05,agc,random_binary,hadamard_paired,0.001,15.186709225275372,25.022869550948457,-9.836160325673085,0.3438759431608513,0.0359533399904432,0.0359533399904432,True,0.5
0.05,agc,random_binary,hadamard_paired,0.003,15.10458051164516,24.90710763919294,-9.80252712754778,0.3504356801601836,0.0369398140952017,0.0369398140952017,True,0.5
0.05,agc,random_binary,hadamard_paired,0.01,14.855091080253978,24.52532164259525,-9.670230562341274,0.3711648330758201,0.0403787649727272,0.0403787649727272,True,0.5
0.05,agc,random_binary,hadamard_paired,0.03,14.390866316954622,23.598586176375477,-9.207719859420855,0.4131353591124634,0.0500840793389777,0.0500840793389777,True,0.5
0.05,agc,random_binary,hadamard_paired,0.1,13.911818001823148,21.520451688977825,-7.608633687154677,0.461453435056143,0.0810210242590567,0.0810210242590567,True,0.5
0.05,agc,random_binary,hadamard_paired,0.3,13.776673784167178,18.88724118345041,-5.110567399283232,0.4761052164338266,0.1486191472413772,0.1486191472413772,True,0.5
0.05,agc,random_binary,hadamard_paired,1.0,13.731088283195447,16.309370050713117,-2.5782817675176695,0.4811293205643223,0.2683963793165558,0.2683963793165558,True,0.5
0.05,agc,random_binary,hadamard_paired,3.0,13.725158207379494,15.210516406756271,-1.485358199376778,0.4817393884452413,0.3450292544301597,0.3450292544301597,True,0.5
0.05,agc,random_binary,hadamard_paired,10.0,13.72530260084442,15.080119036317084,-1.3548164354726637,0.4817171276965006,0.3554576108030907,0.3554576108030907,True,0.5
0.05,agc,fourier_fourstep,hadamard_paired,0.001,24.725205193830543,25.022869550948457,-0.29766435711791317,0.0388590549157519,0.0359533399904432,0.0359533399904432,True,0.5
0.05,agc,fourier_fourstep,hadamard_paired,0.003,24.44394688420276,24.90710763919294,-0.46316075499018083,0.041406422487576,0.0369398140952017,0.0369398140952017,True,0.5
0.05,agc,fourier_fourstep,hadamard_paired,0.01,23.57008318185619,24.52532164259525,-0.9552384607390607,0.0504867138379921,0.0403787649727272,0.0403787649727272,True,0.5
0.05,agc,fourier_fourstep,hadamard_paired,0.03,21.806006274050205,23.598586176375477,-1.7925799023252722,0.0755517159973019,0.0500840793389777,0.0500840793389777,True,0.5
0.05,agc,fourier_fourstep,hadamard_paired,0.1,18.8871523386273,21.520451688977825,-2.6332993503505264,0.1476706758394125,0.0810210242590567,0.0810210242590567,True,0.5
0.05,agc,fourier_fourstep,hadamard_paired,0.3,16.245506211982644,18.88724118345041,-2.6417349714677663,0.2708858067591655,0.1486191472413772,0.1486191472413772,True,0.5
0.05,agc,fourier_fourstep,hadamard_paired,1.0,14.507866128327034,16.309370050713117,-1.8015039223860825,0.4035599715002835,0.2683963793165558,0.2683963793165558,True,0.5
