sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,points,rho_min,rho_max
0.05,agc,random_uniform,hadamard_paired,,not_reached,-2.4595959602056237,-10.07425383166706,9,0.001,10.0
0.05,agc,random_binary,hadamard_paired,,not_reached,-1.3548164354726637,-9.836159995742895,9,0.001,10.0
0.05,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.2976634495941006,-2.6417347792444197,9,0.001,10.0
0.05,agc,dct_paired,hadamard_paired,,not_reached,-0.9433451350721676,-2.3935437126276256,9,0.001,10.0
0.05,agc,srht_paired,hadamard_paired,0.001,left_censored,18.688975552783628,1.066900759400836,9,0.001,10.0
0.05,none,random_uniform,hadamard_paired,,not_reached,-3.406570778210533,-26.325979519721514,9,0.001,10.0
0.05,none,random_binary,hadamard_paired,,not_reached,-2.2778772416911153,-25.63959678426054,9,0.001,10.0
0.05,none,fourier_fourstep,hadamard_paired,,not_reached,-1.152899592982978,-20.115326740794973,9,0.001,10.0
0.05,none,dct_paired,hadamard_paired,,not_reached,-0.2945943852108073,-2.683792432352181,9,0.001,10.0
0.05,none,srht_paired,hadamard_paired,0.08290471972116432,observed,0.1022914004560711,-0.21229128536226227,9,0.001,10.0
0.05,pairwise,dct_paired,hadamard_paired,,not_reached,-1.9125497841737022,-3.01577541008637,9,0.001,10.0
0.05,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.09094411842961847,0.011374090744268983,9,0.001,10.0
0.05,reference_k2,random_uniform,hadamard_paired,,not_reached,-4.019362787209694,-32.28007545717067,9,0.001,10.0
0.05,reference_k2,random_binary,hadamard_paired,,not_reached,-2.920439649305571,-32.387682438599036,9,0.001,10.0
0.05,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-1.1719241849772803,-27.525758803694487,9,0.001,10.0
0.05,reference_k2,dct_paired,hadamard_paired,,not_reached,-2.1293781124605395,-3.0081432801335097,9,0.001,10.0
0.05,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.07874643676770177,0.013271675209587386,9,0.001,10.0
0.05,reference_k32,random_uniform,hadamard_paired,,not_reached,-3.9807169702070677,-29.297030625412958,9,0.001,10.0
0.05,reference_k32,random_binary,hadamard_paired,,not_reached,-2.796432550983617,-29.36077866382529,9,0.001,10.0
0.05,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-1.140761327495209,-24.4899024339096,9,0.001,10.0
0.05,reference_k32,dct_paired,hadamard_paired,,not_reached,-1.881363544310462,-2.924149980437896,9,0.001,10.0
0.05,reference_k32,srht_paired,hadamard_paired,0.34256129123309353,observed,0.07415546274313911,-0.12484392668885391,9,0.001,10.0
0.05,reference_k8,random_uniform,hadamard_paired,,not_reached,-3.840479597754239,-29.801145382109482,9,0.001,10.0
0.05,reference_k8,random_binary,hadamard_paired,,not_reached,-2.670561683450103,-29.89722895276804,9,0.001,10.0
0.05,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-1.2091644366113385,-25.041429370111057,9,0.001,10.0
0.05,reference_k8,dct_paired,hadamard_paired,,not_reached,-1.906296983758395,-3.01236480537991,9,0.001,10.0
0.05,reference_k8,srht_paired,hadamard_paired,0.10824176173921075,observed,0.0917147899502666,-0.03561689833318127,9,0.001,10.0
0.05,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-3.3275920164226633,-19.029695887387685,9,0.001,10.0
0.05,scgi_frozen,random_binary,hadamard_paired,,not_reached,-2.2244529504688977,-19.082996152772065,9,0.001,10.0
0.05,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-1.1044376565234764,-13.016721535429294,9,0.001,10.0
0.05,scgi_frozen,dct_paired,hadamard_paired,0.001,left_censored,0.7044850535502292,-2.6450282314643765,9,0.001,10.0
0.05,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,9.167116416981735,0.19687742970218913,9,0.001,10.0
0.05,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-3.4337028447908367,-29.05794712421106,9,0.001,10.0
0.05,scgi_proxy,random_binary,hadamard_paired,,not_reached,-2.330011276757636,-29.12922021380362,9,0.001,10.0
0.05,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-1.2989730412332943,-23.185184275282683,9,0.001,10.0
0.05,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-1.8978846961392328,-2.8076485139773553,9,0.001,10.0
0.05,scgi_proxy,srht_paired,hadamard_paired,0.0992565478249223,observed,0.09305635976629745,-0.1298129446239713,9,0.001,10.0
0.1,agc,random_uniform,hadamard_paired,,not_reached,-0.9204137608313321,-10.127401062851966,9,0.001,10.0
0.1,agc,random_binary,hadamard_paired,,not_reached,-0.06186987073952821,-9.78427512923175,9,0.001,10.0
0.1,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.4390665640163469,-2.798188792874072,9,0.001,10.0
0.1,agc,dct_paired,hadamard_paired,,not_reached,-0.8244197611536404,-2.2721655567832,9,0.001,10.0
0.1,agc,srht_paired,hadamard_paired,0.001,left_censored,13.239967306468824,0.5210715754244131,9,0.001,10.0
0.1,none,random_uniform,hadamard_paired,,not_reached,-1.3228173882445269,-21.7729104957768,9,0.001,10.0
0.1,none,random_binary,hadamard_paired,,not_reached,-0.4387291896838814,-20.60091427971448,9,0.001,10.0
0.1,none,fourier_fourstep,hadamard_paired,,not_reached,-0.3320696239485841,-14.010148947067862,9,0.001,10.0
0.1,none,dct_paired,hadamard_paired,,not_reached,-0.352258276004072,-2.327973707707841,9,0.001,10.0
0.1,none,srht_paired,hadamard_paired,0.04642051341121595,observed,0.12818110618756506,-0.1825246811319552,9,0.001,10.0
0.1,pairwise,dct_paired,hadamard_paired,,not_reached,-0.9227320191125603,-3.009945212782121,9,0.001,10.0
0.1,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.1097534369052866,0.014430915309986858,9,0.001,10.0
0.1,reference_k2,random_uniform,hadamard_paired,,not_reached,-1.6805926355092904,-26.27127551212804,9,0.001,10.0
0.1,reference_k2,random_binary,hadamard_paired,,not_reached,-0.6330064872347752,-26.37358031238771,9,0.001,10.0
0.1,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.23715763201985496,-21.531896618532844,9,0.001,10.0
0.1,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.136175261366958,-3.0078845835385053,9,0.001,10.0
0.1,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.09010355489360933,0.014710010594228606,9,0.001,10.0
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-1.6157242553926068,-23.4876783476452,9,0.001,10.0
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-0.9059862138097312,-23.42204867050977,9,0.001,10.0
0.1,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.3127813641305277,-18.553755476450245,9,0.001,10.0
0.1,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.8834548878522916,-2.91606609995128,9,0.001,10.0
0.1,reference_k32,srht_paired,hadamard_paired,0.17490170925471668,observed,0.08852445279462451,-0.12106767660053208,9,0.001,10.0
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.5397233315036871,-23.837836757150548,9,0.001,10.0
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-0.7759943956105122,-23.897787879973986,9,0.001,10.0
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.3659191530626149,-19.086054146116766,9,0.001,10.0
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.9068331203556532,-3.0081903975754614,9,0.001,10.0
0.1,reference_k8,srht_paired,hadamard_paired,0.03137761859431391,observed,0.12215763788368506,-0.03216998935780424,9,0.001,10.0
0.1,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-1.2885282320956843,-17.86647825248742,9,0.001,10.0
0.1,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.42945421250998805,-17.733297760275143,9,0.001,10.0
0.1,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.3779028840924852,-11.503019574248,9,0.001,10.0
0.1,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.4572480480464094,-2.578897426628476,9,0.001,10.0
0.1,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,5.209301339914433,0.15007393422247972,9,0.001,10.0
0.1,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-1.3372489742630282,-23.349516143765747,9,0.001,10.0
0.1,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.47938060841484287,-23.2303022258511,9,0.001,10.0
0.1,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.474579353720479,-17.262483925717024,9,0.001,10.0
0.1,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.9026526889752908,-2.7969568741079414,9,0.001,10.0
0.1,scgi_proxy,srht_paired,hadamard_paired,0.046046184550182195,observed,0.11857682706123462,-0.12244551440208085,9,0.001,10.0
0.15,agc,random_uniform,hadamard_paired,,not_reached,-0.45368108036618615,-10.222977035256156,9,0.001,10.0
0.15,agc,random_binary,hadamard_paired,2.7030059530611297,observed,0.07232582842606661,-9.693985657599923,9,0.001,10.0
0.15,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.22294971679222542,-2.8847671774200823,9,0.001,10.0
