rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,47.67686497802376,2.2525293914694138,0.00019654379688,3.386092247195523e-05,2048,1025,3073
0.001,0.1,srht_paired,reference_k2,41.66117677021357,2.251224981134187,0.0007852497774312,0.000135046840318,2048,1025,3073
0.001,0.15,srht_paired,reference_k2,38.145932534637694,2.249676070087677,0.0017640360191488,0.0003027337467373,2048,1025,3073
0.001,0.3,srht_paired,reference_k2,32.15498362725084,2.2435640642003976,0.0070065107984982,0.0011921295367342,2048,1025,3073
0.001,0.5,srht_paired,reference_k2,27.78018995722637,2.232173028102634,0.0191774395231987,0.0032096236736246,2048,1025,3073
0.003,0.05,srht_paired,reference_k2,42.90914400404114,2.251616105279886,0.0005891387493308,0.0001013757959865,2048,1025,3073
0.003,0.1,srht_paired,reference_k2,36.90021348086888,2.248890860356917,0.0023499952209668,0.0004028642892622,2048,1025,3073
0.003,0.15,srht_paired,reference_k2,33.39501915755806,2.2454334703617618,0.0052665911263808,0.0008984924356841,2048,1025,3073
0.003,0.3,srht_paired,reference_k2,27.45341242421728,2.2308931553531477,0.0206750828608301,0.0034538669725254,2048,1025,3073
0.003,0.5,srht_paired,reference_k2,23.18591568635598,2.202983827829155,0.0551740043195212,0.0088374077723912,2048,1025,3073
0.01,0.05,srht_paired,reference_k2,37.690002579303325,2.2494783891403904,0.0019592899559454,0.0003361846915671,2048,1025,3073
0.01,0.1,srht_paired,reference_k2,31.701887615169365,2.242862842539956,0.0077768033075308,0.0013220020152815,2048,1025,3073
0.01,0.15,srht_paired,reference_k2,28.22872092516192,2.2339296245422733,0.0172968995958981,0.0029026258911086,2048,1025,3073
0.01,0.3,srht_paired,reference_k2,22.444838166590497,2.1952193899354437,0.0654209464878643,0.0103538793457842,2048,1025,3073
0.01,0.5,srht_paired,reference_k2,18.50189464031942,2.125203162617738,0.1617832264722579,0.0228054743922692,2048,1025,3073
0.03,0.05,srht_paired,reference_k2,32.942482923884135,2.245043846430151,0.0058449504687495,0.0009968968419138,2048,1025,3073
0.03,0.1,srht_paired,reference_k2,27.00877056430163,2.229247617927714,0.022902754458143,0.0038178440620468,2048,1025,3073
0.03,0.15,srht_paired,reference_k2,23.6196749036802,2.207342727988826,0.0499382643849714,0.0080548493085376,2048,1025,3073
0.03,0.3,srht_paired,reference_k2,18.226311048902662,2.117963081621984,0.1723410210459709,0.0239904207960035,2048,1025,3073
0.03,0.5,srht_paired,reference_k2,14.962143291469625,1.9880034309612484,0.3640336417150642,0.0390287264081543,2048,1025,3073
0.1,0.05,srht_paired,reference_k2,27.79268020328761,2.2331609344412637,0.0191237058440863,0.0032084574745545,2048,1025,3073
0.1,0.1,srht_paired,reference_k2,22.031907029230773,2.1912087464502945,0.0719375806590263,0.0113237820343564,2048,1025,3073
0.1,0.15,srht_paired,reference_k2,18.89741503931138,2.135965917386159,0.1477568086527705,0.0212378306097608,2048,1025,3073
0.1,0.3,srht_paired,reference_k2,14.484646481803768,1.9606584763476484,0.4060634017704263,0.0408043762148422,2048,1025,3073
0.1,0.5,srht_paired,reference_k2,12.405526456064557,1.8037496775257011,0.6533710688593914,0.0403222332818816,2048,1025,3073
0.3,0.05,srht_paired,reference_k2,23.27843151919769,2.2072318644143034,0.0540242987424023,0.0087342475326475,2048,1025,3073
0.3,0.1,srht_paired,reference_k2,17.93090264280607,2.1127474859322994,0.1844469978660695,0.0254831317080659,2048,1025,3073
0.3,0.15,srht_paired,reference_k2,15.32118499316944,2.0097434847952536,0.3353414433796841,0.0377486731245446,2048,1025,3073
0.3,0.3,srht_paired,reference_k2,12.321112924037498,1.7969805942746062,0.6661020656191907,0.0395852358989144,2048,1025,3073
0.3,0.5,srht_paired,reference_k2,11.262173058966203,1.688412237619352,0.8489567522207832,0.026533457003873,2048,1025,3073
1.0,0.05,srht_paired,reference_k2,19.16335443980068,2.151947786126665,0.1390738657976013,0.0206386571275491,2048,1025,3073
1.0,0.1,srht_paired,reference_k2,14.67584014159327,1.9824347464649723,0.3887819940455664,0.0411312129867676,2048,1025,3073
1.0,0.15,srht_paired,reference_k2,12.878376008108114,1.853908449872019,0.5864163937643345,0.0429467356702685,2048,1025,3073
1.0,0.3,srht_paired,reference_k2,11.250574241192489,1.6907258000763907,0.8512117027576848,0.0261171801182381,2048,1025,3073
1.0,0.5,srht_paired,reference_k2,10.79490407763458,1.6378747839403176,0.9450512955343872,0.0147924310817854,2048,1025,3073
3.0,0.05,srht_paired,reference_k2,17.303541102499114,2.106582278910636,0.2130706003965305,0.0291488638026963,2048,1025,3073
3.0,0.1,srht_paired,reference_k2,13.442136428047386,1.9072652243734507,0.5155541905564778,0.0445052068863458,2048,1025,3073
3.0,0.15,srht_paired,reference_k2,12.079437117097603,1.7872151746522869,0.7040600952886316,0.0390836173055699,2048,1025,3073
3.0,0.3,srht_paired,reference_k2,10.969660697960194,1.6629334021115212,0.9078963448659748,0.0204721959872941,2048,1025,3073
3.0,0.5,srht_paired,pairwise,10.693751603550814,1.6377917730981555,0.9672572861778715,0.0102184320563767,2048,0,2048
10.0,0.05,srht_paired,reference_k2,17.07557945572331,2.0998102258600606,0.2244991500594627,0.0303081724227913,2048,1025,3073
10.0,0.1,srht_paired,reference_k2,13.302661448277703,1.8978233074299105,0.5322668085302322,0.0446009634782227,2048,1025,3073
10.0,0.15,srht_paired,reference_k2,11.993814523501433,1.7798208786216694,0.7179999765979257,0.0383958401229816,2048,1025,3073
10.0,0.3,srht_paired,reference_k2,10.94129963183066,1.660425735354998,0.9138292592619895,0.0198987612580457,2048,1025,3073
10.0,0.5,srht_paired,pairwise,10.686609462626736,1.6369161815299655,0.9688462331132588,0.0099378181617638,2048,0,2048
0.001,0.05,srht_paired,pairwise,44.68678254333784,2.2588231376213974,0.0003913432020998,6.793502728554979e-05,2048,0,2048
0.001,0.1,srht_paired,pairwise,38.67386503914275,2.257891538124257,0.0015625564956945,0.0002709160247023,2048,0,2048
0.001,0.15,srht_paired,pairwise,35.163092041452465,2.256452790189908,0.0035066293086851,0.000606770751579,2048,0,2048
0.001,0.3,srht_paired,pairwise,29.195574820406367,2.24918351348777,0.0138521735988912,0.0023720561438698,2048,0,2048
0.001,0.5,srht_paired,pairwise,24.87412249577328,2.2330955609342498,0.0374442264521053,0.0062610280141927,2048,0,2048
0.003,0.05,srht_paired,pairwise,39.92552536768441,2.258167052016844,0.0011713099751606,0.0002031220451862,2048,0,2048
0.003,0.1,srht_paired,pairwise,33.924591777590535,2.255603603176808,0.0046636229296143,0.0008058496210151,2048,0,2048
0.003,0.15,srht_paired,pairwise,30.43240488022648,2.251559888484663,0.0104201317306209,0.001790120931331,2048,0,2048
0.003,0.3,srht_paired,pairwise,24.558173963158087,2.2312213625544834,0.0402665307287583,0.0067121258619994,2048,0,2048
0.003,0.5,srht_paired,pairwise,20.43698648616943,2.188659549135969,0.1038358134862815,0.0161949149279372,2048,0,2048
0.01,0.05,srht_paired,pairwise,34.7293429479092,2.255782079469466,0.0038747115775926,0.0006690582410934,2048,0,2048
0.01,0.1,srht_paired,pairwise,28.766825307789155,2.2477563318235387,0.0152880872937482,0.0026092453979389,2048,0,2048
0.01,0.15,srht_paired,pairwise,25.334913034953345,2.235186333587845,0.0336764337775797,0.005641081034711,2048,0,2048
0.01,0.3,srht_paired,pairwise,19.75276325137791,2.176333276004104,0.1214945914302824,0.0185472490217163,2048,0,2048
0.01,0.5,srht_paired,pairwise,16.18651598814437,2.074656673787998,0.2752194835259864,0.0349688846300179,2048,0,2048
0.03,0.05,srht_paired,pairwise,30.030913097890757,2.249885623304255,0.011428029257643,0.001954927812963,2048,0,2048
0.03,0.1,srht_paired,pairwise,24.16976586155217,2.227437296721831,0.0440247281083922,0.0072815439189008,2048,0,2048
0.03,0.15,srht_paired,pairwise,20.892819588125477,2.1940850651732218,0.0935037938101178,0.0146766992927411,2048,0,2048
0.03,0.3,srht_paired,pairwise,15.972613386716034,2.0644521962063243,0.2890168162261677,0.0359200989198807,2048,0,2048
0.03,0.5,srht_paired,pairwise,13.358587432160771,1.9101395649062232,0.5255245531253551,0.0448584829754745,2048,0,2048
0.1,0.05,srht_paired,pairwise,25.04987204464169,2.2324878214533714,0.0359556890533167,0.0059894698638065,2048,0,2048
0.1,0.1,srht_paired,pairwise,19.4949074600788,2.169675384820739,0.1288882759464717,0.0194076503979251,2048,0,2048
0.1,0.15,srht_paired,pairwise,16.639228314568246,2.090487603267681,0.2480836349584654,0.0323773323081034,2048,0,2048
0.1,0.3,srht_paired,pairwise,13.060363242124296,1.8853704804975404,0.5625716563721532,0.0441943865321764,2048,0,2048
0.1,0.5,srht_paired,pairwise,11.653020004146008,1.7495401728025026,0.7762408523550407,0.0337699167222931,2048,0,2048
0.3,0.05,srht_paired,pairwise,20.961233591139024,2.197794293217675,0.0920577562897581,0.014550246518705,2048,0,2048
