rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,47.676869495304906,2.2525266671872637,0.000196543579628936,3.3860800077636126e-05,2048,1025,3073
0.001,0.05,hadamard_random_paired,reference_k2,47.66545567813215,2.2549647101830415,0.000197060524601188,3.396865070602374e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,47.66359597248607,2.2504821129542703,0.00019712900193378998,3.389287525906019e-05,2048,1025,3073
0.001,0.05,hadamard_cake_paired,reference_k2,47.65586721426664,2.2529922016113844,0.00019749574959606,3.404413568757032e-05,2048,1025,3073
0.001,0.05,hadamard_sequency_paired,reference_k2,47.655028547322566,2.2543295545319957,0.00019754323521856801,3.412319183454175e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,45.16798525099746,2.250236791724609,0.000350225384109344,6.047974581529626e-05,2048,257,2305
0.001,0.05,hadamard_cake_paired,reference_k8,45.14188794920913,2.246756459587931,0.000352288656464096,6.041460452366416e-05,2048,257,2305
0.001,0.05,hadamard_random_paired,reference_k8,45.13505113439321,2.2573214228229435,0.000352928025297474,6.100478194612362e-05,2048,257,2305
0.001,0.05,srht_paired,reference_k8,45.13236325551271,2.2455702085057405,0.00035303552781574204,6.046319243507979e-05,2048,257,2305
0.001,0.05,hadamard_sequency_paired,reference_k8,45.1289035319285,2.2397970471912663,0.00035321387512751804,5.978710147145058e-05,2048,257,2305
0.001,0.05,srht_paired,pairwise,44.68678231032312,2.2588257018812685,0.000391343266655292,6.793528508968289e-05,2048,0,2048
0.001,0.05,hadamard_random_paired,pairwise,44.67881203138137,2.259833249954523,0.000392074045979214,6.816322020702077e-05,2048,0,2048
0.001,0.05,hadamard_cake_paired,pairwise,44.67769175352273,2.259497447666932,0.000392153335184494,6.800885223181447e-05,2048,0,2048
0.001,0.05,hadamard_sequency_paired,pairwise,44.67758927872685,2.2583193073843875,0.000392156516106038,6.799261614133299e-05,2048,0,2048
0.001,0.05,hadamard_paired,pairwise,44.67541097891386,2.258436167343241,0.000392354157338432,6.802910363451667e-05,2048,0,2048
0.001,0.05,dct_paired,reference_k2,44.65545260796214,2.255814052558193,0.000394136082428378,6.817927292153148e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k32,44.609560757036455,2.216976863889902,0.00039780041902171405,6.573544843463576e-05,2048,65,2113
0.001,0.05,hadamard_sequency_paired,reference_k32,44.599891657983825,2.1964222667281246,0.000398443926792476,6.438514629433151e-05,2048,65,2113
0.001,0.05,hadamard_cake_paired,reference_k32,44.58337982004766,2.197285677871376,0.000399893793426382,6.387403816297668e-05,2048,65,2113
0.001,0.05,srht_paired,reference_k32,44.484710918156715,2.2156193343823047,0.00040925345791749,6.666634798783012e-05,2048,65,2113
0.001,0.05,hadamard_random_paired,reference_k32,44.42925582108007,2.195357293509109,0.000414283701969,6.59819412478649e-05,2048,65,2113
0.001,0.05,hadamard_sequency_paired,scgi_proxy,44.373384871490686,2.196886700063271,0.000419653240681936,6.68688640942186e-05,2048,0,2048
0.001,0.05,hadamard_cake_paired,scgi_proxy,44.37331730285441,2.183528100210503,0.000419545846918576,6.61007207357576e-05,2048,0,2048
0.001,0.05,hadamard_paired,scgi_proxy,44.315032214674865,2.1806492367964707,0.00042522593979723395,6.687487730020382e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_proxy,44.185221244541026,2.1935866698854514,0.00043819606751395,6.923820967820486e-05,2048,0,2048
0.001,0.05,hadamard_random_paired,scgi_proxy,44.13128959534704,2.1874234411967817,0.00044370614858004804,7.058709885959745e-05,2048,0,2048
0.001,0.05,srht_paired,agc,43.711847140590336,2.067926996009427,0.000487243469551628,6.817734156855551e-05,2048,0,2048
0.001,0.05,hadamard_random_paired,agc,43.53261005949339,2.1513776813566037,0.00050942467321246,8.211402906932408e-05,2048,0,2048
0.001,0.05,hadamard_cake_paired,none,42.229985727906545,1.8654633789334472,0.0006906576582033661,0.00013084711525715738,2048,0,2048
0.001,0.05,dct_paired,reference_k8,42.155618430237745,2.2509813449630918,0.000700710422713632,0.00012019890214117695,2048,257,2305
0.001,0.05,hadamard_sequency_paired,none,41.91536480344266,1.9856783723140186,0.000744625729539192,0.00014937183550387364,2048,0,2048
0.001,0.05,dct_paired,reference_k32,41.68540551234312,2.2389802016717506,0.0007803944662792301,0.00013112155486864516,2048,65,2113
0.001,0.05,dct_paired,pairwise,41.65963521763927,2.257096473414822,0.00078565972334908,0.00013600056197859032,2048,0,2048
0.001,0.05,dct_paired,scgi_proxy,41.507385963427296,2.2289408328386213,0.0008125462845226581,0.00013345088201860344,2048,0,2048
0.001,0.05,hadamard_random_paired,none,40.53679504718268,1.8583704196890614,0.001017021874133124,0.00017260305867749712,2048,0,2048
0.001,0.05,hadamard_paired,none,40.38416590737493,2.2634813271459007,0.001103985580128624,0.00042679136637127163,2048,0,2048
0.001,0.05,srht_paired,none,40.32290503559249,2.0030335670879142,0.001072063937875572,0.00020391710090631707,2048,0,2048
0.001,0.05,dct_paired,none,40.0895699074828,2.042363345560678,0.001124567659698716,0.00017259197761384327,2048,0,2048
0.001,0.05,hadamard_paired,agc,25.022869550948457,2.0727539550773852,0.03595333999044322,0.004387501998274721,2048,0,2048
0.001,0.05,fourier_fourstep,agc,24.725205193830543,1.8945195608008645,0.038859054915751964,0.006599855948447269,2048,0,2048
0.001,0.05,hadamard_cake_paired,agc,24.227818825335145,1.7660028890645096,0.04293117069679108,0.0023755436674039797,2048,0,2048
0.001,0.05,hadamard_sequency_paired,agc,24.219885309307788,1.8841246625189143,0.0431452197531977,0.0041251756302123094,2048,0,2048
0.001,0.05,dct_paired,agc,24.079523910164525,1.8408362560838976,0.04453638318261069,0.003980160518038208,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_proxy,21.129849139307986,1.7445376161229664,0.08758375260082824,0.0042680980087921,2048,0,2048
0.001,0.05,fourier_fourstep,none,20.268836476619555,1.706561104976817,0.10673091762638878,0.0038683742157320246,2048,0,2048
0.001,0.05,fourier_fourstep,reference_k2,20.137833572827134,1.693955917904363,0.1099511929957193,0.0022530129440551986,2048,1025,3073
0.001,0.05,fourier_fourstep,reference_k8,20.12655212299146,1.6946235903861926,0.1102382411938917,0.002312325767217009,2048,257,2305
0.001,0.05,fourier_fourstep,reference_k32,20.119654454198884,1.6949005957445267,0.11041463497572349,0.002372255413345959,2048,65,2113
0.001,0.05,random_uniform,reference_k2,15.38351766331325,1.632162806079938,0.3287370743078604,0.012450133371356717,2048,1025,3073
0.001,0.05,random_uniform,reference_k8,15.366836783760416,1.6361430919964652,0.330003036485286,0.012522371901200893,2048,257,2305
0.001,0.05,random_uniform,reference_k32,15.312527059844461,1.643877665301083,0.3341600227486212,0.012791424526951634,2048,65,2113
0.001,0.05,random_binary,reference_k2,15.275910996299304,1.5542197953298194,0.33688721793756743,0.00987127186900153,2048,1025,3073
0.001,0.05,random_binary,reference_k8,15.270753554439715,1.5564624414259776,0.3372859466794002,0.009823586755674138,2048,257,2305
0.001,0.05,random_uniform,agc,15.257307471063832,1.6447870704757284,0.338463109357477,0.013677367276809425,2048,0,2048
0.001,0.05,random_uniform,scgi_proxy,15.257085115480988,1.6448066285301906,0.3384805054625579,0.01368055852555022,2048,0,2048
0.001,0.05,random_binary,reference_k32,15.248779241653148,1.560179839201726,0.33899684898393095,0.009864861846229511,2048,65,2113
0.001,0.05,random_binary,agc,15.186709225275372,1.571778023652055,0.34387594316085135,0.009956315181760699,2048,0,2048
0.001,0.05,random_binary,scgi_proxy,15.185812549776625,1.571890681203441,0.3439439126155008,0.009850230819826939,2048,0,2048
0.001,0.05,random_binary,none,14.744567515773657,1.6468264888622366,0.3809067161928429,0.01610497347826872,2048,0,2048
0.001,0.05,random_uniform,none,14.058184671220495,1.7827781007454648,0.44720910332252795,0.03686760933382434,2048,0,2048
0.001,0.1,srht_paired,reference_k2,41.661177390928636,2.251224902608302,0.0007852496560850961,0.00013504679449581427,2048,1025,3073
0.001,0.1,hadamard_random_paired,reference_k2,41.647728288116625,2.2554987328068723,0.0007877365011876,0.00013588771940975302,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k2,41.64646614694825,2.2496112023549233,0.000787853834222466,0.00013526454830822227,2048,1025,3073
0.001,0.1,hadamard_cake_paired,reference_k2,41.637365932207175,2.252376597323506,0.000789586668392732,0.00013602032766239406,2048,1025,3073
0.001,0.1,hadamard_sequency_paired,reference_k2,41.63634049543245,2.2537526695831547,0.0007898104177309539,0.00013635035162987984,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k8,39.15091920577355,2.249419183836963,0.001399710843846978,0.00024139892277102537,2048,257,2305
0.001,0.1,hadamard_cake_paired,reference_k8,39.12430592993463,2.2460963972083405,0.0014081431639021418,0.00024124537496264767,2048,257,2305
0.001,0.1,hadamard_random_paired,reference_k8,39.12026184384532,2.2575378523323693,0.0014098360146847038,0.00024378470646763999,2048,257,2305
0.001,0.1,srht_paired,reference_k8,39.118748863230685,2.2445287005262897,0.0014098175685258061,0.00024107677109261042,2048,257,2305
0.001,0.1,hadamard_sequency_paired,reference_k8,39.11177180338858,2.238936816342644,0.00141168053638197,0.00023866663844031945,2048,257,2305
0.001,0.1,srht_paired,pairwise,38.673864886840136,2.2578923485970632,0.0015625566709143801,0.00027091683926780283,2048,0,2048
0.001,0.1,hadamard_random_paired,pairwise,38.66444262115797,2.260007697459595,0.001566060507855466,0.00027235476474808565,2048,0,2048
0.001,0.1,hadamard_sequency_paired,pairwise,38.66179351677151,2.2569191166734366,0.0015668105542354421,0.00027119020352379535,2048,0,2048
0.001,0.1,hadamard_cake_paired,pairwise,38.66179027163884,2.2588050915061406,0.0015668623093768818,0.00027136065741440075,2048,0,2048
0.001,0.1,hadamard_paired,pairwise,38.65943576674481,2.2576198525715414,0.0015676763081913158,0.00027137091991516,2048,0,2048
0.001,0.1,dct_paired,reference_k2,38.63858342689628,2.255578132605537,0.001575179149970872,0.00027243553560372594,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k32,38.59343187180295,2.2162084560946362,0.001589517391359882,0.00026237955372673463,2048,65,2113
0.001,0.1,hadamard_sequency_paired,reference_k32,38.585860892436955,2.1949266133496366,0.001591303308150368,0.0002567271213863952,2048,65,2113
0.001,0.1,hadamard_cake_paired,reference_k32,38.56637976019447,2.196921197554118,0.0015982585514648859,0.00025531830754414134,2048,65,2113
0.001,0.1,srht_paired,reference_k32,38.47236310715034,2.2144567453475807,0.001633846324664942,0.0002657378733227862,2048,65,2113
0.001,0.1,hadamard_random_paired,reference_k32,38.42259381619891,2.1933049913733926,0.0016516355649383522,0.0002617768576583164,2048,65,2113
0.001,0.1,hadamard_sequency_paired,scgi_proxy,38.35725046665658,2.195330808706737,0.001676788109003964,0.0002665235973775099,2048,0,2048
0.001,0.1,hadamard_cake_paired,scgi_proxy,38.353691660097255,2.183100779328119,0.0016777294378953799,0.0002637529870388464,2048,0,2048
0.001,0.1,hadamard_paired,scgi_proxy,38.29455947044427,2.1789927944613585,0.001700702101567792,0.00026644642590476164,2048,0,2048
0.001,0.1,srht_paired,scgi_proxy,38.17211241996766,2.1921689844797867,0.001749703315091494,0.0002760368691857954,2048,0,2048
0.001,0.1,hadamard_random_paired,scgi_proxy,38.12365389918362,2.186749741769922,0.0017695680945665402,0.0002817791364417882,2048,0,2048
0.001,0.1,srht_paired,agc,38.08896440135953,2.155135699854006,0.001781994986515606,0.0002724877578897991,2048,0,2048
0.001,0.1,hadamard_random_paired,agc,37.9981366092891,2.1849862456423104,0.0018224625152257021,0.000296756335853613,2048,0,2048
0.001,0.1,dct_paired,reference_k8,36.14272718038815,2.250105512147034,0.0027977788838512117,0.00047937366648302746,2048,257,2305
0.001,0.1,hadamard_cake_paired,none,36.09500969013908,1.893101408688698,0.002842273173400986,0.0005745463697743611,2048,0,2048
0.001,0.1,hadamard_sequency_paired,none,35.80534189386983,2.0071536624959525,0.0030464750670248495,0.0006449895920285086,2048,0,2048
0.001,0.1,dct_paired,reference_k32,35.677365073292265,2.2379023427364366,0.0031124973299010623,0.0005225738456136164,2048,65,2113
