rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,47.676869495304906,2.2525266671872637,0.000196543579628936,3.3860800077636126e-05,2048,1025,3073
0.001,0.05,hadamard_random_paired,reference_k2,47.66545567813215,2.2549647101830415,0.000197060524601188,3.396865070602374e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,47.66359597248607,2.2504821129542703,0.00019712900193378998,3.389287525906019e-05,2048,1025,3073
0.001,0.05,hadamard_cake_paired,reference_k2,47.65586721426664,2.2529922016113844,0.00019749574959606,3.404413568757032e-05,2048,1025,3073
0.001,0.05,hadamard_sequency_paired,reference_k2,47.655028547322566,2.2543295545319957,0.00019754323521856801,3.412319183454175e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,45.16798525099746,2.250236791724609,0.000350225384109344,6.047974581529626e-05,2048,257,2305
0.001,0.05,hadamard_cake_paired,reference_k8,45.14188794920913,2.246756459587931,0.000352288656464096,6.041460452366416e-05,2048,257,2305
0.001,0.05,hadamard_random_paired,reference_k8,45.13505113439321,2.2573214228229435,0.000352928025297474,6.100478194612362e-05,2048,257,2305
0.001,0.05,srht_paired,reference_k8,45.13236325551271,2.2455702085057405,0.00035303552781574204,6.046319243507979e-05,2048,257,2305
0.001,0.05,hadamard_sequency_paired,reference_k8,45.1289035319285,2.2397970471912663,0.00035321387512751804,5.978710147145058e-05,2048,257,2305
0.001,0.05,dct_paired,reference_k2,44.65545260796214,2.255814052558193,0.000394136082428378,6.817927292153148e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k32,44.609560757036455,2.216976863889902,0.00039780041902171405,6.573544843463576e-05,2048,65,2113
0.001,0.05,hadamard_sequency_paired,reference_k32,44.599891657983825,2.1964222667281246,0.000398443926792476,6.438514629433151e-05,2048,65,2113
0.001,0.05,hadamard_cake_paired,reference_k32,44.58337982004766,2.197285677871376,0.000399893793426382,6.387403816297668e-05,2048,65,2113
0.001,0.05,srht_paired,reference_k32,44.484710918156715,2.2156193343823047,0.00040925345791749,6.666634798783012e-05,2048,65,2113
0.001,0.05,hadamard_random_paired,reference_k32,44.42925582108007,2.195357293509109,0.000414283701969,6.59819412478649e-05,2048,65,2113
0.001,0.05,dct_paired,reference_k8,42.155618430237745,2.2509813449630918,0.000700710422713632,0.00012019890214117695,2048,257,2305
0.001,0.05,dct_paired,reference_k32,41.68540551234312,2.2389802016717506,0.0007803944662792301,0.00013112155486864516,2048,65,2113
0.001,0.05,fourier_fourstep,reference_k2,20.137833572827134,1.693955917904363,0.1099511929957193,0.0022530129440551986,2048,1025,3073
0.001,0.05,fourier_fourstep,reference_k8,20.12655212299146,1.6946235903861926,0.1102382411938917,0.002312325767217009,2048,257,2305
0.001,0.05,fourier_fourstep,reference_k32,20.119654454198884,1.6949005957445267,0.11041463497572349,0.002372255413345959,2048,65,2113
0.001,0.05,random_uniform,reference_k2,15.38351766331325,1.632162806079938,0.3287370743078604,0.012450133371356717,2048,1025,3073
0.001,0.05,random_uniform,reference_k8,15.366836783760416,1.6361430919964652,0.330003036485286,0.012522371901200893,2048,257,2305
0.001,0.05,random_uniform,reference_k32,15.312527059844461,1.643877665301083,0.3341600227486212,0.012791424526951634,2048,65,2113
0.001,0.05,random_binary,reference_k2,15.275910996299304,1.5542197953298194,0.33688721793756743,0.00987127186900153,2048,1025,3073
0.001,0.05,random_binary,reference_k8,15.270753554439715,1.5564624414259776,0.3372859466794002,0.009823586755674138,2048,257,2305
0.001,0.05,random_binary,reference_k32,15.248779241653148,1.560179839201726,0.33899684898393095,0.009864861846229511,2048,65,2113
0.001,0.1,srht_paired,reference_k2,41.661177390928636,2.251224902608302,0.0007852496560850961,0.00013504679449581427,2048,1025,3073
0.001,0.1,hadamard_random_paired,reference_k2,41.647728288116625,2.2554987328068723,0.0007877365011876,0.00013588771940975302,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k2,41.64646614694825,2.2496112023549233,0.000787853834222466,0.00013526454830822227,2048,1025,3073
0.001,0.1,hadamard_cake_paired,reference_k2,41.637365932207175,2.252376597323506,0.000789586668392732,0.00013602032766239406,2048,1025,3073
0.001,0.1,hadamard_sequency_paired,reference_k2,41.63634049543245,2.2537526695831547,0.0007898104177309539,0.00013635035162987984,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k8,39.15091920577355,2.249419183836963,0.001399710843846978,0.00024139892277102537,2048,257,2305
0.001,0.1,hadamard_cake_paired,reference_k8,39.12430592993463,2.2460963972083405,0.0014081431639021418,0.00024124537496264767,2048,257,2305
0.001,0.1,hadamard_random_paired,reference_k8,39.12026184384532,2.2575378523323693,0.0014098360146847038,0.00024378470646763999,2048,257,2305
0.001,0.1,srht_paired,reference_k8,39.118748863230685,2.2445287005262897,0.0014098175685258061,0.00024107677109261042,2048,257,2305
0.001,0.1,hadamard_sequency_paired,reference_k8,39.11177180338858,2.238936816342644,0.00141168053638197,0.00023866663844031945,2048,257,2305
0.001,0.1,dct_paired,reference_k2,38.63858342689628,2.255578132605537,0.001575179149970872,0.00027243553560372594,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k32,38.59343187180295,2.2162084560946362,0.001589517391359882,0.00026237955372673463,2048,65,2113
0.001,0.1,hadamard_sequency_paired,reference_k32,38.585860892436955,2.1949266133496366,0.001591303308150368,0.0002567271213863952,2048,65,2113
0.001,0.1,hadamard_cake_paired,reference_k32,38.56637976019447,2.196921197554118,0.0015982585514648859,0.00025531830754414134,2048,65,2113
0.001,0.1,srht_paired,reference_k32,38.47236310715034,2.2144567453475807,0.001633846324664942,0.0002657378733227862,2048,65,2113
0.001,0.1,hadamard_random_paired,reference_k32,38.42259381619891,2.1933049913733926,0.0016516355649383522,0.0002617768576583164,2048,65,2113
0.001,0.1,dct_paired,reference_k8,36.14272718038815,2.250105512147034,0.0027977788838512117,0.00047937366648302746,2048,257,2305
0.001,0.1,dct_paired,reference_k32,35.677365073292265,2.2379023427364366,0.0031124973299010623,0.0005225738456136164,2048,65,2113
0.001,0.1,fourier_fourstep,reference_k2,20.114569281528972,1.694811244436468,0.11054256945427846,0.0023050830131202834,2048,1025,3073
0.001,0.1,fourier_fourstep,reference_k8,20.064863304708336,1.6977103855982434,0.11181967293248593,0.0025518003084671077,2048,257,2305
0.001,0.1,fourier_fourstep,reference_k32,20.039673492896412,1.6989161605302177,0.11247376762520502,0.002724028969594859,2048,65,2113
0.001,0.1,random_uniform,reference_k2,15.375191024031542,1.6336583599676444,0.3293699144598506,0.012525878902791747,2048,1025,3073
0.001,0.1,random_uniform,reference_k8,15.313081416514665,1.6456675066091944,0.3341194458407587,0.01284506339236561,2048,257,2305
0.001,0.1,random_binary,reference_k2,15.27288642344304,1.5543081365599436,0.33712144614018486,0.009862451000505075,2048,1025,3073
0.001,0.1,random_binary,reference_k8,15.253130518515135,1.5602362611739358,0.338654254154309,0.009747590876125919,2048,257,2305
0.001,0.1,random_binary,reference_k32,15.171381277139922,1.5732082254347783,0.34508531752871346,0.00976788796548928,2048,65,2113
0.001,0.1,random_uniform,reference_k32,15.105751301771829,1.6736479533149848,0.350504800320096,0.014679867823313188,2048,65,2113
0.001,0.15,srht_paired,reference_k2,38.14593347439858,2.2496753682343376,0.001764035608128014,0.00030273353253710465,2048,1025,3073
0.001,0.15,hadamard_random_paired,reference_k2,38.13045438373172,2.2557753566900396,0.001770566370635142,0.00030553844579468285,2048,1025,3073
0.001,0.15,hadamard_paired,reference_k2,38.1297932149272,2.248488816058028,0.001770477649578028,0.000303418042558863,2048,1025,3073
0.001,0.15,hadamard_cake_paired,reference_k2,38.119329617315664,2.2515067904789805,0.0017749687316918842,0.00030545673936689725,2048,1025,3073
0.001,0.15,hadamard_sequency_paired,reference_k2,38.118121931280996,2.252926202991176,0.0017755463892090658,0.00030623182793988903,2048,1025,3073
0.001,0.15,hadamard_paired,reference_k8,35.63559314755174,2.2481515204562554,0.003144464348098064,0.0005412267402725498,2048,257,2305
0.001,0.15,hadamard_cake_paired,reference_k8,35.608489572657554,2.24498960643946,0.003163809582083254,0.0005411315381277254,2048,257,2305
0.001,0.15,hadamard_random_paired,reference_k8,35.60719087765893,2.257309646383266,0.003165714467573476,0.0005472815422099313,2048,257,2305
0.001,0.15,srht_paired,reference_k8,35.606876012128794,2.243035023670179,0.0031646446840888696,0.0005399276767182438,2048,257,2305
0.001,0.15,hadamard_sequency_paired,reference_k8,35.596423153836824,2.237634954161558,0.003171384398571304,0.0005351787906617266,2048,257,2305
0.001,0.15,dct_paired,reference_k2,35.12387056741309,2.2548129394324015,0.003538250102135586,0.0006113876176639943,2048,1025,3073
0.001,0.15,hadamard_paired,reference_k32,35.079301633742055,2.214948862649213,0.00356990639344972,0.0005881895827558397,2048,65,2113
0.001,0.15,hadamard_sequency_paired,reference_k32,35.07383456570404,2.1929766699136866,0.003572155449448996,0.0005749386378280162,2048,65,2113
0.001,0.15,hadamard_cake_paired,reference_k32,35.051398755582525,2.196115031727378,0.003590381770309012,0.0005732629655296114,2048,65,2113
0.001,0.15,srht_paired,reference_k32,34.96206219212281,2.212795179548857,0.00366620377617118,0.0005948871019361282,2048,65,2113
0.001,0.15,hadamard_random_paired,reference_k32,34.91795810280074,2.190996718741501,0.00370109779317367,0.0005839264203203483,2048,65,2113
0.001,0.15,dct_paired,reference_k8,32.63458915011081,2.2483224627070677,0.00627474925248637,0.0010724228697689495,2048,257,2305
0.001,0.15,dct_paired,reference_k32,32.17457442545676,2.235842986863453,0.00697206518835079,0.0011679660613001354,2048,65,2113
0.001,0.15,fourier_fourstep,reference_k2,20.077247052809092,1.6964465222021308,0.111498324130778,0.0024058345795898504,2048,1025,3073
0.001,0.15,fourier_fourstep,reference_k8,19.963855479504943,1.70292218418823,0.11445856864127749,0.0029391063452533753,2048,257,2305
0.001,0.15,fourier_fourstep,reference_k32,19.910481739806816,1.705484410493036,0.11588065731135938,0.0032315865457803222,2048,65,2113
0.001,0.15,random_uniform,reference_k2,15.360339321417143,1.636084383396583,0.3305007201115683,0.012634661513519104,2048,1025,3073
0.001,0.15,random_binary,reference_k2,15.267630099180087,1.554746969485357,0.337528932012343,0.00984731205100997,2048,1025,3073
0.001,0.15,random_uniform,reference_k8,15.226680510474772,1.6594674053871121,0.34084592917377937,0.013431225248366046,2048,257,2305
0.001,0.15,random_binary,reference_k8,15.224145312084104,1.5656982846006302,0.3409181381255682,0.009666130677245451,2048,257,2305
0.001,0.15,random_binary,reference_k32,15.049978232609599,1.5921039377565738,0.3548647544980817,0.009904504005308122,2048,65,2113
0.001,0.15,random_uniform,reference_k32,14.80214576452328,1.7123370591441087,0.3760150989318518,0.018667376486774835,2048,65,2113
0.001,0.3,srht_paired,reference_k2,32.15498514968515,2.243563742180793,0.007006508221950424,0.0011921281509773565,2048,1025,3073
0.001,0.3,hadamard_paired,reference_k2,32.13467894776416,2.2436389418738796,0.00703894169951722,0.001197015197712456,2048,1025,3073
0.001,0.3,hadamard_random_paired,reference_k2,32.133531053529126,2.255065686181549,0.0070434885101526125,0.0012139899120098495,2048,1025,3073
0.001,0.3,hadamard_cake_paired,reference_k2,32.12018839000722,2.247398261351529,0.007063814568767992,0.0012091675513227333,2048,1025,3073
0.001,0.3,hadamard_sequency_paired,reference_k2,32.118433518892544,2.248937588458188,0.007067005908660377,0.0012126507062464233,2048,1025,3073
0.001,0.3,hadamard_paired,reference_k8,29.652128849314245,2.2417060177561785,0.012467287879349642,0.0021244301726104507,2048,257,2305
0.001,0.3,srht_paired,reference_k8,29.63368180240041,2.2359218068567035,0.012517587263926466,0.0021125345735301367,2048,257,2305
0.001,0.3,hadamard_random_paired,reference_k8,29.630307864811815,2.2540153000751775,0.012534423716635813,0.002157847581531985,2048,257,2305
0.001,0.3,hadamard_cake_paired,reference_k8,29.62371327219863,2.239045384254955,0.012548353815677307,0.00212722846283899,2048,257,2305
0.001,0.3,hadamard_sequency_paired,reference_k8,29.61312086777013,2.231135693724397,0.012573784086535806,0.0021017077470261987,2048,257,2305
0.001,0.3,dct_paired,reference_k2,29.144742286844643,2.24948608159061,0.01401547029845099,0.0024040827823243772,2048,1025,3073
