basis,rho,sigma_a,seed,object,num_frames
srht_paired,0.001,0.05,0,0,2048
srht_paired,0.001,0.05,0,1,2048
srht_paired,0.001,0.05,0,2,2048
srht_paired,0.001,0.05,1,0,2048
srht_paired,0.001,0.05,1,1,2048
srht_paired,0.001,0.05,1,2,2048
srht_paired,0.001,0.3,0,0,2048
srht_paired,0.001,0.3,0,1,2048
srht_paired,0.001,0.3,0,2,2048
srht_paired,0.001,0.3,1,0,2048
srht_paired,0.001,0.3,1,1,2048
srht_paired,0.001,0.3,1,2,2048
srht_paired,0.1,0.05,0,0,2048
srht_paired,0.1,0.05,0,1,2048
srht_paired,0.1,0.05,0,2,2048
srht_paired,0.1,0.05,1,0,2048
srht_paired,0.1,0.05,1,1,2048
srht_paired,0.1,0.05,1,2,2048
srht_paired,0.1,0.3,0,0,2048
srht_paired,0.1,0.3,0,1,2048
srht_paired,0.1,0.3,0,2,2048
srht_paired,0.1,0.3,1,0,2048
srht_paired,0.1,0.3,1,1,2048
srht_paired,0.1,0.3,1,2,2048
srht_paired,1.0,0.05,0,0,2048
srht_paired,1.0,0.05,0,1,2048
srht_paired,1.0,0.05,0,2,2048
srht_paired,1.0,0.05,1,0,2048
srht_paired,1.0,0.05,1,1,2048
srht_paired,1.0,0.05,1,2,2048
srht_paired,1.0,0.3,0,0,2048
srht_paired,1.0,0.3,0,1,2048
srht_paired,1.0,0.3,0,2,2048
srht_paired,1.0,0.3,1,0,2048
srht_paired,1.0,0.3,1,1,2048
srht_paired,1.0,0.3,1,2,2048
