variant,correction,rho,sigma_a,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,gain_rel_mse_mean
hadamard_ordered,agc,1.0,0.3,10.895256752903647,1.676596698289226,0.9235467853534907,0.01914193474456829,0.0877234037220478
hadamard_ordered,none,1.0,0.3,10.99577760923409,1.6759021884351437,0.9025817256557187,0.02560705106770256,
hadamard_ordered,oracle,1.0,0.3,120.0,0.0,9.363281714964235e-13,1.5473260104443848e-13,2.741441276733151e-15
hadamard_ordered,pairwise,1.0,0.3,11.042370926878345,1.6834835110661082,0.8928407997711786,0.021018512394881644,0.02743986252695322
random_binary,agc,1.0,0.3,10.835125827006943,1.6570480280137672,0.936346506485851,0.015172969399170243,0.08336755678057671
random_binary,none,1.0,0.3,10.84290608722395,1.6553325400309638,0.9346793788825231,0.015684955654287087,
random_binary,oracle,1.0,0.3,15.391698975928273,1.6501007999687596,0.32802730704552985,0.009708911812023518,2.741441276733151e-15
random_uniform,agc,1.0,0.3,10.652303332077038,1.6312346466555896,0.9765160306363705,0.008546457717574271,0.08328845381736755
random_uniform,none,1.0,0.3,10.65382418055852,1.6311080061935928,0.9761769075596327,0.008861136772324597,
random_uniform,oracle,1.0,0.3,15.385248413314727,1.6316206528606385,0.3286046321762287,0.012405472740038006,2.741441276733151e-15
sign_only,agc,1.0,0.3,11.007550793584796,1.6740503438080725,0.9000349210270775,0.02138599205853789,0.08325864598155022
sign_only,none,1.0,0.3,11.00665573396084,1.6746198385644662,0.9002269768331879,0.021666264312151524,
sign_only,oracle,1.0,0.3,120.0,0.0,7.881394004239405e-13,8.758537254750349e-14,2.741441276733151e-15
sign_only,pairwise,1.0,0.3,11.046313460468276,1.6763531829546559,0.8920792288745208,0.022910404898218623,0.02746714513748884
srht_full,agc,1.0,0.3,11.0058786706838,1.6689336002837691,0.9005051535992789,0.026146025276231152,0.08327269986271858
srht_full,none,1.0,0.3,11.005538686091842,1.668705230072409,0.9005696198058764,0.025937327538189534,
srht_full,oracle,1.0,0.3,120.0,0.0,7.938671293209273e-13,1.0469876903946971e-13,2.741441276733151e-15
srht_full,pairwise,1.0,0.3,11.032951991081982,1.6760042476535997,0.8949636246668861,0.027848560543789886,0.027465490847826003
hadamard_ordered,agc,1.0,0.5,10.663445400540246,1.6345749368493165,0.9740176178396617,0.008961779957032111,0.21830437064170838
hadamard_ordered,none,1.0,0.5,10.702066613966633,1.6338331593676432,0.9654515882818518,0.013849905744025604,
hadamard_ordered,oracle,1.0,0.5,120.0,0.0,9.384483393188082e-13,1.482926361579508e-13,2.7003705125932738e-15
hadamard_ordered,pairwise,1.0,0.5,10.738452008285238,1.641418588680849,0.9573622358308832,0.011007697538557532,0.07215046435594559
random_binary,agc,1.0,0.5,10.64606603965144,1.630097191488613,0.9779114416831809,0.007585677694321678,0.21292441874742507
random_binary,none,1.0,0.5,10.648598674025422,1.6290767687483705,0.9773456160190197,0.008122417217833452,
random_binary,oracle,1.0,0.5,15.391698997774643,1.650100757665722,0.32802730532903657,0.009708909458112472,2.7003705125932738e-15
random_uniform,agc,1.0,0.5,10.584956785557688,1.6205043815419296,0.9917499366255639,0.004572345259237483,0.21277766227722167
random_uniform,none,1.0,0.5,10.586018899868376,1.6203788589906438,0.9915082048080772,0.004740715344070926,
