experiment,basis,correction,channel,rho,sigma_a,seed,object,num_frames,num_pixels,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
pairwise_failure,hadamard_paired,oracle,jitter,0.001,0.05,0,0,2048,1024,6.84263792333791e-14,8.093419892598575e-13,120.0,0.9999999301638044,1.4210693778942025e-14,1.0,0.9999998807907104
pairwise_failure,hadamard_paired,pairwise,jitter,0.001,0.05,0,0,2048,1024,2.6881690130377927e-05,0.0003179545784613737,45.70543429397173,0.9994719140414152,1.2549403436423745e-06,0.9430073499679565,1.0
pairwise_failure,hadamard_paired,none,jitter,0.001,0.05,0,0,2048,1024,2.8860363503994173e-05,0.0003413581760539948,45.396982031529674,1.0000146771515597,,,
pairwise_failure,hadamard_paired,oracle,jitter,0.001,0.05,0,1,2048,1024,6.496184021894416e-14,8.145205849718315e-13,120.0,1.0000000709162398,1.4210693778942025e-14,1.0,0.9999998807907104
pairwise_failure,hadamard_paired,pairwise,jitter,0.001,0.05,0,1,2048,1024,2.5285674826202652e-05,0.000317043091473877,45.97125451389347,0.9997744721541877,1.2542099057100131e-06,0.9430396556854248,1.0
pairwise_failure,hadamard_paired,none,jitter,0.001,0.05,0,1,2048,1024,2.6241996573792475e-05,0.00032903388093801216,45.81003125546603,1.0015380781135697,,,
pairwise_failure,hadamard_paired,oracle,jitter,0.001,0.05,0,2,2048,1024,6.971076293976505e-14,9.86509074015448e-13,120.0,1.0000000884010505,1.4210693778942025e-14,1.0,0.9999998807907104
pairwise_failure,hadamard_paired,pairwise,jitter,0.001,0.05,0,2,2048,1024,2.5522083489703768e-05,0.00036117474387890376,45.9308387496863,0.9981682833313482,1.254937728845107e-06,0.9430058598518372,1.0
pairwise_failure,hadamard_paired,none,jitter,0.001,0.05,0,2,2048,1024,2.704468728766373e-05,0.0003827218106369562,45.67918035853539,0.9997361567295701,,,
pairwise_failure,hadamard_paired,oracle,jitter,0.001,0.05,0,3,2048,1024,9.197601491309514e-14,9.755822460114054e-13,120.0,1.0000000246785463,1.4210693778942025e-14,1.0,0.9999998807907104
pairwise_failure,hadamard_paired,pairwise,jitter,0.001,0.05,0,3,2048,1024,3.3052485278281184e-05,0.0003505850721463853,44.80795879534965,0.9992666296089073,1.2533389508462278e-06,0.943080484867096,1.0
pairwise_failure,hadamard_paired,none,jitter,0.001,0.05,0,3,2048,1024,3.456120825196369e-05,0.0003665879762585597,44.61411083091636,1.0009090077238676,,,
pairwise_failure,hadamard_paired,oracle,jitter,0.001,0.05,0,4,2048,1024,1.9799920447411326e-14,5.594065380522541e-13,120.0,0.9999999160556082,1.4210693778942025e-14,1.0,0.9999998807907104
pairwise_failure,hadamard_paired,pairwise,jitter,0.001,0.05,0,4,2048,1024,1.0285152547105684e-05,0.000290586095787468,49.877892625618756,0.9995865656556742,1.2547933465612005e-06,0.9430124163627625,1.0
pairwise_failure,hadamard_paired,none,jitter,0.001,0.05,0,4,2048,1024,1.0787636302971446e-05,0.00030478275375096553,49.67073703883511,1.0009992600195907,,,
pairwise_failure,hadamard_paired,oracle,jitter,0.001,0.05,0,5,2048,1024,9.237006261852111e-14,7.99572333243259e-13,120.0,1.0000000087441043,1.4210693778942025e-14,1.0,0.9999998807907104
pairwise_failure,hadamard_paired,pairwise,jitter,0.001,0.05,0,5,2048,1024,4.7407694583013564e-05,0.00041036976588368644,43.241511637322986,0.9993725016849324,1.2539237559394678e-06,0.9430528283119202,1.0
pairwise_failure,hadamard_paired,none,jitter,0.001,0.05,0,5,2048,1024,4.863950641476374e-05,0.0004210325567545422,43.13010840857692,1.0016663395650183,,,
pairwise_failure,hadamard_paired,oracle,jitter,0.001,0.05,0,6,2048,1024,1.3794594857234737e-13,1.0362931917090864e-12,120.0,1.000000061528193,1.4210693778942025e-14,1.0,0.9999998807907104
pairwise_failure,hadamard_paired,pairwise,jitter,0.001,0.05,0,6,2048,1024,5.760573485583923e-05,0.00043275233127413313,42.39534278863828,0.9994169117333046,1.2528374782050378e-06,0.9431037306785583,0.9999998807907104
pairwise_failure,hadamard_paired,none,jitter,0.001,0.05,0,6,2048,1024,5.940768289871275e-05,0.00044628912962137846,42.26157386251952,1.0010389007606613,,,
pairwise_failure,hadamard_paired,oracle,jitter,0.001,0.05,0,7,2048,1024,1.2012650042189424e-13,9.359303870254637e-13,120.0,0.9999999863338217,1.4210693778942025e-14,1.0,0.9999998807907104
pairwise_failure,hadamard_paired,pairwise,jitter,0.001,0.05,0,7,2048,1024,6.363678969646222e-05,0.0004958073780597091,41.96291737452206,0.9982786923180074,1.2531577340268996e-06,0.9430888891220093,1.0
pairwise_failure,hadamard_paired,none,jitter,0.001,0.05,0,7,2048,1024,6.597811659918125e-05,0.0005140491397569105,41.80600085914912,1.0009532845276425,,,
pairwise_failure,hadamard_paired,oracle,jitter,0.001,0.05,0,8,2048,1024,1.0090831418354068e-13,8.907260060201471e-13,120.0,1.0000001249085952,1.4210693778942025e-14,1.0,0.9999998807907104
