experiment,basis,correction,channel,rho,sigma_a,mse_mean,rel_mse_mean,psnr_mean,gain_rel_mse_mean,gain_corr_mean,mse_std,rel_mse_std,psnr_std,gain_rel_mse_std,gain_corr_std,window_frac,agc_window,sigma_delta
oracle_agc,dct_paired,agc,ou,0.001,0.1,0.004526128050602923,0.04770233097967577,23.784416999458646,0.0033067383710294962,0.7231208992004394,0.0016023916694429385,0.004585939789701476,1.8533506668507043,0.00033628982239642123,0.09395861042445373,,,
oracle_agc,dct_paired,agc,ou,0.003,0.1,0.005313387966997279,0.05574018915677271,23.113405621959345,0.003662314615212381,0.7688946628570557,0.0019575410684747824,0.00603325030118538,1.9191216342145954,0.000358241939088535,0.07822661615732154,,,
oracle_agc,dct_paired,agc,ou,0.01,0.1,0.007903269283926637,0.08223367122147394,21.43675325633958,0.004822824588045478,0.7193101191520691,0.003113649348355869,0.01089184439048847,2.0372575331208815,0.0003943408930617619,0.0552227106024133,,,
oracle_agc,dct_paired,agc,ou,0.03,0.1,0.014365536227660704,0.1486571545826946,18.876066867646276,0.007389695839956403,0.5582402002811432,0.005902751822360068,0.022357642844743425,2.1202027571207887,0.0005877152519292704,0.026444571918843144,,,
oracle_agc,dct_paired,none,ou,0.001,0.1,0.00042787492415638056,0.004505888200638768,34.1671948243801,,,0.00019401954588898644,0.0012870018173233905,2.133957857580786,,,,,
oracle_agc,dct_paired,none,ou,0.003,0.1,0.001101258746984282,0.011493030964037788,30.03545314843053,,,0.0004681964378802403,0.0023647880450496928,2.10438576427923,,,,,
oracle_agc,dct_paired,none,ou,0.01,0.1,0.0031397851486828538,0.03248145993322949,25.50459247488496,,,0.0013450700079659715,0.005927744495649427,2.1615121514537736,,,,,
oracle_agc,dct_paired,none,ou,0.03,0.1,0.008189206032474132,0.08453363001806335,21.340193903295194,,,0.003474982894098725,0.014288777980038019,2.167944014764484,,,,,
oracle_agc,dct_paired,oracle,ou,0.001,0.1,8.709011656856078e-11,8.853555755177301e-10,101.31467455536736,8.491836147293558e-15,0.9999999046325684,4.467741484750184e-11,2.7092849748388874e-10,2.652280973143059,6.9336372787299695e-15,1.3902072660712672e-07,,,
oracle_agc,dct_paired,oracle,ou,0.003,0.1,8.710166738109983e-11,8.854451545045015e-10,101.3146204394248,8.460152879901511e-15,1.000000011920929,4.470067232450712e-11,2.711938028435492e-10,2.653251635300977,6.907712081073474e-15,1.0925711859948074e-07,,,
oracle_agc,dct_paired,oracle,ou,0.01,0.1,8.71037837449142e-11,8.854425218286357e-10,101.31468800034236,5.626528499298907e-15,0.9999999761581421,4.470780208917918e-11,2.7118428623029736e-10,2.653554122337966,6.891061932770587e-15,1.1680077283436194e-07,,,
oracle_agc,dct_paired,oracle,ou,0.03,0.1,8.710264044503104e-11,8.855107953178102e-10,101.31393235119101,5.623241333837202e-15,0.9999999046325684,4.468115517905445e-11,2.709792230464296e-10,2.652050271366711,6.88703806732008e-15,2.9200193184458784e-08,,,
oracle_agc,fourier_fourstep,agc,ou,0.001,0.1,0.004059237079341696,0.043070679292707095,24.269463402221426,0.0033060525776818393,0.7226949727535248,0.0014569504378215356,0.006828379469265302,1.882354442906523,0.0003368023758279896,0.0941176742706523,,,
oracle_agc,fourier_fourstep,agc,ou,0.003,0.1,0.00505577039581021,0.053405587577907324,23.32266126206881,0.0036611023312434553,0.7686635756492615,0.0018393757248928943,0.007672151751946531,1.8999541926520702,0.00035718593481886505,0.0785278439816758,,,
oracle_agc,fourier_fourstep,agc,ou,0.01,0.1,0.008332748055823612,0.0874241524791597,21.170185184485543,0.004820436323061585,0.7193020224571228,0.0031209384919385083,0.01124112775318085,1.9455750198037993,0.00038936859973384875,0.05521510199543929,,,
oracle_agc,fourier_fourstep,agc,ou,0.03,0.1,0.01625981363161081,0.169986558494176,18.27686929652543,0.007386510027572513,0.5581758987903594,0.006178316521822775,0.0204942953893786,1.9711841808431136,0.00058025167473101,0.026613274444684552,,,
oracle_agc,fourier_fourstep,none,ou,0.001,0.1,0.010768549629951557,0.1146059180600899,19.962321065741154,,,0.0034553056976524246,0.005676828125647656,1.6916614758244544,,,,,
oracle_agc,fourier_fourstep,none,ou,0.003,0.1,0.011421720641003483,0.1214705384817382,19.711153774637687,,,0.0036980178297339825,0.006750141892668868,1.704395809715772,,,,,
oracle_agc,fourier_fourstep,none,ou,0.01,0.1,0.01333030190513001,0.14147391245009186,19.05069057449129,,,0.0044006677373392665,0.00877193361176362,1.7344646409433764,,,,,
oracle_agc,fourier_fourstep,none,ou,0.03,0.1,0.0178444787604221,0.18881523208258816,17.79880509802828,,,0.006045222652911952,0.012879427807655943,1.7753197279166322,,,,,
oracle_agc,fourier_fourstep,oracle,ou,0.001,0.1,0.010307343140581309,0.10972532560933301,20.146766792348714,8.491836147293558e-15,0.9999999046325684,0.0032652172404036986,0.0022287252014168845,1.6768854427450697,6.9336372787299695e-15,1.3902072660712672e-07,,,
oracle_agc,fourier_fourstep,oracle,ou,0.003,0.1,0.010307343077905408,0.10972532476818303,20.146766826496034,8.460152879901511e-15,1.000000011920929,0.003265217309946166,0.0022287262677907985,1.6768854570619196,6.907712081073474e-15,1.0925711859948074e-07,,,
oracle_agc,fourier_fourstep,oracle,ou,0.01,0.1,0.010307343094605334,0.1097253249839954,20.146766817631775,5.626528499298907e-15,0.9999999761581421,0.003265217293753367,0.0022287258517571145,1.6768854522342294,6.891061932770587e-15,1.1680077283436194e-07,,,
oracle_agc,fourier_fourstep,oracle,ou,0.03,0.1,0.010307342981993468,0.10972532432953828,20.14676684257815,5.623241333837202e-15,0.9999999046325684,0.003265217076080193,0.0022287246502490036,1.6768853969251907,6.88703806732008e-15,2.9200193184458784e-08,,,
oracle_agc,hadamard_paired,agc,ou,0.001,0.1,0.003625666001746262,0.0375722970268472,24.83370290237471,0.003302831556648016,0.7227374684810638,0.001453938076466391,0.004689313602374174,2.067656238443749,0.00033791020225041837,0.09462465567810335,,,
oracle_agc,hadamard_paired,agc,ou,0.003,0.1,0.004002173377603967,0.04140219699458006,24.41606410014655,0.0036574006918817757,0.7691133952140808,0.0016301457638666981,0.005465241042708458,2.0930149866940546,0.0003584340673035438,0.07842992826916939,,,
oracle_agc,hadamard_paired,agc,ou,0.01,0.1,0.005265485479244275,0.05428540617643539,23.248044195671284,0.004816076289862394,0.7199720454216003,0.0022115066131643754,0.007961520397961391,2.1436604723999317,0.0003885683074639482,0.05482800364691641,,,
oracle_agc,hadamard_paired,agc,ou,0.03,0.1,0.008579525878862128,0.08817833956723406,21.15064282477161,0.00738503135740757,0.5586901378631591,0.00370983361014824,0.014240947466180987,2.190967049972583,0.0005773070255574856,0.026442610727919317,,,
oracle_agc,hadamard_paired,none,ou,0.001,0.1,0.0004574777841227849,0.004888498779339366,34.17759176924736,,,0.00030172848576345455,0.0027196979428935676,2.561288439996983,,,,,
oracle_agc,hadamard_paired,none,ou,0.003,0.1,0.0009141815105651041,0.009678084172677166,30.919495250411,,,0.0004335432778982423,0.0031338755648197603,2.239509454591111,,,,,
oracle_agc,hadamard_paired,none,ou,0.01,0.1,0.0019382849928824505,0.02024418835762206,27.570640751701657,,,0.0008060618695214463,0.003920771432400485,2.0891210166464718,,,,,
