condition,rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
ideal,0.001,0.05,srht_paired,pairwise,44.74152634996879,2.265608311258375,0.000386723052204498,6.88654360074106e-05,2048,0,2048
ideal,0.001,0.1,srht_paired,pairwise,38.723823352442636,2.2646581246495994,0.001545840171274386,0.00027524891523201834,2048,0,2048
ideal,0.001,0.15,srht_paired,pairwise,35.20824367014113,2.2631989082403536,0.0034730182868960018,0.0006178786771602071,2048,0,2048
ideal,0.001,0.3,srht_paired,pairwise,29.226285466666774,2.2558161460691992,0.013765722225155604,0.002431915993571741,2048,0,2048
ideal,0.001,0.5,hadamard_paired,pairwise,24.89191876588703,2.238800823676685,0.03730590930309307,0.006329054961132217,2048,0,2048
ideal,0.003,0.05,srht_paired,pairwise,39.97884130103886,2.2647173257019957,0.001157849576671122,0.00020597436701267466,2048,0,2048
ideal,0.003,0.1,srht_paired,pairwise,33.969528056846826,2.262075370827619,0.004619071420790354,0.0008203715233294029,2048,0,2048
ideal,0.003,0.15,srht_paired,pairwise,30.46894363124716,2.2579302107335057,0.010340836445643582,0.0018295038982742572,2048,0,2048
ideal,0.003,0.3,hadamard_paired,pairwise,24.57709069193377,2.2366227264975813,0.040106251642690986,0.006776065499230182,2048,0,2048
ideal,0.003,0.5,hadamard_paired,pairwise,20.438001159197267,2.1936685861432794,0.10382742020225236,0.016285543594304175,2048,0,2048
ideal,0.01,0.05,srht_paired,pairwise,34.77766987369389,2.262267291555864,0.003834651073815278,0.0006802092450113403,2048,0,2048
ideal,0.01,0.1,srht_paired,pairwise,28.800098027107246,2.254147146197032,0.015183341757960954,0.0026719716195229455,2048,0,2048
ideal,0.01,0.15,hadamard_paired,pairwise,25.358162557082302,2.2405770564175658,0.033510013524749194,0.0056954408406546435,2048,0,2048
ideal,0.01,0.3,hadamard_paired,pairwise,19.75163994145737,2.1812219387536365,0.12154070457895967,0.01863422779330092,2048,0,2048
ideal,0.01,0.5,hadamard_paired,pairwise,16.161954372407394,2.078561487216547,0.2767402726810335,0.03476162010371571,2048,0,2048
ideal,0.03,0.05,srht_paired,pairwise,30.084530846362536,2.257021931662766,0.011297094930752882,0.001994245616778714,2048,0,2048
ideal,0.03,0.1,hadamard_paired,pairwise,24.202804980146375,2.2333426067632973,0.04370906630251883,0.00733991251217494,2048,0,2048
ideal,0.03,0.15,hadamard_paired,pairwise,20.910523826069813,2.1998168581405415,0.09314721368047836,0.01476568333971735,2048,0,2048
ideal,0.03,0.3,hadamard_paired,pairwise,15.95549094261631,2.069042826014437,0.29012968403754913,0.035743110775514106,2048,0,2048
ideal,0.03,0.5,hadamard_paired,pairwise,13.32113973835675,1.9132667835741834,0.5299478885464987,0.04357427974465446,2048,0,2048
ideal,0.1,0.05,srht_paired,pairwise,25.1180916415784,2.2405734992117017,0.035429688907334604,0.00614296259631292,2048,0,2048
ideal,0.1,0.1,hadamard_paired,pairwise,19.528082558338532,2.1770016794827884,0.12794636710615326,0.019513326872105406,2048,0,2048
ideal,0.1,0.15,hadamard_paired,pairwise,16.646627966629588,2.097343191488699,0.24768323163598013,0.03244359406776402,2048,0,2048
ideal,0.1,0.3,hadamard_paired,pairwise,13.02957409084246,1.889819556660314,0.5664839519021639,0.04321689590036519,2048,0,2048
ideal,0.1,0.5,hadamard_paired,pairwise,11.616049294504334,1.7519941999311306,0.7827781441506909,0.031605520756750105,2048,0,2048
ideal,0.3,0.05,srht_paired,pairwise,21.050795160370498,2.201850092713737,0.09025207053538868,0.014832881238142675,2048,0,2048
ideal,0.3,0.1,srht_paired,pairwise,16.061755872363136,2.0687269916919075,0.28333347194126995,0.03707511270393395,2048,0,2048
ideal,0.3,0.15,srht_paired,pairwise,13.84956308092165,1.9429526404906612,0.46985281764989706,0.04616349631578742,2048,0,2048
ideal,0.3,0.3,srht_paired,pairwise,11.636664919109808,1.742179312959162,0.7792012675603088,0.03483691938023596,2048,0,2048
ideal,0.3,0.5,hadamard_paired,pairwise,10.9755779241799,1.674888629295151,0.9066197536086623,0.01853854476618848,2048,0,2048
ideal,1.0,0.05,srht_paired,pairwise,17.753158484063714,2.1300271626593634,0.19227200780852954,0.02764424273062313,2048,0,2048
ideal,1.0,0.1,srht_paired,pairwise,13.705329009032265,1.9326798825236886,0.48542894105012435,0.04443340498837182,2048,0,2048
ideal,1.0,0.15,srht_paired,pairwise,12.241205513332593,1.8075981287152487,0.678396146212554,0.0393333513986496,2048,0,2048
ideal,1.0,0.3,srht_paired,pairwise,11.040551244546124,1.6744526589545963,0.8931802724221443,0.01946032582722202,2048,0,2048
ideal,1.0,0.5,hadamard_paired,pairwise,10.734409127768002,1.6452654802477373,0.9582618499974823,0.0116779319958839,2048,0,2048
nonideal,0.001,0.05,hadamard_paired,pairwise,39.92670588356539,2.1076321531451003,0.001166287846570852,0.00017274036442576742,2048,0,2048
nonideal,0.001,0.1,srht_paired,pairwise,37.072671111015076,2.1830108585260133,0.0022553834826962178,0.0003676418936431773,2048,0,2048
nonideal,0.001,0.15,hadamard_paired,pairwise,34.529869458038014,2.2261625381531944,0.0040525890259442395,0.0006710522548637819,2048,0,2048
