condition,rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
ideal,0.001,0.05,srht_paired,reference_k2,47.755726506777165,2.251662258539679,0.000193021303646826,3.337695668236642e-05,2048,1025,3073
ideal,0.001,0.1,srht_paired,reference_k2,41.73634300208823,2.2506595723171023,0.000771846624870854,0.00013334461462198967,2048,1025,3073
ideal,0.001,0.15,srht_paired,reference_k2,38.2173884638812,2.2494073244613246,0.001735438577974556,0.0002994276551660582,2048,1025,3073
ideal,0.001,0.3,srht_paired,reference_k2,32.21522281550277,2.244177534255393,0.006911097028471248,0.0011851241925641732,2048,1025,3073
ideal,0.001,0.5,srht_paired,reference_k2,27.82544171956447,2.233890201953721,0.018982779971421292,0.0032119175939671067,2048,1025,3073
ideal,0.003,0.05,srht_paired,reference_k2,42.98517582541983,2.250955397583854,0.000578964401495316,0.00010005303764505306,2048,1025,3073
ideal,0.003,0.1,srht_paired,reference_k2,36.969824961122875,2.2487479588372103,0.002312898028755434,0.00039878531902643973,2048,1025,3073
ideal,0.003,0.15,srht_paired,reference_k2,33.45816833414449,2.245801156502606,0.0051913225990137925,0.000892016384589736,2048,1025,3073
ideal,0.003,0.3,srht_paired,reference_k2,27.497142239413957,2.2327054770454646,0.02047250511116592,0.003458629349855474,2048,1025,3073
ideal,0.003,0.5,srht_paired,reference_k2,23.204487630514286,2.206313262224697,0.05495446383816858,0.00894269532025105,2048,1025,3073
ideal,0.01,0.05,srht_paired,reference_k2,37.7603019811163,2.2491921417421405,0.0019280401378276779,0.00033261761270609447,2048,1025,3073
ideal,0.01,0.1,srht_paired,reference_k2,31.760448079873353,2.2435061376777146,0.007673886774992537,0.0013150022271742835,2048,1025,3073
ideal,0.01,0.15,srht_paired,reference_k2,28.27553394827427,2.235452493203341,0.017115032356507895,0.002902414246642331,2048,1025,3073
ideal,0.01,0.3,srht_paired,reference_k2,22.457613211581684,2.1987673959375615,0.06524821805729174,0.01050086799965413,2048,1025,3073
ideal,0.01,0.5,hadamard_paired,reference_k2,18.480545760568262,2.1563951298895647,0.16269651162987336,0.023799456678662116,2048,1025,3073
ideal,0.03,0.05,srht_paired,reference_k2,33.00335279784983,2.2452905670176224,0.005764412411980552,0.0009901780031469091,2048,1025,3073
ideal,0.03,0.1,srht_paired,reference_k2,27.04946434207108,2.230998829275726,0.02269418320657375,0.003826425641150352,2048,1025,3073
ideal,0.03,0.15,srht_paired,reference_k2,23.64072842016011,2.210314133086398,0.049710537035739154,0.00814021904810075,2048,1025,3073
ideal,0.03,0.3,hadamard_paired,reference_k2,18.202435341858646,2.1495287778199317,0.17341244060540315,0.025054341767831636,2048,1025,3073
ideal,0.03,0.5,hadamard_paired,reference_k2,14.904457836421965,2.024563270907877,0.36908854397252483,0.04135505947185736,2048,1025,3073
ideal,0.1,0.05,srht_paired,reference_k2,27.837016692936864,2.234239577573069,0.018933083882248326,0.0032090476103918534,2048,1025,3073
ideal,0.1,0.1,hadamard_paired,reference_k2,22.042498008686508,2.213740186904118,0.07180641109654488,0.011609837019773727,2048,1025,3073
ideal,0.1,0.15,hadamard_paired,reference_k2,18.881637634991343,2.1652540988069804,0.14839437574450337,0.022065729911233112,2048,1025,3073
ideal,0.1,0.3,hadamard_paired,reference_k2,14.423764591946465,1.9969526604591392,0.4119802619947355,0.043258729328177675,2048,1025,3073
ideal,0.1,0.5,hadamard_paired,reference_k2,12.335421848914441,1.835338614732777,0.6640943083651721,0.042469545400386756,2048,1025,3073
ideal,0.3,0.05,srht_paired,reference_k2,23.304461581206343,2.208441663701513,0.05371294943170724,0.008801804874907984,2048,1025,3073
ideal,0.3,0.1,hadamard_paired,reference_k2,17.911329141130242,2.1415455387777658,0.1853876125927095,0.02643833609891945,2048,1025,3073
ideal,0.3,0.15,hadamard_paired,reference_k2,15.272824561896176,2.043410313713237,0.33926465632169567,0.03971055679723998,2048,1025,3073
ideal,0.3,0.3,hadamard_paired,reference_k2,12.252014017670257,1.8276200390038269,0.6768935096879986,0.04200922897922363,2048,1025,3073
ideal,0.3,0.5,hadamard_paired,reference_k2,11.20754401913057,1.7098984330569256,0.859724717774794,0.02753927695101226,2048,1025,3073
ideal,1.0,0.05,srht_paired,reference_k2,19.168643046435474,2.1490668019694437,0.13889226459436746,0.02067242200254207,2048,1025,3073
ideal,1.0,0.1,srht_paired,reference_k2,14.62170737184608,1.9770850263437234,0.3935993424236506,0.04143056775052013,2048,1025,3073
ideal,1.0,0.15,srht_paired,reference_k2,12.803476326663647,1.8459402745830198,0.5965072185143938,0.04247608578323244,2048,1025,3073
ideal,1.0,0.3,hadamard_paired,reference_k2,11.185606744366135,1.710091546241814,0.8640709885864278,0.027413897365873904,2048,1025,3073
ideal,1.0,0.5,random_binary,reference_k2,10.774161165805912,1.6384510265591123,0.9495675499677282,0.014339886656685171,2048,1025,3073
nonideal,0.001,0.05,srht_paired,reference_k32,39.574856369736864,2.031916312901302,0.001261808808300148,0.0001649742180967604,2048,65,2113
nonideal,0.001,0.1,srht_paired,reference_k32,36.82579503953773,2.1373811251784507,0.00238234358712077,0.0003558392412127485,2048,65,2113
nonideal,0.001,0.15,srht_paired,reference_k8,34.580039226226724,2.1895970678595775,0.00400233224413777,0.0006445022876553479,2048,257,2305
nonideal,0.001,0.3,srht_paired,reference_k2,30.13533117422258,2.224749788399862,0.011149664056264148,0.0018648267320770012,2048,1025,3073
nonideal,0.001,0.5,hadamard_paired,reference_k2,27.112559348333658,2.2320105812533275,0.022370080425188166,0.0038057108855261024,2048,1025,3073
