condition,rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
ideal,0.001,0.05,srht_paired,reference_k2,47.755726506777165,2.251662258539679,0.000193021303646826,3.337695668236642e-05,2048,1025,3073
ideal,0.001,0.05,hadamard_paired,reference_k2,47.7486557932092,2.2571881474153757,0.00019336657136684,3.3643981639503634e-05,2048,1025,3073
ideal,0.001,0.05,hadamard_paired,reference_k8,45.24740651000302,2.2578860636848646,0.000344095997360888,6.078663619302827e-05,2048,257,2305
ideal,0.001,0.05,srht_paired,reference_k8,45.20794006093164,2.2438553794444522,0.00034704458074494597,6.014327311289588e-05,2048,257,2305
ideal,0.001,0.05,dct_paired,reference_k2,44.74394638814833,2.2555042353008394,0.00038623399351994404,6.718653721912534e-05,2048,1025,3073
ideal,0.001,0.05,hadamard_paired,reference_k32,44.69239250917015,2.2340508663860437,0.000390626621629894,6.658841463884733e-05,2048,65,2113
ideal,0.001,0.05,srht_paired,reference_k32,44.595102938359744,2.226125000998003,0.000399300462884852,6.701689438487668e-05,2048,65,2113
ideal,0.001,0.05,dct_paired,reference_k8,42.234032477134804,2.254859280382575,0.0006885641087221659,0.00012076132174844671,2048,257,2305
ideal,0.001,0.05,dct_paired,reference_k32,41.76502532751475,2.2520548020999716,0.000766930829188042,0.0001332347545761954,2048,65,2113
ideal,0.001,0.05,fourier_fourstep,reference_k2,20.137758076684428,1.6944207488719092,0.10995369893845686,0.0022826749818005885,2048,1025,3073
ideal,0.001,0.05,fourier_fourstep,reference_k8,20.121787548173536,1.697564781579351,0.11036003931078228,0.0023503183667370328,2048,257,2305
ideal,0.001,0.05,fourier_fourstep,reference_k32,20.105157057226712,1.6984552972066629,0.1107854639998129,0.0024530647520134507,2048,65,2113
ideal,0.001,0.05,random_uniform,reference_k2,15.382480469503058,1.6327975949733573,0.32881579679937245,0.012455932770117181,2048,1025,3073
ideal,0.001,0.05,random_uniform,reference_k8,15.36153978126023,1.6350018058086246,0.3304026316556559,0.01245129883918882,2048,257,2305
ideal,0.001,0.05,random_binary,reference_k2,15.329917853178113,1.632167712598273,0.33273384358876773,0.009984705625099224,2048,1025,3073
ideal,0.001,0.05,random_binary,reference_k8,15.326064986673522,1.631467380090347,0.3330289728203956,0.009993134318236348,2048,257,2305
ideal,0.001,0.05,random_uniform,reference_k32,15.313672715961657,1.643750193061592,0.334069862276707,0.012730965853250998,2048,65,2113
ideal,0.001,0.05,random_binary,reference_k32,15.30779735454434,1.6313982074768854,0.3344291496792511,0.009914435393264247,2048,65,2113
ideal,0.001,0.1,srht_paired,reference_k2,41.73634300208823,2.2506595723171023,0.000771846624870854,0.00013334461462198967,2048,1025,3073
ideal,0.001,0.1,hadamard_paired,reference_k2,41.729577684735496,2.2570030883997316,0.00077318292992481,0.00013443859533032138,2048,1025,3073
ideal,0.001,0.1,hadamard_paired,reference_k8,39.23109476561081,2.2568082965243126,0.001374919039686422,0.0002422113334585098,2048,257,2305
ideal,0.001,0.1,srht_paired,reference_k8,39.19031020920535,2.2428932266762094,0.00138721744652611,0.00024041307546426814,2048,257,2305
ideal,0.001,0.1,dct_paired,reference_k2,38.727128521219974,2.2555200459728475,0.00154360210747492,0.00026855662750851567,2048,1025,3073
ideal,0.001,0.1,hadamard_paired,reference_k32,38.67964455299363,2.232866597475136,0.001559569502996622,0.00026512961852316803,2048,65,2113
ideal,0.001,0.1,srht_paired,reference_k32,38.57852457614689,2.225056441375867,0.00159569256124027,0.0002677169282359766,2048,65,2113
ideal,0.001,0.1,dct_paired,reference_k8,36.22059592110982,2.255258263007449,0.002749781286969128,0.00048266657501741674,2048,257,2305
ideal,0.001,0.1,dct_paired,reference_k32,35.75178280634404,2.2526402992015617,0.003062746849282954,0.0005333953723970286,2048,65,2113
ideal,0.001,0.1,fourier_fourstep,reference_k2,20.114465019490698,1.6957216994417665,0.1105463705249834,0.00236110274273656,2048,1025,3073
ideal,0.001,0.1,fourier_fourstep,reference_k8,20.054723918966566,1.7034029638811958,0.11208131556574592,0.002563955947699873,2048,257,2305
ideal,0.001,0.1,fourier_fourstep,reference_k32,20.011447074849034,1.7059186662784984,0.11321115760137582,0.0028988777121036176,2048,65,2113
ideal,0.001,0.1,random_uniform,reference_k2,15.372975891269391,1.6349452418326227,0.32953872091002395,0.012547862862673193,2048,1025,3073
ideal,0.001,0.1,random_binary,reference_k2,15.326179641076449,1.6325407310644016,0.33302194894771064,0.010044636392960502,2048,1025,3073
