object,family,K_eff,basis,requested_basis,num_frames,window,carrier_mean,carrier_cv,running_mean_cv,adjacent_window_ks_d_mean,adjacent_window_ks_p_median
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,2048,64,40.1905632019043,0.05762071534991264,0.007297680247575045,0.06752232142857142,0.7357588823428847
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,2048,64,67.53927612304688,0.04795040190219879,0.0054221320897340775,0.05747767857142857,0.9300863762681126
digit_2,synthetic_digit,210.00167616690024,random_uniform,random_uniform,2048,64,102.87250518798828,0.039791807532310486,0.004857232328504324,0.08705357142857142,0.2532801553643755
digit_3,synthetic_digit,135.81257584160795,random_uniform,random_uniform,2048,64,65.70948791503906,0.049510929733514786,0.007095970679074526,0.08203125,0.4882102774911077
digit_4,synthetic_digit,107.61184657281635,random_uniform,random_uniform,2048,64,42.96030807495117,0.054555442184209824,0.006693597417324781,0.07868303571428571,0.35718226922487123
letter_A,binary_letter,101.21359062702473,random_uniform,random_uniform,2048,64,44.59601593017578,0.05669568479061127,0.006422672886401415,0.07979910714285714,0.4192227743021956
letter_L,binary_letter,59.80235255589372,random_uniform,random_uniform,2048,64,27.741893768310547,0.07444398105144501,0.010343051515519619,0.07142857142857142,0.5641259033876309
stripe,stripe,512.0,random_uniform,random_uniform,2048,64,255.73599243164062,0.025432942435145378,0.0030851121991872787,0.06584821428571429,0.7357588823428847
ring,ring,220.0,random_uniform,random_uniform,2048,64,109.9689712524414,0.038876403123140335,0.005760509055107832,0.06696428571428571,0.8304736573636826
natural_patch,procedural_natural,864.2560692486833,random_uniform,random_uniform,2048,64,209.14566040039062,0.02003413811326027,0.0024963037576526403,0.07589285714285714,0.35718226922487123
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,2048,64,40.11618423461914,0.10192890465259552,0.014866705052554607,0.06584821428571429,0.7357588823428847
digit_1,synthetic_digit,139.48966292397157,random_binary,random_binary,2048,64,67.65369415283203,0.08369830250740051,0.012833989225327969,0.09654017857142858,0.21079844912372867
digit_2,synthetic_digit,210.00167616690024,random_binary,random_binary,2048,64,103.08260345458984,0.06924863904714584,0.012459135614335537,0.07589285714285714,0.4192227743021956
digit_3,synthetic_digit,135.81257584160795,random_binary,random_binary,2048,64,65.8096923828125,0.0847066193819046,0.008460985496640205,0.08203125,0.4192227743021956
digit_4,synthetic_digit,107.61184657281635,random_binary,random_binary,2048,64,43.10421371459961,0.094676673412323,0.013549239374697208,0.07756696428571429,0.4192227743021956
letter_A,binary_letter,101.21359062702473,random_binary,random_binary,2048,64,44.48772430419922,0.10059482604265213,0.01412374246865511,0.08705357142857142,0.35718226922487123
letter_L,binary_letter,59.80235255589372,random_binary,random_binary,2048,64,27.64417266845703,0.13026708364486694,0.01936570182442665,0.06919642857142858,0.7357588823428847
