object,family,K_eff,basis,requested_basis,num_frames,window,carrier_mean,carrier_cv,adjacent_window_ks_d_mean,adjacent_window_ks_p_median,levene_p,ks_absdev_p,local_std_envelope_cv,running_mean_cv,running_mean_cv_incl_transient
digit_0,synthetic_digit,359.91159294611685,random_uniform,random_uniform,8192,64,157.11058044433594,0.030555618926882744,0.046595982142857144,0.2532801553643755,0.29372731809940245,0.5160126480775404,0.01790790233405089,0.003744273679330945,0.0038956226781010628
digit_1,synthetic_digit,613.715691926159,random_uniform,random_uniform,8192,64,298.577880859375,0.02332966960966587,0.03962053571428571,0.5641259033876309,0.7216322716047,0.4813104546945413,0.01585218530929298,0.0029869277495890856,0.0030833177734166384
digit_2,synthetic_digit,948.8780926075453,random_uniform,random_uniform,8192,64,466.4071044921875,0.01846945472061634,0.03473772321428571,0.6905068526890875,0.7028086238827066,0.7362882836586733,0.019094076861929946,0.0023612999357283115,0.0023693011607974768
digit_3,synthetic_digit,638.5224343850998,random_uniform,random_uniform,8192,64,310.9047546386719,0.02288937382400036,0.040736607142857144,0.32873054303039817,0.5220859034945373,0.5881996235329463,0.01971130116439103,0.0024739671498537064,0.0024708230048418045
digit_4,synthetic_digit,402.4249507149198,random_uniform,random_uniform,8192,64,176.49427795410156,0.028846073895692825,0.030831473214285716,0.7357588823428847,0.3411368558079976,0.551711864742936,0.02303220536738116,0.003625433659180999,0.003620088566094637
letter_A,binary_letter,391.79043070245797,random_uniform,random_uniform,8192,64,182.9913787841797,0.029562879353761673,0.03501674107142857,0.7824467719566824,0.7459523840919506,0.551711864742936,0.015695180444543,0.0034878847654908895,0.003486521542072296
letter_L,binary_letter,238.05133542118594,random_uniform,random_uniform,8192,64,113.46913146972656,0.03704223409295082,0.03404017857142857,0.9300863762681126,0.47794820418730855,0.5160126480775404,0.022114636871983305,0.004730888642370701,0.004835849162191153
stripe,stripe,2048.0,random_uniform,random_uniform,8192,64,1024.4378662109375,0.012769298627972603,0.03473772321428571,0.35718226922487123,0.6087937993646446,0.5160126480775404,0.01772722833277507,0.0015497986460104585,0.0015493305400013924
ring,ring,868.0,random_uniform,random_uniform,8192,64,433.9601745605469,0.019737908616662025,0.036830357142857144,0.5641259033876309,0.7996535124147308,0.6252232286391919,0.01939233045544027,0.0024564932100474834,0.0026078575756400824
natural_patch,procedural_natural,3237.768951772969,random_uniform,random_uniform,8192,64,669.2741088867188,0.010072434321045876,0.035853794642857144,0.4528454498861957,0.6537626610597653,0.4813104546945413,0.012198442593990805,0.0011267251102253795,0.0011250493116676807
digit_0,synthetic_digit,359.91159294611685,random_binary,random_binary,8192,64,157.0572509765625,0.05386652797460556,0.04213169642857143,0.4192227743021956,0.8447450009702542,0.6624837134635986,0.012107536052010584,0.0067580994218587875,0.006742666009813547
