object,family,K_eff,basis,requested_basis,num_frames,window,carrier_mean,carrier_cv,running_mean_cv,adjacent_window_ks_d_mean,adjacent_window_ks_p_median
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,2048,64,40.1905632019043,0.05762071534991264,0.007297680247575045,0.06752232142857142,0.7357588823428847
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,2048,64,67.53927612304688,0.04795040190219879,0.0054221320897340775,0.05747767857142857,0.9300863762681126
letter_A,binary_letter,101.21359062702473,random_uniform,random_uniform,2048,64,44.59601593017578,0.05669568479061127,0.006422672886401415,0.07979910714285714,0.4192227743021956
letter_L,binary_letter,59.80235255589372,random_uniform,random_uniform,2048,64,27.741893768310547,0.07444398105144501,0.010343051515519619,0.07142857142857142,0.5641259033876309
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,2048,64,40.11618423461914,0.10192890465259552,0.014866705052554607,0.06584821428571429,0.7357588823428847
digit_1,synthetic_digit,139.48966292397157,random_binary,random_binary,2048,64,67.65369415283203,0.08369830250740051,0.012833989225327969,0.09654017857142858,0.21079844912372867
letter_A,binary_letter,101.21359062702473,random_binary,random_binary,2048,64,44.48772430419922,0.10059482604265213,0.01412374246865511,0.08705357142857142,0.35718226922487123
letter_L,binary_letter,59.80235255589372,random_binary,random_binary,2048,64,27.64417266845703,0.13026708364486694,0.01936570182442665,0.06919642857142858,0.7357588823428847
digit_0,synthetic_digit,97.19698546760661,hadamard_paired,hadamard_ordered,2048,64,40.19881057739258,0.10143168270587921,0.0360339917242527,0.10267857142857142,0.1159601050005088
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,2048,64,67.6080322265625,0.08466988801956177,0.035989876836538315,0.0546875,1.0
letter_A,binary_letter,101.21359062702473,hadamard_paired,hadamard_ordered,2048,64,44.633331298828125,0.099398672580719,0.03604227304458618,0.06361607142857142,0.9300863762681126
letter_L,binary_letter,59.80235255589372,hadamard_paired,hadamard_ordered,2048,64,27.73725700378418,0.12931260466575623,0.03600512817502022,0.044642857142857144,0.7357588823428847
digit_0,synthetic_digit,97.19698546760661,hadamard_random_paired,hadamard_shuffled,2048,64,40.19881057739258,0.10143168270587921,0.002116579096764326,0.05859375,1.0
digit_1,synthetic_digit,139.48966292397157,hadamard_random_paired,hadamard_shuffled,2048,64,67.6080322265625,0.08466988801956177,0.004619069863110781,0.04631696428571429,1.0
letter_A,binary_letter,101.21359062702473,hadamard_random_paired,hadamard_shuffled,2048,64,44.633331298828125,0.099398672580719,0.0033914498053491116,0.05580357142857143,0.9300863762681126
letter_L,binary_letter,59.80235255589372,hadamard_random_paired,hadamard_shuffled,2048,64,27.737255096435547,0.12931261956691742,0.0020568131003528833,0.04408482142857143,1.0
digit_0,synthetic_digit,97.19698546760661,srht_paired,srht_paired,2048,64,40.19881057739258,0.10143167525529861,0.0018304955447092652,0.06584821428571429,0.7357588823428847
digit_1,synthetic_digit,139.48966292397157,srht_paired,srht_paired,2048,64,67.60802459716797,0.08466989547014236,0.0031949218828231096,0.056919642857142856,1.0
letter_A,binary_letter,101.21359062702473,srht_paired,srht_paired,2048,64,44.633331298828125,0.099398672580719,0.0017375688767060637,0.04185267857142857,1.0
letter_L,binary_letter,59.80235255589372,srht_paired,srht_paired,2048,64,27.737255096435547,0.12931260466575623,0.005845456849783659,0.048549107142857144,1.0
