object,family,K_eff,basis,requested_basis,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w,source_file
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,4,2048,9.434005737304688,0.164266362786293,0.0344647289368408,0.0067458594857595,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,8,2048,9.434005737304688,0.164266362786293,0.0236601444243691,0.0033729297428797,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,16,2048,9.434005737304688,0.164266362786293,0.0225991291972731,0.0016864648714398,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,32,2048,9.434005737304688,0.164266362786293,0.0289373828254808,0.0008432324357199,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,64,2048,9.434005737304688,0.164266362786293,0.0388821491320993,0.0004216162178599,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,128,2048,9.434005737304688,0.164266362786293,0.0555898182794692,0.0002108081089299,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,256,2048,9.434005737304688,0.164266362786293,0.0774011976494655,0.0001054040544649,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,512,2048,9.434005737304688,0.164266362786293,0.099829300280724,5.270202723249616e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,1024,2048,9.434005737304688,0.164266362786293,0.123370768863648,2.635101361624808e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,4,2048,9.434005737304688,0.164266362786293,0.0336601714046971,0.0067458594857595,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,8,2048,9.434005737304688,0.164266362786293,0.0227992814386925,0.0033729297428797,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,16,2048,9.434005737304688,0.164266362786293,0.0211721146827771,0.0016864648714398,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,32,2048,9.434005737304688,0.164266362786293,0.026948825046917,0.0008432324357199,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,64,2048,9.434005737304688,0.164266362786293,0.0367191032140327,0.0004216162178599,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,128,2048,9.434005737304688,0.164266362786293,0.051865626582867,0.0002108081089299,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,256,2048,9.434005737304688,0.164266362786293,0.074096894618996,0.0001054040544649,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,512,2048,9.434005737304688,0.164266362786293,0.1016455219442819,5.270202723249616e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,1024,2048,9.434005737304688,0.164266362786293,0.1235419542942151,2.635101361624808e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,2,4,2048,9.434005737304688,0.164266362786293,0.0336873381518178,0.0067458594857595,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,2,8,2048,9.434005737304688,0.164266362786293,0.022239439175142,0.0033729297428797,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,2,16,2048,9.434005737304688,0.164266362786293,0.0200054310169813,0.0016864648714398,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,2,32,2048,9.434005737304688,0.164266362786293,0.0252531378176232,0.0008432324357199,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,2,64,2048,9.434005737304688,0.164266362786293,0.0339674710307868,0.0004216162178599,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,2,128,2048,9.434005737304688,0.164266362786293,0.0482117602219525,0.0002108081089299,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,2,256,2048,9.434005737304688,0.164266362786293,0.0662037285135162,0.0001054040544649,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,2,512,2048,9.434005737304688,0.164266362786293,0.0891082055994993,5.270202723249616e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,2,1024,2048,9.434005737304688,0.164266362786293,0.1161994969300951,2.635101361624808e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,3,4,2048,9.434005737304688,0.164266362786293,0.0342676008965855,0.0067458594857595,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,3,8,2048,9.434005737304688,0.164266362786293,0.0232372841108234,0.0033729297428797,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,3,16,2048,9.434005737304688,0.164266362786293,0.0219100008459198,0.0016864648714398,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,3,32,2048,9.434005737304688,0.164266362786293,0.0280063163083202,0.0008432324357199,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,3,64,2048,9.434005737304688,0.164266362786293,0.0380070916290575,0.0004216162178599,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,3,128,2048,9.434005737304688,0.164266362786293,0.0521570631541588,0.0002108081089299,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,3,256,2048,9.434005737304688,0.164266362786293,0.0730460869490476,0.0001054040544649,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,3,512,2048,9.434005737304688,0.164266362786293,0.0993100744697357,5.270202723249616e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,3,1024,2048,9.434005737304688,0.164266362786293,0.1271918886086544,2.635101361624808e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,4,4,2048,9.434005737304688,0.164266362786293,0.033348773034598,0.0067458594857595,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,4,8,2048,9.434005737304688,0.164266362786293,0.021438751952876,0.0033729297428797,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,4,16,2048,9.434005737304688,0.164266362786293,0.0182428298753895,0.0016864648714398,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,4,32,2048,9.434005737304688,0.164266362786293,0.0222022879676706,0.0008432324357199,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,4,64,2048,9.434005737304688,0.164266362786293,0.0298429682668134,0.0004216162178599,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
