basis,rho,object,argmin_W,n_fit_points,fit_rule,slope_log_err_vs_log_W
hadamard_paired,0.001,digit_0,8,2,segment_too_short,
hadamard_paired,0.001,digit_1,8,2,segment_too_short,
hadamard_paired,0.001,digit_2,4,1,segment_too_short,
hadamard_paired,0.001,digit_3,8,2,segment_too_short,
hadamard_paired,0.001,digit_4,8,2,segment_too_short,
hadamard_paired,0.001,letter_A,8,2,segment_too_short,
hadamard_paired,0.001,letter_L,16,3,inclusive_argmin,-0.24306813403260322
hadamard_paired,0.001,natural_patch,4,1,segment_too_short,
hadamard_paired,0.001,ring,8,2,segment_too_short,
hadamard_paired,0.001,stripe,4,1,segment_too_short,
hadamard_paired,0.01,digit_0,8,2,segment_too_short,
hadamard_paired,0.01,digit_1,8,2,segment_too_short,
hadamard_paired,0.01,digit_2,4,1,segment_too_short,
hadamard_paired,0.01,digit_3,8,2,segment_too_short,
hadamard_paired,0.01,digit_4,8,2,segment_too_short,
hadamard_paired,0.01,letter_A,8,2,segment_too_short,
hadamard_paired,0.01,letter_L,8,2,segment_too_short,
hadamard_paired,0.01,natural_patch,4,1,segment_too_short,
hadamard_paired,0.01,ring,4,1,segment_too_short,
hadamard_paired,0.01,stripe,4,1,segment_too_short,
hadamard_random_paired,0.001,digit_0,16,3,inclusive_argmin,-0.6664612131348151
hadamard_random_paired,0.001,digit_1,16,3,inclusive_argmin,-0.6085444210135629
hadamard_random_paired,0.001,digit_2,16,3,inclusive_argmin,-0.5189405596294862
hadamard_random_paired,0.001,digit_3,16,3,inclusive_argmin,-0.6092974198046167
hadamard_random_paired,0.001,digit_4,16,3,inclusive_argmin,-0.6550199371245682
hadamard_random_paired,0.001,letter_A,16,3,inclusive_argmin,-0.6660449602598296
hadamard_random_paired,0.001,letter_L,32,3,strict_below_argmin,-0.7417137332846235
hadamard_random_paired,0.001,natural_patch,8,2,segment_too_short,
hadamard_random_paired,0.001,ring,16,3,inclusive_argmin,-0.511685644966668
hadamard_random_paired,0.001,stripe,16,3,inclusive_argmin,-0.3036221895920271
hadamard_random_paired,0.01,digit_0,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_1,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_2,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_3,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_4,8,2,segment_too_short,
hadamard_random_paired,0.01,letter_A,8,2,segment_too_short,
hadamard_random_paired,0.01,letter_L,16,3,inclusive_argmin,-0.27896301102501225
hadamard_random_paired,0.01,natural_patch,4,1,segment_too_short,
hadamard_random_paired,0.01,ring,8,2,segment_too_short,
hadamard_random_paired,0.01,stripe,4,1,segment_too_short,
hadamard_raw_ordered,0.001,digit_0,512,7,strict_below_argmin,0.015031179393584166
hadamard_raw_ordered,0.001,digit_1,512,7,strict_below_argmin,0.011296950723848835
hadamard_raw_ordered,0.001,digit_2,512,7,strict_below_argmin,-0.004456964668162357
hadamard_raw_ordered,0.001,digit_3,512,7,strict_below_argmin,0.0036280176722176057
hadamard_raw_ordered,0.001,digit_4,512,7,strict_below_argmin,0.012230596799152641
hadamard_raw_ordered,0.001,letter_A,512,7,strict_below_argmin,0.008781123041854803
hadamard_raw_ordered,0.001,letter_L,512,7,strict_below_argmin,0.015959635874315883
hadamard_raw_ordered,0.001,natural_patch,512,7,strict_below_argmin,-0.008956038622085527
hadamard_raw_ordered,0.001,ring,512,7,strict_below_argmin,-0.0030213357116764482
hadamard_raw_ordered,0.001,stripe,512,7,strict_below_argmin,-0.009656736768954172
hadamard_raw_ordered,0.01,digit_0,512,7,strict_below_argmin,0.016866032021298695
hadamard_raw_ordered,0.01,digit_1,512,7,strict_below_argmin,0.012805365067157768
hadamard_raw_ordered,0.01,digit_2,512,7,strict_below_argmin,-0.0035456727311744076
hadamard_raw_ordered,0.01,digit_3,512,7,strict_below_argmin,0.004660129461344759
hadamard_raw_ordered,0.01,digit_4,512,7,strict_below_argmin,0.013727218048113882
hadamard_raw_ordered,0.01,letter_A,512,7,strict_below_argmin,0.010249138773646572
hadamard_raw_ordered,0.01,letter_L,4,1,segment_too_short,
hadamard_raw_ordered,0.01,natural_patch,512,7,strict_below_argmin,-0.008156895750126123
hadamard_raw_ordered,0.01,ring,512,7,strict_below_argmin,-0.002060095807936945
hadamard_raw_ordered,0.01,stripe,512,7,strict_below_argmin,-0.008887377005389066
hadamard_raw_shuffled,0.001,digit_0,512,7,strict_below_argmin,-0.014692392101261643
hadamard_raw_shuffled,0.001,digit_1,128,5,strict_below_argmin,-0.02149405151753722
hadamard_raw_shuffled,0.001,digit_2,128,5,strict_below_argmin,-0.0461286749435717
hadamard_raw_shuffled,0.001,digit_3,256,6,strict_below_argmin,-0.045378286200758046
hadamard_raw_shuffled,0.001,digit_4,512,7,strict_below_argmin,-0.017319415127369914
hadamard_raw_shuffled,0.001,letter_A,128,5,strict_below_argmin,-0.016577272152590843
hadamard_raw_shuffled,0.001,letter_L,16,3,inclusive_argmin,-0.04039082225243883
hadamard_raw_shuffled,0.001,natural_patch,512,7,strict_below_argmin,-0.03525077792912567
hadamard_raw_shuffled,0.001,ring,512,7,strict_below_argmin,-0.03523183804848274
hadamard_raw_shuffled,0.001,stripe,512,7,strict_below_argmin,-0.0208146676262847
hadamard_raw_shuffled,0.01,digit_0,512,7,strict_below_argmin,-0.01331485175500193
hadamard_raw_shuffled,0.01,digit_1,128,5,strict_below_argmin,-0.020778050624413996
hadamard_raw_shuffled,0.01,digit_2,128,5,strict_below_argmin,-0.04588823820486788
hadamard_raw_shuffled,0.01,digit_3,256,6,strict_below_argmin,-0.044866756641688724
hadamard_raw_shuffled,0.01,digit_4,512,7,strict_below_argmin,-0.016685521332014324
hadamard_raw_shuffled,0.01,letter_A,128,5,strict_below_argmin,-0.015281459724311058
hadamard_raw_shuffled,0.01,letter_L,256,6,strict_below_argmin,-0.011903269065455153
hadamard_raw_shuffled,0.01,natural_patch,512,7,strict_below_argmin,-0.03383064586208636
hadamard_raw_shuffled,0.01,ring,512,7,strict_below_argmin,-0.03279389078806782
hadamard_raw_shuffled,0.01,stripe,512,7,strict_below_argmin,-0.019821680798896964
random_binary,0.001,digit_0,64,4,strict_below_argmin,-0.4187508411163138
random_binary,0.001,digit_1,64,4,strict_below_argmin,-0.4101342472645905
random_binary,0.001,digit_2,32,3,strict_below_argmin,-0.3799312773567773
random_binary,0.001,digit_3,64,4,strict_below_argmin,-0.41684466581712426
random_binary,0.001,digit_4,64,4,strict_below_argmin,-0.4003844275995022
random_binary,0.001,letter_A,64,4,strict_below_argmin,-0.3875576160879123
random_binary,0.001,letter_L,64,4,strict_below_argmin,-0.44688356947343066
random_binary,0.001,natural_patch,32,3,strict_below_argmin,-0.3132170636150066
random_binary,0.001,ring,64,4,strict_below_argmin,-0.3660105818326121
random_binary,0.001,stripe,32,3,strict_below_argmin,-0.3478823448560956
random_binary,0.01,digit_0,32,3,strict_below_argmin,-0.3285903201092867
random_binary,0.01,digit_1,16,3,inclusive_argmin,-0.3023881633907843
random_binary,0.01,digit_2,16,3,inclusive_argmin,-0.19568132824161213
random_binary,0.01,digit_3,16,3,inclusive_argmin,-0.2887363938408801
random_binary,0.01,digit_4,16,3,inclusive_argmin,-0.29406729294686407
random_binary,0.01,letter_A,32,3,strict_below_argmin,-0.27312858014143154
random_binary,0.01,letter_L,32,3,strict_below_argmin,-0.3649821637358857
random_binary,0.01,natural_patch,8,2,segment_too_short,
random_binary,0.01,ring,16,3,inclusive_argmin,-0.21553703986575679
random_binary,0.01,stripe,8,2,segment_too_short,
random_uniform,0.001,digit_0,32,3,strict_below_argmin,-0.40347702660007106
random_uniform,0.001,digit_1,32,3,strict_below_argmin,-0.37196256903680325
random_uniform,0.001,digit_2,32,3,strict_below_argmin,-0.3703147944659817
random_uniform,0.001,digit_3,32,3,strict_below_argmin,-0.3957813166313481
random_uniform,0.001,digit_4,32,3,strict_below_argmin,-0.4320726005663416
random_uniform,0.001,letter_A,32,3,strict_below_argmin,-0.43503995818994723
random_uniform,0.001,letter_L,32,3,strict_below_argmin,-0.4287127275002432
