source,basis,rho,estimator,statistic,n_cells,median,ci_lo_naive,ci_hi_naive,ci_lo_seed_cluster,ci_hi_seed_cluster,ci_lo_two_way,ci_hi_two_way
published_e12_local_r1,hadamard_paired,0.001,gain_rel_err,slope_wle16,200,0.02907608309952219,-0.004842890906141717,0.03887071001377955,0.006081321131600481,0.03314696581160287,-0.06244588344759951,0.20793747574753918
published_e12_local_r1,hadamard_paired,0.001,gain_rel_err,log10_best_err,200,-1.773363430094184,-1.7782707968661513,-1.7671469310357213,-1.7811263460539386,-1.765679928468459,-1.8452199313939122,-1.7534123340181118
published_e12_local_r1,hadamard_paired,0.01,gain_rel_err,slope_wle16,200,0.13069616198804246,0.11023244004367011,0.1657316487588738,0.11640975555214174,0.1415032080082566,0.06271394174270205,0.25916207166422023
published_e12_local_r1,hadamard_paired,0.01,gain_rel_err,log10_best_err,200,-1.6989706883433788,-1.7092576502051875,-1.6912833259382716,-1.707655954988642,-1.6903389205568424,-1.7622330239707156,-1.6742281780013353
published_e12_local_r1,hadamard_random_paired,0.001,gain_rel_err,slope_wle16,200,-0.614985251565831,-0.6369618642365327,-0.6052564263891342,-0.6206521782808007,-0.6101609863773341,-0.6676537864901833,-0.44019592699788046
published_e12_local_r1,hadamard_random_paired,0.001,gain_rel_err,log10_best_err,200,-2.1347783151763293,-2.1489623182827104,-2.1282463943838548,-2.1401177950836088,-2.1302852991329404,-2.1988413125189004,-2.1044748877846944
published_e12_local_r1,hadamard_random_paired,0.01,gain_rel_err,slope_wle16,200,-0.06620588792794932,-0.08607412603069266,-0.04941973284946487,-0.0749149802784406,-0.05912961508757096,-0.14574948623881176,0.10542055687033415
published_e12_local_r1,hadamard_random_paired,0.01,gain_rel_err,log10_best_err,200,-1.810715901593614,-1.8205615999933462,-1.8037318611579944,-1.8148991779155819,-1.8068401161051137,-1.8549717695915169,-1.7848382822067446
published_e12_local_r1,hadamard_raw_ordered,0.001,gain_rel_err,slope_wle16,200,0.020237846475909104,0.014019390749644202,0.028259277074251972,0.020235900004619844,0.02098654303550551,0.0020909086096921113,0.03503922497808697
published_e12_local_r1,hadamard_raw_ordered,0.001,gain_rel_err,log10_best_err,200,-0.04780357384987342,-0.048275663283948285,-0.046846691608382854,-0.049675423340398664,-0.04567369969755386,-0.04986022204097825,-0.044617101261268236
published_e12_local_r1,hadamard_raw_ordered,0.01,gain_rel_err,slope_wle16,200,0.02008133135567449,0.01359485014464027,0.028478010002492185,0.0197389829382615,0.021117987008676963,0.0022044462637837246,0.035070790356730004
published_e12_local_r1,hadamard_raw_ordered,0.01,gain_rel_err,log10_best_err,200,-0.04536042402725528,-0.0472232249489149,-0.04372226948519903,-0.04859715327360857,-0.04281541438212634,-0.048644886845041015,-0.04265879324485351
published_e12_local_r1,hadamard_raw_shuffled,0.001,gain_rel_err,slope_wle16,200,-0.022235392316445803,-0.025685311756763314,-0.018672198843123888,-0.024857162917693847,-0.01858103919219165,-0.030534370272216328,-0.010021296805957406
published_e12_local_r1,hadamard_raw_shuffled,0.001,gain_rel_err,log10_best_err,200,-0.10020059741073746,-0.10429934892799071,-0.0945084318552156,-0.10509809466871148,-0.09288796771792027,-0.11044387979947676,-0.08808248935399758
published_e12_local_r1,hadamard_raw_shuffled,0.01,gain_rel_err,slope_wle16,200,-0.02243384799727762,-0.0246937120924707,-0.017450473086824292,-0.024507392391135734,-0.01717726148049261,-0.03024540727260227,-0.009756603263923046
published_e12_local_r1,hadamard_raw_shuffled,0.01,gain_rel_err,log10_best_err,200,-0.09757721870282983,-0.10453690504949464,-0.09346230580423501,-0.1053205460083626,-0.09063779133984287,-0.10864329193492595,-0.08574478467049658
published_e12_local_r1,random_binary,0.001,gain_rel_err,slope_wle16,200,-0.41345259514389726,-0.42044406499110654,-0.4034897469760581,-0.4148786325555466,-0.41114085486371776,-0.4400300946959977,-0.3709981103275194
published_e12_local_r1,random_binary,0.001,gain_rel_err,log10_best_err,200,-1.8248803195428924,-1.8391827485096908,-1.812676318007483,-1.831381549082585,-1.819244417773641,-1.8935283969760055,-1.7826124984717209
published_e12_local_r1,random_binary,0.01,gain_rel_err,slope_wle16,200,-0.27885305968645857,-0.2866159270399558,-0.26879949622029764,-0.2837226854480567,-0.2744336366696713,-0.31537665265602144,-0.13694875582258947
published_e12_local_r1,random_binary,0.01,gain_rel_err,log10_best_err,200,-1.58675200955761,-1.5940579595598001,-1.5754434813211409,-1.5884193622078906,-1.5830292385149312,-1.6678325491183483,-1.5300338388938952
published_e12_local_r1,random_uniform,0.001,gain_rel_err,slope_wle16,200,-0.3862730938125011,-0.3990106642190881,-0.3728882493642231,-0.3901914798994145,-0.38125785480902097,-0.42408813968166376,-0.316820006340335
published_e12_local_r1,random_uniform,0.001,gain_rel_err,log10_best_err,200,-1.948236190898875,-1.9649637528496908,-1.9409206258522238,-1.9549814211172576,-1.9436519138014736,-2.0407847326360473,-1.9257253181233303
published_e12_local_r1,random_uniform,0.01,gain_rel_err,slope_wle16,200,-0.10396744155283183,-0.1296602529084042,-0.08143634271891519,-0.11398563139097982,-0.09784445031363678,-0.16039254143370565,0.07298187891140351
published_e12_local_r1,random_uniform,0.01,gain_rel_err,log10_best_err,200,-1.6928856443718934,-1.7010760513898338,-1.6864219988068125,-1.6976730821540995,-1.6883043995242804,-1.7919567295929395,-1.6722910649934757
published_e12_local_r1,srht_paired,0.001,gain_rel_err,slope_wle16,200,-0.574932016856972,-0.6018398225166908,-0.5423611025283341,-0.5762985570443501,-0.5652289804533142,-0.6616253703091279,-0.42635729621206186
published_e12_local_r1,srht_paired,0.001,gain_rel_err,log10_best_err,200,-2.115750694552138,-2.1346541249406514,-2.102733561894252,-2.1238485907965083,-2.109972529754982,-2.18898281748164,-2.0798771319265925
published_e12_local_r1,srht_paired,0.01,gain_rel_err,slope_wle16,200,-0.06070146663006487,-0.08153092609078191,-0.04110415520054466,-0.06720058354535736,-0.0526540767939242,-0.141043698979281,0.07891040520991668
