basis,rho,object,argmin_W,n_fit_points,fit_rule,slope_log_err_vs_log_W
hadamard_paired,0.001,digit_0,8,2,segment_too_short,
hadamard_paired,0.001,digit_1,8,2,segment_too_short,
hadamard_paired,0.001,digit_2,4,1,segment_too_short,
hadamard_paired,0.001,digit_3,8,2,segment_too_short,
hadamard_paired,0.001,digit_4,8,2,segment_too_short,
hadamard_paired,0.001,letter_A,8,2,segment_too_short,
hadamard_paired,0.001,letter_L,8,2,segment_too_short,
hadamard_paired,0.001,natural_patch,4,1,segment_too_short,
hadamard_paired,0.001,ring,8,2,segment_too_short,
hadamard_paired,0.001,stripe,4,1,segment_too_short,
hadamard_paired,0.01,digit_0,8,2,segment_too_short,
hadamard_paired,0.01,digit_1,8,2,segment_too_short,
hadamard_paired,0.01,digit_2,4,1,segment_too_short,
hadamard_paired,0.01,digit_3,8,2,segment_too_short,
hadamard_paired,0.01,digit_4,8,2,segment_too_short,
hadamard_paired,0.01,letter_A,8,2,segment_too_short,
hadamard_paired,0.01,letter_L,8,2,segment_too_short,
hadamard_paired,0.01,natural_patch,4,1,segment_too_short,
hadamard_paired,0.01,ring,4,1,segment_too_short,
hadamard_paired,0.01,stripe,4,1,segment_too_short,
hadamard_random_paired,0.001,digit_0,16,3,inclusive_argmin,-0.6733328162778128
hadamard_random_paired,0.001,digit_1,16,3,inclusive_argmin,-0.6161182104420867
hadamard_random_paired,0.001,digit_2,16,3,inclusive_argmin,-0.5301472676789503
hadamard_random_paired,0.001,digit_3,16,3,inclusive_argmin,-0.6200589310547278
hadamard_random_paired,0.001,digit_4,16,3,inclusive_argmin,-0.6615254594936077
hadamard_random_paired,0.001,letter_A,16,3,inclusive_argmin,-0.6700041068652342
hadamard_random_paired,0.001,letter_L,32,3,strict_below_argmin,-0.7412395949957904
hadamard_random_paired,0.001,natural_patch,8,2,segment_too_short,
hadamard_random_paired,0.001,ring,16,3,inclusive_argmin,-0.5229769899426613
hadamard_random_paired,0.001,stripe,16,3,inclusive_argmin,-0.32240600794526236
hadamard_random_paired,0.01,digit_0,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_1,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_2,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_3,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_4,8,2,segment_too_short,
hadamard_random_paired,0.01,letter_A,8,2,segment_too_short,
hadamard_random_paired,0.01,letter_L,16,3,inclusive_argmin,-0.28307856785421404
hadamard_random_paired,0.01,natural_patch,4,1,segment_too_short,
hadamard_random_paired,0.01,ring,8,2,segment_too_short,
hadamard_random_paired,0.01,stripe,4,1,segment_too_short,
hadamard_raw_ordered_1024,0.001,digit_0,512,7,strict_below_argmin,0.0135068824445762
hadamard_raw_ordered_1024,0.001,digit_1,512,7,strict_below_argmin,0.009669856675073621
hadamard_raw_ordered_1024,0.001,digit_2,512,7,strict_below_argmin,-0.005521793803805964
hadamard_raw_ordered_1024,0.001,digit_3,512,7,strict_below_argmin,0.0024677335462568507
hadamard_raw_ordered_1024,0.001,digit_4,512,7,strict_below_argmin,0.010654873964812739
hadamard_raw_ordered_1024,0.001,letter_A,512,7,strict_below_argmin,0.0075625706890886345
hadamard_raw_ordered_1024,0.001,letter_L,512,7,strict_below_argmin,0.014539613663892796
hadamard_raw_ordered_1024,0.001,natural_patch,512,7,strict_below_argmin,-0.009793956200478621
hadamard_raw_ordered_1024,0.001,ring,512,7,strict_below_argmin,-0.003968019328075207
hadamard_raw_ordered_1024,0.001,stripe,512,7,strict_below_argmin,-0.010468629357444739
hadamard_raw_ordered_1024,0.01,digit_0,512,7,strict_below_argmin,0.014074579136361369
hadamard_raw_ordered_1024,0.01,digit_1,512,7,strict_below_argmin,0.010086759216585946
hadamard_raw_ordered_1024,0.01,digit_2,512,7,strict_below_argmin,-0.005249956038832426
hadamard_raw_ordered_1024,0.01,digit_3,512,7,strict_below_argmin,0.0027760952701302525
hadamard_raw_ordered_1024,0.01,digit_4,512,7,strict_below_argmin,0.011066157320499958
hadamard_raw_ordered_1024,0.01,letter_A,512,7,strict_below_argmin,0.007940808137621038
hadamard_raw_ordered_1024,0.01,letter_L,512,7,strict_below_argmin,0.014974776005101447
hadamard_raw_ordered_1024,0.01,natural_patch,512,7,strict_below_argmin,-0.009499739639484413
hadamard_raw_ordered_1024,0.01,ring,512,7,strict_below_argmin,-0.0036430983576279724
hadamard_raw_ordered_1024,0.01,stripe,512,7,strict_below_argmin,-0.010186458743204865
hadamard_raw_ordered_2048,0.001,digit_0,1024,8,strict_below_argmin,0.016051797993974735
hadamard_raw_ordered_2048,0.001,digit_1,4,1,segment_too_short,
hadamard_raw_ordered_2048,0.001,digit_2,1024,8,strict_below_argmin,-0.0026399003986568967
hadamard_raw_ordered_2048,0.001,digit_3,1024,8,strict_below_argmin,0.0056056730315922195
hadamard_raw_ordered_2048,0.001,digit_4,1024,8,strict_below_argmin,0.013889303440376456
hadamard_raw_ordered_2048,0.001,letter_A,1024,8,strict_below_argmin,0.010423604614111395
hadamard_raw_ordered_2048,0.001,letter_L,4,1,segment_too_short,
hadamard_raw_ordered_2048,0.001,natural_patch,1024,8,strict_below_argmin,-0.007464210369681106
hadamard_raw_ordered_2048,0.001,ring,1024,8,strict_below_argmin,-0.0012150806333982866
hadamard_raw_ordered_2048,0.001,stripe,1024,8,strict_below_argmin,-0.008265034795976383
hadamard_raw_ordered_2048,0.01,digit_0,4,1,segment_too_short,
hadamard_raw_ordered_2048,0.01,digit_1,4,1,segment_too_short,
hadamard_raw_ordered_2048,0.01,digit_2,1024,8,strict_below_argmin,-0.0024229488376217357
hadamard_raw_ordered_2048,0.01,digit_3,1024,8,strict_below_argmin,0.005851171689531785
hadamard_raw_ordered_2048,0.01,digit_4,1024,8,strict_below_argmin,0.014151371546618169
hadamard_raw_ordered_2048,0.01,letter_A,1024,8,strict_below_argmin,0.010737946581099504
hadamard_raw_ordered_2048,0.01,letter_L,4,1,segment_too_short,
hadamard_raw_ordered_2048,0.01,natural_patch,1024,8,strict_below_argmin,-0.007194264505501272
hadamard_raw_ordered_2048,0.01,ring,1024,8,strict_below_argmin,-0.0009312447885447402
hadamard_raw_ordered_2048,0.01,stripe,1024,8,strict_below_argmin,-0.008006718710103904
hadamard_raw_shuffled_1024,0.001,digit_0,64,4,strict_below_argmin,-0.01692584738037742
hadamard_raw_shuffled_1024,0.001,digit_1,128,5,strict_below_argmin,-0.023147938395334276
hadamard_raw_shuffled_1024,0.001,digit_2,512,7,strict_below_argmin,-0.04461852065019851
hadamard_raw_shuffled_1024,0.001,digit_3,512,7,strict_below_argmin,-0.039697282501448695
hadamard_raw_shuffled_1024,0.001,digit_4,512,7,strict_below_argmin,-0.010872962201677893
hadamard_raw_shuffled_1024,0.001,letter_A,64,4,strict_below_argmin,-0.024576329014426915
hadamard_raw_shuffled_1024,0.001,letter_L,512,7,strict_below_argmin,-0.011436152990305195
hadamard_raw_shuffled_1024,0.001,natural_patch,512,7,strict_below_argmin,-0.03597050493073558
hadamard_raw_shuffled_1024,0.001,ring,512,7,strict_below_argmin,-0.0350139755672941
hadamard_raw_shuffled_1024,0.001,stripe,512,7,strict_below_argmin,-0.024348814427789734
hadamard_raw_shuffled_1024,0.01,digit_0,64,4,strict_below_argmin,-0.01643008369850444
hadamard_raw_shuffled_1024,0.01,digit_1,512,7,strict_below_argmin,-0.016412796903786404
hadamard_raw_shuffled_1024,0.01,digit_2,512,7,strict_below_argmin,-0.04347125303793091
hadamard_raw_shuffled_1024,0.01,digit_3,512,7,strict_below_argmin,-0.03810070378239862
hadamard_raw_shuffled_1024,0.01,digit_4,512,7,strict_below_argmin,-0.009991496556031694
hadamard_raw_shuffled_1024,0.01,letter_A,64,4,strict_below_argmin,-0.024875169263834082
hadamard_raw_shuffled_1024,0.01,letter_L,64,4,strict_below_argmin,-0.025501531358610257
hadamard_raw_shuffled_1024,0.01,natural_patch,512,7,strict_below_argmin,-0.0350339653238811
hadamard_raw_shuffled_1024,0.01,ring,512,7,strict_below_argmin,-0.03322514373404372
