basis,rho,object,fit_max_W,slope_log_err_vs_log_W,W,object_mean_err,object_std_err,relative_spread
hadamard_paired,0.001,digit_0,32,0.12390455112025811,4,0.021062006016519697,0.0014816356704087496,0.07034637010580326
hadamard_paired,0.001,digit_0,32,0.12390455112025811,8,0.01759013090320185,0.0003750181141351054,0.021319802348193022
hadamard_paired,0.001,digit_0,32,0.12390455112025811,16,0.020889586005398274,5.6190511210498645e-05,0.0026898815130169612
hadamard_paired,0.001,digit_0,32,0.12390455112025811,32,0.028336297372071592,0.00018256172625504867,0.006442681055252564
hadamard_paired,0.001,digit_0,32,0.12390455112025811,64,0.03898283727950644,3.708723393068894e-05,0.0009513733868259499
hadamard_paired,0.001,digit_0,32,0.12390455112025811,128,0.0557450226368506,0.00013133435751123967,0.002355983571247494
hadamard_paired,0.001,digit_0,32,0.12390455112025811,256,0.07802247115855984,0.0002828132503690031,0.0036247666367072726
hadamard_paired,0.001,digit_0,32,0.12390455112025811,512,0.10164197808297244,0.0006564969018032496,0.006458915048537698
hadamard_paired,0.001,digit_0,32,0.12390455112025811,1024,0.12679886638752674,0.001157487450312425,0.009128531534145383
hadamard_paired,0.001,digit_1,32,0.18469772902297849,4,0.021062006016519697,0.0014816356704087496,0.07034637010580326
hadamard_paired,0.001,digit_1,32,0.18469772902297849,8,0.01759013090320185,0.0003750181141351054,0.021319802348193022
hadamard_paired,0.001,digit_1,32,0.18469772902297849,16,0.020889586005398274,5.6190511210498645e-05,0.0026898815130169612
hadamard_paired,0.001,digit_1,32,0.18469772902297849,32,0.028336297372071592,0.00018256172625504867,0.006442681055252564
hadamard_paired,0.001,digit_1,32,0.18469772902297849,64,0.03898283727950644,3.708723393068894e-05,0.0009513733868259499
hadamard_paired,0.001,digit_1,32,0.18469772902297849,128,0.0557450226368506,0.00013133435751123967,0.002355983571247494
hadamard_paired,0.001,digit_1,32,0.18469772902297849,256,0.07802247115855984,0.0002828132503690031,0.0036247666367072726
hadamard_paired,0.001,digit_1,32,0.18469772902297849,512,0.10164197808297244,0.0006564969018032496,0.006458915048537698
hadamard_paired,0.001,digit_1,32,0.18469772902297849,1024,0.12679886638752674,0.001157487450312425,0.009128531534145383
hadamard_random_paired,0.001,digit_0,32,-0.46037353266156544,4,0.01863017774167463,0.0015817309381910404,0.08490154845129576
hadamard_random_paired,0.001,digit_0,32,-0.46037353266156544,8,0.011166146557524865,0.0009778817457055675,0.08757557861772583
hadamard_random_paired,0.001,digit_0,32,-0.46037353266156544,16,0.0075611098427263695,0.0003923215995613638,0.05188677425957104
hadamard_random_paired,0.001,digit_0,32,-0.46037353266156544,32,0.007844987344314538,0.0001888418712594933,0.024071660408267172
hadamard_random_paired,0.001,digit_0,32,-0.46037353266156544,64,0.010425194767139455,0.00012403863369216204,0.01189796799606428
hadamard_random_paired,0.001,digit_0,32,-0.46037353266156544,128,0.01450999819243942,0.00014447165543210634,0.009956696997204641
hadamard_random_paired,0.001,digit_0,32,-0.46037353266156544,256,0.02091570915488101,0.00019241352921108706,0.00919947431790446
hadamard_random_paired,0.001,digit_0,32,-0.46037353266156544,512,0.03382059895461653,0.0004956507185616271,0.014655290973017215
hadamard_random_paired,0.001,digit_0,32,-0.46037353266156544,1024,0.042614989672174114,0.00011849509193547977,0.0027805965189017126
hadamard_random_paired,0.001,digit_1,32,-0.39719576642631926,4,0.01863017774167463,0.0015817309381910404,0.08490154845129576
hadamard_random_paired,0.001,digit_1,32,-0.39719576642631926,8,0.011166146557524865,0.0009778817457055675,0.08757557861772583
hadamard_random_paired,0.001,digit_1,32,-0.39719576642631926,16,0.0075611098427263695,0.0003923215995613638,0.05188677425957104
hadamard_random_paired,0.001,digit_1,32,-0.39719576642631926,32,0.007844987344314538,0.0001888418712594933,0.024071660408267172
hadamard_random_paired,0.001,digit_1,32,-0.39719576642631926,64,0.010425194767139455,0.00012403863369216204,0.01189796799606428
hadamard_random_paired,0.001,digit_1,32,-0.39719576642631926,128,0.01450999819243942,0.00014447165543210634,0.009956696997204641
hadamard_random_paired,0.001,digit_1,32,-0.39719576642631926,256,0.02091570915488101,0.00019241352921108706,0.00919947431790446
