basis,N,N_factor,v,rel_mse_mean,rel_mse_std,theory_rel_mse_mean,measured_leverage_mean,C0_measured_mean
orthogonal_inverse,1024,1,0.0,3.1765454823864567e-13,1.9317144940242825e-13,0.0,1.0,3.2527825739637317e-10
orthogonal_inverse,1024,1,0.0001,8.393920240815214e-05,3.836002148050144e-05,0.0001,1.0,3.2527825739637317e-10
orthogonal_inverse,1024,1,0.0003,0.0002299904578624876,0.00011952904753777634,0.0003,1.0,3.2527825739637317e-10
orthogonal_inverse,1024,1,0.001,0.0010361541818360367,0.0005362383025126497,0.001,1.0,3.2527825739637317e-10
orthogonal_inverse,1024,1,0.003,0.0024331504503795984,0.0013708922380288363,0.003,1.0,3.2527825739637317e-10
orthogonal_inverse,1024,1,0.01,0.009007810796704548,0.004083456304793159,0.01,1.0,3.2527825739637317e-10
orthogonal_inverse,2048,1,0.0,8.246102142735073e-13,4.2584224478825234e-13,0.0,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.0001,7.691754766559391e-05,3.3084776954381004e-05,0.0001,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.0003,0.0002940186561553466,0.00013822221713757313,0.0003,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.001,0.0009023641206685179,0.00046120760391123714,0.001,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.003,0.0028582562257317853,0.001157090585992032,0.003,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.01,0.007913731883201821,0.003611410892922874,0.01,1.0,1.688801718832143e-09
orthogonal_inverse,4096,1,0.0,1.3850179600741842e-13,1.0935723045047747e-13,0.0,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.0001,7.929662875438583e-05,3.569264943550707e-05,0.0001,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.0003,0.00027524695766925617,0.00013209966278438534,0.0003,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.001,0.0008519958568950273,0.0003746951570282021,0.001,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.003,0.0030482548251154966,0.0012936732454542298,0.003,1.0,5.673033564463858e-10
