basis,v,n_points,slope_log_relmse_vs_log_N
orthogonal_inverse,0.0001,3,0.031509375984785475
orthogonal_inverse,0.0003,3,0.062347099550342365
orthogonal_inverse,0.001,3,-0.07448697650986946
orthogonal_inverse,0.003,3,0.05218083498754152
orthogonal_inverse,0.01,3,-0.01653790879576459
random_dgi,0.0001,3,-1.031244179886114
random_dgi,0.0003,3,-0.9738033404550728
random_dgi,0.001,3,-0.9966288724496077
random_dgi,0.003,3,-0.9892662078390563
random_dgi,0.01,3,-1.0068436533236047
srht_inverse,0.0001,3,0.007260251663716266
srht_inverse,0.0003,3,-0.00366321197336049
srht_inverse,0.001,3,-0.002041646123266479
srht_inverse,0.003,3,-0.01353767235509205
srht_inverse,0.01,3,0.00844783681506825
