object,family,K_eff,basis,N,N_factor,seed,v,rel_mse,measured_leverage,theory_rel_mse,target_energy
digit_0,synthetic_digit,25.042739944605774,orthogonal_inverse,256,1,0,0.0001,7.594608593306896e-05,1.0,0.0001,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,orthogonal_inverse,256,1,0,0.0003,0.0002201265272399066,1.0,0.0003,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,orthogonal_inverse,256,1,0,0.001,0.0015019522734478624,1.0,0.001,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,orthogonal_inverse,256,1,0,0.003,0.0028175805790442887,1.0,0.003,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,orthogonal_inverse,256,1,0,0.01,0.007007463059189933,1.0,0.01,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,srht_inverse,256,1,0,0.0001,0.00011040419673540024,1.0,0.0001,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,srht_inverse,256,1,0,0.0003,0.00030542242532389407,1.0,0.0003,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,srht_inverse,256,1,0,0.001,0.0010553480913385223,1.0,0.001,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,srht_inverse,256,1,0,0.003,0.0021934093393464384,1.0,0.003,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,srht_inverse,256,1,0,0.01,0.010604838061393422,1.0,0.01,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,256,1,0,0.0001,0.00765407344265305,79.21308267152763,0.007921308267152764,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,256,1,0,0.0003,0.02462603106970319,79.21308267152763,0.023763924801458287,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,256,1,0,0.001,0.06435567890129339,79.21308267152763,0.07921308267152763,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,256,1,0,0.003,0.21501279241621676,79.21308267152763,0.2376392480145829,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,256,1,0,0.01,0.8058323499914657,79.21308267152763,0.7921308267152763,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,512,2,0,0.0001,0.0033939053006204916,40.67682624231755,0.004067682624231755,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,512,2,0,0.0003,0.011015436404845038,40.67682624231755,0.012203047872695265,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,512,2,0,0.001,0.036358726924005005,40.67682624231755,0.040676826242317554,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,512,2,0,0.003,0.12059900969133797,40.67682624231755,0.12203047872695266,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,512,2,0,0.01,0.4431849576166156,40.67682624231755,0.40676826242317554,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,1024,4,0,0.0001,0.00202992041438522,25.50088827061422,0.002550088827061422,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,1024,4,0,0.0003,0.005330502969470538,25.50088827061422,0.007650266481184265,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,1024,4,0,0.001,0.017917330931034977,25.50088827061422,0.025500888270614218,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,1024,4,0,0.003,0.070851802538869,25.50088827061422,0.07650266481184266,0.050910930340051334
digit_0,synthetic_digit,25.042739944605774,random_dgi,1024,4,0,0.01,0.2375152605440557,25.50088827061422,0.2550088827061422,0.050910930340051334
digit_1,synthetic_digit,69.25703136437882,orthogonal_inverse,256,1,0,0.0001,0.00017147536374277975,1.0,0.0001,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,orthogonal_inverse,256,1,0,0.0003,0.0002636744058061538,1.0,0.0003,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,orthogonal_inverse,256,1,0,0.001,0.0007334244097292529,1.0,0.001,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,orthogonal_inverse,256,1,0,0.003,0.003193810603820615,1.0,0.003,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,orthogonal_inverse,256,1,0,0.01,0.004451983480063164,1.0,0.01,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,srht_inverse,256,1,0,0.0001,0.00011613865928415745,1.0,0.0001,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,srht_inverse,256,1,0,0.0003,0.00024038486394080744,1.0,0.0003,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,srht_inverse,256,1,0,0.001,0.0010102641742576503,1.0,0.001,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,srht_inverse,256,1,0,0.003,0.002578131872093399,1.0,0.003,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,srht_inverse,256,1,0,0.01,0.009822602348555028,1.0,0.01,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,256,1,0,0.0001,0.020712477971473173,200.59666113090103,0.020059666113090104,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,256,1,0,0.0003,0.06720688073018953,200.59666113090103,0.060178998339270304,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,256,1,0,0.001,0.18358958635654213,200.59666113090103,0.20059666113090102,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,256,1,0,0.003,0.605428445418463,200.59666113090103,0.6017899833927031,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,256,1,0,0.01,2.325134171546754,200.59666113090103,2.0059666113090104,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,512,2,0,0.0001,0.009355226212092744,110.34270149051578,0.011034270149051579,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,512,2,0,0.0003,0.03135871700854686,110.34270149051578,0.03310281044715473,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,512,2,0,0.001,0.10028151931934383,110.34270149051578,0.11034270149051578,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,512,2,0,0.003,0.33886188070719137,110.34270149051578,0.33102810447154735,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,512,2,0,0.01,1.2031437346624376,110.34270149051578,1.1034270149051577,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,1024,4,0,0.0001,0.005634578776722106,68.11996830095896,0.006811996830095896,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,1024,4,0,0.0003,0.0142955488310302,68.11996830095896,0.020435990490287687,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,1024,4,0,0.001,0.05130944470653491,68.11996830095896,0.06811996830095896,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,1024,4,0,0.003,0.18476939666360925,68.11996830095896,0.2043599049028769,0.2632749510117519
digit_1,synthetic_digit,69.25703136437882,random_dgi,1024,4,0,0.01,0.6519614528993155,68.11996830095896,0.6811996830095896,0.2632749510117519
