basis,N,N_factor,v,rel_mse_mean,rel_mse_std,theory_rel_mse_mean,measured_leverage_mean
orthogonal_inverse,256,1,0.0001,0.00012371072483792435,6.754940014110008e-05,0.0001,1.0
orthogonal_inverse,256,1,0.0003,0.0002419004665230302,3.07930002404817e-05,0.0003,1.0
orthogonal_inverse,256,1,0.001,0.0011176883415885577,0.0005434312639662396,0.001,1.0
orthogonal_inverse,256,1,0.003,0.0030056955914324517,0.0002660348018053233,0.003,1.0
orthogonal_inverse,256,1,0.01,0.0057297232696265485,0.0018069969395842825,0.01,1.0
random_dgi,256,1,0.0001,0.014183275707063112,0.009233686393805831,0.013990487190121434,139.90487190121434
random_dgi,256,1,0.0003,0.04591645589994636,0.030109207543614788,0.0419714615703643,139.90487190121434
random_dgi,256,1,0.001,0.12397263262891775,0.08431110450897564,0.1399048719012143,139.90487190121434
random_dgi,256,1,0.003,0.41022061891733985,0.2760655557192624,0.419714615703643,139.90487190121434
random_dgi,256,1,0.01,1.5654832607691098,1.0743086206908183,1.3990487190121434,139.90487190121434
random_dgi,512,2,0.0001,0.0063745657563566175,0.0042152904413312,0.0075509763866416675,75.50976386641666
random_dgi,512,2,0.0003,0.021187076706695947,0.014384871666458318,0.022652929159925,75.50976386641666
random_dgi,512,2,0.001,0.06832012312167442,0.04520023997512396,0.07550976386641667,75.50976386641666
random_dgi,512,2,0.003,0.22973044519926467,0.1543351561765547,0.22652929159925,75.50976386641666
random_dgi,512,2,0.01,0.8231643461395266,0.5373720046713364,0.7550976386641666,75.50976386641666
random_dgi,1024,4,0.0001,0.003832249595553663,0.0025488783718692074,0.004681042828578659,46.810428285786585
random_dgi,1024,4,0.0003,0.009813025900250369,0.006339244722357231,0.014043128485735976,46.810428285786585
random_dgi,1024,4,0.001,0.034613387818784945,0.023611790088808732,0.04681042828578659,46.810428285786585
random_dgi,1024,4,0.003,0.12781059960123914,0.08055190330206063,0.14043128485735978,46.810428285786585
random_dgi,1024,4,0.01,0.4447383567216856,0.2930577130513485,0.46810428285786587,46.810428285786585
srht_inverse,256,1,0.0001,0.00011327142800977884,4.054877354686519e-06,0.0001,1.0
srht_inverse,256,1,0.0003,0.00027290364463235077,4.5988500685816904e-05,0.0003,1.0
srht_inverse,256,1,0.001,0.0010328061327980862,3.187914349033652e-05,0.001,1.0
srht_inverse,256,1,0.003,0.0023857706057199184,0.00027203991178063945,0.003,1.0
srht_inverse,256,1,0.01,0.010213720204974224,0.0005531241770343203,0.01,1.0
