object,family,K_eff,basis,rho,s,seed,W,photon_budget,lambda_bar,zero_fraction,method,gain_rel_mse,log_gain_mse,fisher_reference,fisher_reference_nominal
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,0.25,0.24999895691871643,0.77978515625,soft_log,0.0026767101419834286,0.002631399667101661,0.0623251581686788,0.06250026077140891
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,0.25,0.24999895691871643,0.77978515625,soft_log_calibrated,0.05361965786577169,0.05816328357630264,0.0623251581686788,0.06250026077140891
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,0.25,0.24999895691871643,0.77978515625,soft_log_calibrated_carrier_oracle,0.053505313239252415,0.05781662676905446,0.0623251581686788,0.06250026077140891
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,0.25,0.24999895691871643,0.77978515625,naive_log,0.12088357833990897,0.1186505338527434,0.0623251581686788,0.06250026077140891
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,0.25,0.24999895691871643,0.77978515625,anscombe,0.005484432352701515,0.005388320498563337,0.0623251581686788,0.06250026077140891
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,0.5,0.49999791383743286,0.60400390625,soft_log,0.006324946063860898,0.006261446918621681,0.0311625790843394,0.031250130385704455
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,0.5,0.49999791383743286,0.60400390625,soft_log_calibrated,0.028197854545759373,0.029027609851466026,0.0311625790843394,0.031250130385704455
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,0.5,0.49999791383743286,0.60400390625,soft_log_calibrated_carrier_oracle,0.027669957348710306,0.02856615959352268,0.0311625790843394,0.031250130385704455
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,0.5,0.49999791383743286,0.60400390625,naive_log,0.14056328600992354,0.1488885895767734,0.0311625790843394,0.031250130385704455
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,0.5,0.49999791383743286,0.60400390625,anscombe,0.009575859868353027,0.009515325181310793,0.0311625790843394,0.031250130385704455
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,1.0,0.9999958276748657,0.3544921875,soft_log,0.007970795337592014,0.008054690611626482,0.0155812895421697,0.015625065192852228
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,1.0,0.9999958276748657,0.3544921875,soft_log_calibrated,0.017684761101802185,0.0184976422468772,0.0155812895421697,0.015625065192852228
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,1.0,0.9999958276748657,0.3544921875,soft_log_calibrated_carrier_oracle,0.017574067878116155,0.018414147981206178,0.0155812895421697,0.015625065192852228
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,1.0,0.9999958276748657,0.3544921875,naive_log,0.18754092082886722,0.22733333685994694,0.0155812895421697,0.015625065192852228
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,1.0,0.9999958276748657,0.3544921875,anscombe,0.00940484394722167,0.00957454642150848,0.0155812895421697,0.015625065192852228
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,2.0,1.9999916553497314,0.14501953125,soft_log,0.010332509184195753,0.010389178336006171,0.00779064477108485,0.007812532596426114
