rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames,above_floor,above_floor_candidates,best_sub_floor_basis,best_sub_floor_correction,best_sub_floor_psnr_mean,best_sub_floor_rel_mse_mean,scope,candidate_count,above_floor_rel_mse
0.001,0.05,srht_paired,pairwise,44.68678231032312,2.2588257018812685,0.0003913432666552,6.793528508968289e-05,2048,0,2048,True,33,,,,,equal_frame_non_oracle,33,0.5
0.001,0.1,srht_paired,pairwise,38.673864886840136,2.2578923485970632,0.0015625566709143,0.0002709168392678,2048,0,2048,True,32,,,,,equal_frame_non_oracle,33,0.5
0.001,0.15,srht_paired,pairwise,35.163092740867164,2.256452889691248,0.0035066287598953,0.0006067707664483,2048,0,2048,True,31,,,,,equal_frame_non_oracle,33,0.5
0.001,0.3,srht_paired,pairwise,29.195575469615363,2.2491828279991712,0.0138521712279419,0.0023720538957359,2048,0,2048,True,29,,,,,equal_frame_non_oracle,33,0.5
0.001,0.5,srht_paired,pairwise,24.87412266674908,2.233094698396869,0.0374442238919837,0.0062610206629998,2048,0,2048,True,27,,,,,equal_frame_non_oracle,33,0.5
0.003,0.05,srht_paired,pairwise,39.925527443100655,2.2581671969722548,0.0011713094371357,0.0002031220601117,2048,0,2048,True,32,,,,,equal_frame_non_oracle,33,0.5
0.003,0.1,srht_paired,pairwise,33.92459186920484,2.2556037756003486,0.0046636228814806,0.0008058498968608,2048,0,2048,True,31,,,,,equal_frame_non_oracle,33,0.5
0.003,0.15,srht_paired,pairwise,30.432405517491848,2.2515591959391115,0.0104201300821367,0.0017901197863581,2048,0,2048,True,29,,,,,equal_frame_non_oracle,33,0.5
0.003,0.3,srht_paired,pairwise,24.558174394021147,2.23122075018126,0.0402665259441246,0.006712119577378,2048,0,2048,True,27,,,,,equal_frame_non_oracle,33,0.5
0.003,0.5,srht_paired,pairwise,20.43698681257202,2.1886589227922526,0.1038358035184519,0.0161948980308388,2048,0,2048,True,27,,,,,equal_frame_non_oracle,33,0.5
0.01,0.05,srht_paired,pairwise,34.729344113271544,2.2557816451842827,0.0038747105227227,0.0006690579750041,2048,0,2048,True,32,,,,,equal_frame_non_oracle,33,0.5
0.01,0.1,srht_paired,pairwise,28.7668257919042,2.247755471283119,0.015288085091096,0.00260924190012,2048,0,2048,True,29,,,,,equal_frame_non_oracle,33,0.5
0.01,0.15,srht_paired,pairwise,25.33491374177765,2.2351857060753084,0.0336764275959015,0.005641075565802,2048,0,2048,True,27,,,,,equal_frame_non_oracle,33,0.5
0.01,0.3,srht_paired,pairwise,19.75276349392864,2.176332541375784,0.121494582021453,0.018547229553396,2048,0,2048,True,27,,,,,equal_frame_non_oracle,33,0.5
0.01,0.5,srht_paired,pairwise,16.186516299330545,2.0746561698806656,0.2752194604370594,0.0349688538133628,2048,0,2048,True,22,,,,,equal_frame_non_oracle,33,0.5
0.03,0.05,srht_paired,pairwise,30.030914275477112,2.249885250951824,0.0114280259841089,0.0019549261759595,2048,0,2048,True,30,,,,,equal_frame_non_oracle,33,0.5
0.03,0.1,srht_paired,pairwise,24.16976600026448,2.2274367182242263,0.0440247259245678,0.0072815385304145,2048,0,2048,True,27,,,,,equal_frame_non_oracle,33,0.5
0.03,0.15,srht_paired,pairwise,20.892819869111754,2.19408441201007,0.0935037859042265,0.0146766854965672,2048,0,2048,True,27,,,,,equal_frame_non_oracle,33,0.5
