figure_id,figure_title,panel,panel_title,asset_png,asset_source,asset_caption,output_png,output_pdf,output_svg,figure_caption
figure3_agc_diagnostics,Figure 3. AGC window diagnostics,A,Original best-window fit,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\m4_agc_window_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_paper_r2_highrho\m4_agc_window_law_fit.csv,"AGC best-window fits are weak for random/SRHT, indicating the current window grid is diagnostic rather than final.",E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.pdf,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.svg,"Current AGC evidence supports a bias-variance diagnostic, but targeted and boundary-aware fits remain boundary-sensitive rather than theorem-level closure."
figure3_agc_diagnostics,Figure 3. AGC window diagnostics,B,Targeted grid saturation,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\m4_agc_targeted_saturation_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_agc_targeted_r1\m4_agc_targeted_saturation.csv,The targeted AGC sweep expands the window grid but many best windows still sit on the lower boundary.,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.pdf,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.svg,"Current AGC evidence supports a bias-variance diagnostic, but targeted and boundary-aware fits remain boundary-sensitive rather than theorem-level closure."
figure3_agc_diagnostics,Figure 3. AGC window diagnostics,C,Targeted fit,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\m4_agc_targeted_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_agc_targeted_r1\m4_agc_targeted_fit.csv,Targeted AGC fits improve over the earlier diagnostic but remain too boundary-sensitive for a final law.,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.pdf,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.svg,"Current AGC evidence supports a bias-variance diagnostic, but targeted and boundary-aware fits remain boundary-sensitive rather than theorem-level closure."
figure3_agc_diagnostics,Figure 3. AGC window diagnostics,D,Boundary-aware fit,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\m4_agc_boundary_aware_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_agc_boundary_aware_r1\m4_agc_boundary_aware_fit.csv,"Boundary-aware AGC fits treat lower-grid selections as bounded optima; random bases reach 0.80 interval satisfaction, while Hadamard remains weak.",E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.pdf,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure3_agc_diagnostics.svg,"Current AGC evidence supports a bias-variance diagnostic, but targeted and boundary-aware fits remain boundary-sensitive rather than theorem-level closure."
figure4_error_scaling,Figure 4. Residual error scaling and coefficient spreading,A,Residual gain error scaling,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\m4_error_scaling_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_paper_r2_highrho\m4_error_scaling_fit.csv,Residual gain error fits show sigma_delta exponents near 2 with R2 above 0.9999 across bases.,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.pdf,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.svg,"Residual gain errors scale quadratically, random-frame averaging reduces reconstruction error with frame count, and SRHT spreads object energy similarly to random bases."
figure4_error_scaling,Figure 4. Residual error scaling and coefficient spreading,B,Random-frame scaling,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\m4_random_frame_scaling_sigma0p05.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_paper_r2_highrho\m4_random_frame_scaling_summary.csv,Random-basis residual gain error decreases as frame count increases at fixed image size and sigma_delta=0.05.,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.pdf,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.svg,"Residual gain errors scale quadratically, random-frame averaging reduces reconstruction error with frame count, and SRHT spreads object energy similarly to random bases."
figure4_error_scaling,Figure 4. Residual error scaling and coefficient spreading,C,Frame-count fit,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\m4_random_frame_scaling_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_paper_r2_highrho\m4_random_frame_scaling_fit.csv,Fixed-size random-frame fits estimate num_frames exponents near -0.71 to -0.72.,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.pdf,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.svg,"Residual gain errors scale quadratically, random-frame averaging reduces reconstruction error with frame count, and SRHT spreads object energy similarly to random bases."
figure4_error_scaling,Figure 4. Residual error scaling and coefficient spreading,D,Top-5% coefficient energy,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\m4_top5_energy_concentration.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_paper_r2_highrho\m4_energy_concentration_summary.csv,DCT/Fourier/Hadamard concentrate object energy in top coefficients; random and SRHT spread it.,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.pdf,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure4_error_scaling.svg,"Residual gain errors scale quadratically, random-frame averaging reduces reconstruction error with frame count, and SRHT spreads object energy similarly to random bases."
figure7_phase_diagram,Figure 7. Prompt-range M2 phase diagrams,A,Strict equal-frame winners,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\m2_equal_frame_winner_map.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\m2_boundary_audit_highrho\m2_winner_cells.csv,M2 strict equal-frame non-oracle winners. The map covers rho=0.001..10 and sigma_a=0.05..0.50.,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure7_phase_diagram.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure7_phase_diagram.pdf,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure7_phase_diagram.svg,Strict equal-frame and all-non-oracle maps cover rho=0.001..10 and sigma_a=0.05..0.50; observed boundary fits summarize the resolved flip curves.
figure7_phase_diagram,Figure 7. Prompt-range M2 phase diagrams,B,All-non-oracle winners,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\m2_all_non_oracle_winner_map.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\m2_boundary_audit_highrho\m2_winner_cells.csv,M2 all-non-oracle winners with reference overhead. The map covers rho=0.001..10 and sigma_a=0.05..0.50.,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure7_phase_diagram.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure7_phase_diagram.pdf,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\paper_figures_r1\multipanels\figure7_phase_diagram.svg,Strict equal-frame and all-non-oracle maps cover rho=0.001..10 and sigma_a=0.05..0.50; observed boundary fits summarize the resolved flip curves.
