sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.1,agc,random_uniform,hadamard_paired,,not_reached,-1.0774296216407482,-10.59403520570231,3
0.1,agc,random_binary,hadamard_paired,,not_reached,-0.18248659698920733,-10.080846547625677,3
0.1,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.5536543199779373,-2.061880325582445,3
0.1,agc,dct_paired,hadamard_paired,,not_reached,-0.9482535572088473,-1.8265334928987915,3
0.1,agc,srht_paired,hadamard_paired,0.003,left_censored,8.95793506761731,0.5207926219351791,3
0.1,none,random_uniform,hadamard_paired,,not_reached,-1.494086587929484,-19.117538082501234,3
0.1,none,random_binary,hadamard_paired,,not_reached,-0.5742362275271979,-17.9547246122786,3
0.1,none,fourier_fourstep,hadamard_paired,,not_reached,-0.4561262066005263,-10.946710971123924,3
0.1,none,dct_paired,hadamard_paired,,not_reached,-0.9642344297212517,-1.848571804247177,3
0.1,none,srht_paired,hadamard_paired,0.3,observed,0.09702804153267586,-0.20135488015418446,3
0.1,pairwise,dct_paired,hadamard_paired,,not_reached,-1.0249876475714519,-2.990856797370327,3
0.1,pairwise,srht_paired,hadamard_paired,0.003,left_censored,0.0909232038129133,0.014731901934723624,3
0.1,reference_k2,random_uniform,hadamard_paired,,not_reached,-1.8836141065407013,-22.216570711318113,3
0.1,reference_k2,random_binary,hadamard_paired,,not_reached,-0.7751234589017155,-22.289443549983336,3
0.1,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.3764414175128117,-17.416736671739802,3
0.1,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.2581395163471019,-2.9986731206394452,3
0.1,reference_k2,srht_paired,hadamard_paired,0.003,left_censored,0.10155903185863835,0.022202242490372726,3
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.7467694643269738,-19.78335133404794,3
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-0.9435568731330068,-19.736226965258407,3
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.4900655856112035,-14.943669964859374,3
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-1.0050192698832916,-2.99532903249591,3
