rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,48.882941561784754,0.1503034690235608,0.00016601983325126933,1.3334011743233449e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,48.85580006734492,0.1804651212635753,0.00016702451421349304,1.2818522704515782e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,46.250378725429265,0.20107679103740567,0.00030441654424126697,2.5000708180308864e-05,2048,257,2305
0.001,0.05,srht_paired,reference_k8,46.19281364327901,0.2178167924827189,0.00030839512623516977,2.4088967907475056e-05,2048,257,2305
0.001,0.05,dct_paired,reference_k2,45.849202738625905,0.16794244835133812,0.00033378136820301935,2.596504776979502e-05,2048,1025,3073
0.001,0.05,srht_paired,pairwise,45.80360970842353,0.1509370192296324,0.00033728245988187667,2.5883170040703346e-05,2048,0,2048
0.001,0.05,hadamard_paired,pairwise,45.796859159692445,0.15205841683127297,0.0003377825576696522,2.5516734033598984e-05,2048,0,2048
0.001,0.05,hadamard_paired,scgi_proxy,45.31966443449528,0.22390856110286697,0.0003770056638336186,2.848295834263198e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_proxy,45.13477914181022,0.24692711356809033,0.0003935191936837883,3.120516301410335e-05,2048,0,2048
0.001,0.05,srht_paired,agc,44.70817334964854,0.23894737370524982,0.00043379092118789856,2.8614307779684667e-05,2048,0,2048
0.001,0.05,dct_paired,reference_k8,43.21909939597783,0.2376453896137281,0.000612005792285584,5.323970059195948e-05,2048,257,2305
0.001,0.05,dct_paired,pairwise,42.784965340149256,0.15524539076553734,0.0006758199263035866,5.116563931538259e-05,2048,0,2048
0.001,0.05,dct_paired,scgi_proxy,42.54311745038766,0.13445972756318902,0.0007141291479437478,4.724638048798611e-05,2048,0,2048
0.001,0.05,srht_paired,none,41.06997828532282,0.820849234174348,0.0010157425345577338,0.00019297903314441194,2048,0,2048
0.001,0.05,dct_paired,none,40.461483939973625,0.57633257605166,0.0011616338397230732,0.00016990487253290372,2048,0,2048
0.001,0.05,hadamard_paired,none,39.7348374004005,1.482972714294198,0.0014263049396671691,0.0004899619121226154,2048,0,2048
0.001,0.05,hadamard_paired,agc,25.878137036941187,0.1726288510029446,0.03310248681810558,0.0014768727603945012,2048,0,2048
0.001,0.05,fourier_fourstep,agc,25.035699854255597,0.8563138987869815,0.04068267896285382,0.0069316367961860985,2048,0,2048
