rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,hadamard_paired,oracle,120.0,0.0,4.935608540455881e-13,1.5383870803700935e-13,2048,0,2048
0.001,0.1,hadamard_paired,oracle,120.0,0.0,5.102906010869842e-13,1.595304933911299e-13,2048,0,2048
0.001,0.15,hadamard_paired,oracle,120.0,0.0,5.233285796273182e-13,1.5417587348420243e-13,2048,0,2048
0.001,0.3,hadamard_paired,oracle,120.0,0.0,5.480043716561928e-13,1.5327954674871513e-13,2048,0,2048
0.001,0.5,hadamard_paired,oracle,120.0,0.0,5.700886268662162e-13,1.543845764003073e-13,2048,0,2048
0.003,0.05,hadamard_paired,oracle,120.0,0.0,5.020172716979351e-13,1.5937092955235623e-13,2048,0,2048
0.003,0.1,hadamard_paired,oracle,120.0,0.0,5.186764896905728e-13,1.5573390096536707e-13,2048,0,2048
0.003,0.15,hadamard_paired,oracle,120.0,0.0,5.320702506529925e-13,1.5139176359916173e-13,2048,0,2048
0.003,0.3,hadamard_paired,oracle,120.0,0.0,5.603785922253723e-13,1.5007376826943708e-13,2048,0,2048
0.003,0.5,hadamard_paired,oracle,120.0,0.0,5.618348367468297e-13,1.514996747035475e-13,2048,0,2048
0.01,0.05,hadamard_paired,oracle,120.0,0.0,5.066188968583475e-13,1.5834011394695884e-13,2048,0,2048
0.01,0.1,hadamard_paired,oracle,120.0,0.0,5.257321713966562e-13,1.5309920943780188e-13,2048,0,2048
0.01,0.15,hadamard_paired,oracle,120.0,0.0,5.402999148581812e-13,1.4912442582978805e-13,2048,0,2048
0.01,0.3,hadamard_paired,oracle,120.0,0.0,5.676756643555161e-13,1.5505211476503702e-13,2048,0,2048
0.01,0.5,hadamard_paired,oracle,120.0,0.0,5.701383866737076e-13,1.5620464968004858e-13,2048,0,2048
0.03,0.05,hadamard_paired,oracle,120.0,0.0,5.0601796934274e-13,1.5861607717680017e-13,2048,0,2048
0.03,0.1,hadamard_paired,oracle,120.0,0.0,5.264014554906731e-13,1.505697282858869e-13,2048,0,2048
0.03,0.15,hadamard_paired,oracle,120.0,0.0,5.393631554901231e-13,1.5142924682688265e-13,2048,0,2048
0.03,0.3,hadamard_paired,oracle,120.0,0.0,5.618783241301885e-13,1.5424606365238765e-13,2048,0,2048
0.03,0.5,hadamard_paired,oracle,120.0,0.0,5.630548316166162e-13,1.5340195672242075e-13,2048,0,2048
0.1,0.05,hadamard_paired,oracle,120.0,0.0,5.060909456710634e-13,1.5755591244311813e-13,2048,0,2048
0.1,0.1,hadamard_paired,oracle,120.0,0.0,5.300538009060135e-13,1.5354607849982505e-13,2048,0,2048
0.1,0.15,hadamard_paired,oracle,120.0,0.0,5.427742257962251e-13,1.516935291752569e-13,2048,0,2048
0.1,0.3,hadamard_paired,oracle,120.0,0.0,5.603710294747888e-13,1.5340406326654526e-13,2048,0,2048
0.1,0.5,hadamard_paired,oracle,120.0,0.0,5.619187067167911e-13,1.51152530932386e-13,2048,0,2048
0.3,0.05,hadamard_paired,oracle,120.0,0.0,5.094302606062089e-13,1.5682694343257906e-13,2048,0,2048
0.3,0.1,hadamard_paired,oracle,120.0,0.0,5.276497137648893e-13,1.511634394826038e-13,2048,0,2048
0.3,0.15,hadamard_paired,oracle,120.0,0.0,5.405922306687627e-13,1.4860575993076736e-13,2048,0,2048
0.3,0.3,hadamard_paired,oracle,120.0,0.0,5.571279802140755e-13,1.5361857333712856e-13,2048,0,2048
0.3,0.5,hadamard_paired,oracle,120.0,0.0,5.654748598801729e-13,1.5378240353505215e-13,2048,0,2048
1.0,0.05,hadamard_paired,oracle,120.0,0.0,5.050338846122957e-13,1.543095106333933e-13,2048,0,2048
1.0,0.1,hadamard_paired,oracle,120.0,0.0,5.287472552345398e-13,1.4996348041195195e-13,2048,0,2048
1.0,0.15,hadamard_paired,oracle,120.0,0.0,5.392275398743321e-13,1.534223298551456e-13,2048,0,2048
1.0,0.3,hadamard_paired,oracle,120.0,0.0,5.643276585827024e-13,1.5328919884876107e-13,2048,0,2048
1.0,0.5,hadamard_paired,oracle,120.0,0.0,5.606540717953408e-13,1.5499778272068997e-13,2048,0,2048
3.0,0.05,hadamard_paired,oracle,120.0,0.0,8.820857924550949e-13,1.2421160511154843e-13,2048,0,2048
3.0,0.1,hadamard_paired,oracle,120.0,0.0,9.034997231441011e-13,1.2868934656008211e-13,2048,0,2048
3.0,0.15,hadamard_paired,oracle,120.0,0.0,9.179233716082359e-13,1.3990969519867743e-13,2048,0,2048
3.0,0.3,hadamard_paired,oracle,120.0,0.0,9.309589847938685e-13,1.4123895360652212e-13,2048,0,2048
3.0,0.5,hadamard_paired,oracle,120.0,0.0,9.333656249710751e-13,1.3969361168652267e-13,2048,0,2048
10.0,0.05,hadamard_paired,oracle,120.0,0.0,8.783316362055085e-13,1.26784880858263e-13,2048,0,2048
10.0,0.1,hadamard_paired,oracle,120.0,0.0,8.955488458211186e-13,1.309992366524013e-13,2048,0,2048
10.0,0.15,hadamard_paired,oracle,120.0,0.0,9.166942985269635e-13,1.277576335497226e-13,2048,0,2048
10.0,0.3,hadamard_paired,oracle,120.0,0.0,9.331361131142038e-13,1.4592846235111573e-13,2048,0,2048
10.0,0.5,hadamard_paired,oracle,120.0,0.0,9.267135058076825e-13,1.4070062723063697e-13,2048,0,2048
