sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.05,agc,random_uniform,hadamard_paired,,not_reached,-3.673369840400005,-10.074254069354078,7
0.05,agc,random_binary,hadamard_paired,,not_reached,-2.5782817675176695,-9.836160325673085,7
0.05,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.29766435711791317,-2.6417349714677663,7
0.05,agc,dct_paired,hadamard_paired,,not_reached,-0.9433456407839316,-2.3935440664135506,7
0.05,agc,srht_paired,hadamard_paired,0.001,left_censored,18.68897758964188,1.3121529807867276,7
0.05,none,random_uniform,hadamard_paired,,not_reached,-4.872842226530409,-26.325981236154433,7
0.05,none,random_binary,hadamard_paired,,not_reached,-3.7510466898514156,-25.63959839160127,7
0.05,none,fourier_fourstep,hadamard_paired,,not_reached,-2.30317558741433,-20.115329430755374,7
0.05,none,dct_paired,hadamard_paired,,not_reached,-0.29459599989213103,-2.683793066192923,7
0.05,none,srht_paired,hadamard_paired,0.1,observed,0.10011262461824089,-0.21229090779213777,7
0.05,pairwise,dct_paired,hadamard_paired,,not_reached,-2.20044044844866,-3.0157757612745897,7
0.05,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.09076439566774042,0.011371331409257834,7
0.05,reference_k2,random_uniform,hadamard_paired,,not_reached,-5.432512272924313,-32.28007830917282,7
0.05,reference_k2,random_binary,hadamard_paired,,not_reached,-4.578633467067073,-32.38768497618677,7
0.05,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-2.3052182301578057,-27.525762399658937,7
0.05,reference_k2,dct_paired,hadamard_paired,,not_reached,-2.462426976105334,-3.0081433645239315,7
0.05,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.06486639835015495,0.013273522818835204,7
0.05,reference_k32,random_uniform,hadamard_paired,,not_reached,-5.411867026536868,-29.297033697191992,7
0.05,reference_k32,random_binary,hadamard_paired,,not_reached,-4.247882357209521,-29.36078151538331,7
0.05,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-2.3017971832180972,-24.48990630283757,7
0.05,reference_k32,dct_paired,hadamard_paired,,not_reached,-2.176140962680533,-2.9241552446933383,7
0.05,reference_k32,srht_paired,hadamard_paired,1.0,observed,0.0576684465007169,-0.1248498388797401,7
0.05,reference_k8,random_uniform,hadamard_paired,,not_reached,-5.178941928953286,-29.801148467237045,7
0.05,reference_k8,random_binary,hadamard_paired,,not_reached,-4.022579776897519,-29.897231696557746,7
0.05,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-2.3046688487701985,-25.041433128006002,7
0.05,reference_k8,dct_paired,hadamard_paired,,not_reached,-2.2097482593933897,-3.0123668207597163,7
0.05,reference_k8,srht_paired,hadamard_paired,0.3,observed,0.08410574932284831,-0.0356219954847532,7
0.05,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-4.872481677651116,-26.20675980314325,7
0.05,scgi_frozen,random_binary,hadamard_paired,,not_reached,-3.7511075933728932,-25.57534862053764,7
0.05,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-2.3031756329047823,-20.115330320201238,7
0.05,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.2945963592228864,-2.6837926649440007,7
0.05,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.2648551569261812,-0.15161939539800784,7
0.05,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-4.894313183379598,-29.057947099193875,7
0.05,scgi_proxy,random_binary,hadamard_paired,,not_reached,-3.80114476597606,-29.12921966489824,7
0.05,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-2.4329964299210207,-23.18518307536688,7
0.05,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-2.181187661999159,-2.8076462512475686,7
0.05,scgi_proxy,srht_paired,hadamard_paired,0.1,observed,0.08964214039330898,-0.12981097013383902,7
0.1,agc,random_uniform,hadamard_paired,,not_reached,-1.6216527046982083,-10.127400976698372,7
0.1,agc,random_binary,hadamard_paired,,not_reached,-0.7648173443253192,-9.784275776149308,7
0.1,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.5409206549397787,-2.798189330699813,7
0.1,agc,dct_paired,hadamard_paired,,not_reached,-1.0754834664273467,-2.2721662275821153,7
0.1,agc,srht_paired,hadamard_paired,0.001,left_censored,13.239969335824163,0.6823849736960899,7
0.1,none,random_uniform,hadamard_paired,,not_reached,-2.171067539158104,-21.772910949039545,7
0.1,none,random_binary,hadamard_paired,,not_reached,-1.2880477970180895,-20.600914639831288,7
0.1,none,fourier_fourstep,hadamard_paired,,not_reached,-0.9748729574087225,-14.01015028241802,7
0.1,none,dct_paired,hadamard_paired,,not_reached,-0.3522589202679214,-2.327973866053977,7
0.1,none,srht_paired,hadamard_paired,0.1,observed,0.12818122886316807,-0.18252473076460518,7
0.1,pairwise,dct_paired,hadamard_paired,,not_reached,-1.2308618290565843,-3.0099475931132886,7
0.1,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.10975360105931742,0.01442912009532904,7
0.1,reference_k2,random_uniform,hadamard_paired,,not_reached,-2.5116797224581937,-26.271275122916705,7
0.1,reference_k2,random_binary,hadamard_paired,,not_reached,-1.3371797492686621,-26.37357972350521,7
0.1,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.7480821585493498,-21.531896865419277,7
0.1,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.5897490046840765,-3.007882720051967,7
0.1,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.08297344064346213,0.014711243980386257,7
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-2.4468205764248694,-23.48768057003112,7
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-1.7328275704491265,-23.422050594663027,7
