rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,47.676869495304906,2.2525266671872637,0.000196543579628936,3.3860800077636126e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,47.66359597248607,2.2504821129542703,0.00019712900193378998,3.389287525906019e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,45.16798525099746,2.250236791724609,0.000350225384109344,6.047974581529626e-05,2048,257,2305
0.001,0.05,srht_paired,reference_k8,45.13236325551271,2.2455702085057405,0.00035303552781574204,6.046319243507979e-05,2048,257,2305
0.001,0.05,srht_paired,pairwise,44.68678231032312,2.2588257018812685,0.000391343266655292,6.793528508968289e-05,2048,0,2048
0.001,0.05,hadamard_paired,pairwise,44.67541097891386,2.258436167343241,0.000392354157338432,6.802910363451667e-05,2048,0,2048
0.001,0.05,dct_paired,reference_k2,44.65545260796214,2.255814052558193,0.000394136082428378,6.817927292153148e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k32,44.609560757036455,2.216976863889902,0.00039780041902171405,6.573544843463576e-05,2048,65,2113
0.001,0.05,srht_paired,reference_k32,44.484710918156715,2.2156193343823047,0.00040925345791749,6.666634798783012e-05,2048,65,2113
0.001,0.05,hadamard_paired,scgi_proxy,44.315032214674865,2.1806492367964707,0.00042522593979723395,6.687487730020382e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_proxy,44.185221244541026,2.1935866698854514,0.00043819606751395,6.923820967820486e-05,2048,0,2048
0.001,0.05,srht_paired,agc,43.711847140590336,2.067926996009427,0.000487243469551628,6.817734156855551e-05,2048,0,2048
0.001,0.05,dct_paired,reference_k8,42.155618430237745,2.2509813449630918,0.000700710422713632,0.00012019890214117695,2048,257,2305
0.001,0.05,dct_paired,reference_k32,41.68540551234312,2.2389802016717506,0.0007803944662792301,0.00013112155486864516,2048,65,2113
0.001,0.05,dct_paired,pairwise,41.65963521763927,2.257096473414822,0.00078565972334908,0.00013600056197859032,2048,0,2048
0.001,0.05,dct_paired,scgi_proxy,41.507385963427296,2.2289408328386213,0.0008125462845226581,0.00013345088201860344,2048,0,2048
0.001,0.05,srht_paired,scgi_frozen,40.64902188134402,1.9575473670707257,0.000990177281015954,0.00017080330234209268,2048,0,2048
0.001,0.05,hadamard_paired,scgi_frozen,40.38416672441784,2.263480230078678,0.0011039853669064,0.00042679141023032187,2048,0,2048
0.001,0.05,hadamard_paired,none,40.38416590737493,2.2634813271459007,0.001103985580128624,0.00042679136637127163,2048,0,2048
0.001,0.05,srht_paired,none,40.32290503559249,2.0030335670879142,0.001072063937875572,0.00020391710090631707,2048,0,2048
0.001,0.05,dct_paired,scgi_frozen,40.08957036519495,2.0423630441209117,0.001124567527270466,0.00017259190813136228,2048,0,2048
0.001,0.05,dct_paired,none,40.0895699074828,2.042363345560678,0.001124567659698716,0.00017259197761384327,2048,0,2048
0.001,0.05,hadamard_paired,agc,25.022869550948457,2.0727539550773852,0.03595333999044322,0.004387501998274721,2048,0,2048
0.001,0.05,fourier_fourstep,agc,24.725205193830543,1.8945195608008645,0.038859054915751964,0.006599855948447269,2048,0,2048
0.001,0.05,dct_paired,agc,24.079523910164525,1.8408362560838976,0.04453638318261069,0.003980160518038208,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_proxy,21.129849139307986,1.7445376161229664,0.08758375260082824,0.0042680980087921,2048,0,2048
0.001,0.05,fourier_fourstep,none,20.268836476619555,1.706561104976817,0.10673091762638878,0.0038683742157320246,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_frozen,20.2688364042166,1.7065610604530455,0.10673091934566409,0.0038683725980637363,2048,0,2048
0.001,0.05,fourier_fourstep,reference_k2,20.137833572827134,1.693955917904363,0.1099511929957193,0.0022530129440551986,2048,1025,3073
0.001,0.05,fourier_fourstep,reference_k8,20.12655212299146,1.6946235903861926,0.1102382411938917,0.002312325767217009,2048,257,2305
0.001,0.05,fourier_fourstep,reference_k32,20.119654454198884,1.6949005957445267,0.11041463497572349,0.002372255413345959,2048,65,2113
0.001,0.05,random_uniform,reference_k2,15.38351766331325,1.632162806079938,0.3287370743078604,0.012450133371356717,2048,1025,3073
0.001,0.05,random_uniform,reference_k8,15.366836783760416,1.6361430919964652,0.330003036485286,0.012522371901200893,2048,257,2305
0.001,0.05,random_uniform,reference_k32,15.312527059844461,1.643877665301083,0.3341600227486212,0.012791424526951634,2048,65,2113
0.001,0.05,random_binary,reference_k2,15.275910996299304,1.5542197953298194,0.33688721793756743,0.00987127186900153,2048,1025,3073
0.001,0.05,random_binary,reference_k8,15.270753554439715,1.5564624414259776,0.3372859466794002,0.009823586755674138,2048,257,2305
0.001,0.05,random_uniform,agc,15.257307471063832,1.6447870704757284,0.338463109357477,0.013677367276809425,2048,0,2048
0.001,0.05,random_uniform,scgi_proxy,15.257085115480988,1.6448066285301906,0.3384805054625579,0.01368055852555022,2048,0,2048
0.001,0.05,random_binary,reference_k32,15.248779241653148,1.560179839201726,0.33899684898393095,0.009864861846229511,2048,65,2113
0.001,0.05,random_binary,agc,15.186709225275372,1.571778023652055,0.34387594316085135,0.009956315181760699,2048,0,2048
0.001,0.05,random_binary,scgi_proxy,15.185812549776625,1.571890681203441,0.3439439126155008,0.009850230819826939,2048,0,2048
0.001,0.05,random_binary,scgi_frozen,14.8088181038802,1.6402063987883462,0.37524003055817995,0.014056617660482114,2048,0,2048
0.001,0.05,random_binary,none,14.744567515773657,1.6468264888622366,0.3809067161928429,0.01610497347826872,2048,0,2048
0.001,0.05,random_uniform,scgi_frozen,14.177406921274587,1.7667833312686636,0.4348778492653431,0.03324890629981647,2048,0,2048
0.001,0.05,random_uniform,none,14.058184671220495,1.7827781007454648,0.44720910332252795,0.03686760933382434,2048,0,2048
0.001,0.1,srht_paired,reference_k2,41.661177390928636,2.251224902608302,0.0007852496560850961,0.00013504679449581427,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k2,41.64646614694825,2.2496112023549233,0.000787853834222466,0.00013526454830822227,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k8,39.15091920577355,2.249419183836963,0.001399710843846978,0.00024139892277102537,2048,257,2305
0.001,0.1,srht_paired,reference_k8,39.118748863230685,2.2445287005262897,0.0014098175685258061,0.00024107677109261042,2048,257,2305
0.001,0.1,srht_paired,pairwise,38.673864886840136,2.2578923485970632,0.0015625566709143801,0.00027091683926780283,2048,0,2048
0.001,0.1,hadamard_paired,pairwise,38.65943576674481,2.2576198525715414,0.0015676763081913158,0.00027137091991516,2048,0,2048
0.001,0.1,dct_paired,reference_k2,38.63858342689628,2.255578132605537,0.001575179149970872,0.00027243553560372594,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k32,38.59343187180295,2.2162084560946362,0.001589517391359882,0.00026237955372673463,2048,65,2113
0.001,0.1,srht_paired,reference_k32,38.47236310715034,2.2144567453475807,0.001633846324664942,0.0002657378733227862,2048,65,2113
0.001,0.1,hadamard_paired,scgi_proxy,38.29455947044427,2.1789927944613585,0.001700702101567792,0.00026644642590476164,2048,0,2048
0.001,0.1,srht_paired,scgi_proxy,38.17211241996766,2.1921689844797867,0.001749703315091494,0.0002760368691857954,2048,0,2048
0.001,0.1,srht_paired,agc,38.08896440135953,2.155135699854006,0.001781994986515606,0.0002724877578897991,2048,0,2048
0.001,0.1,dct_paired,reference_k8,36.14272718038815,2.250105512147034,0.0027977788838512117,0.00047937366648302746,2048,257,2305
0.001,0.1,dct_paired,reference_k32,35.677365073292265,2.2379023427364366,0.0031124973299010623,0.0005225738456136164,2048,65,2113
0.001,0.1,dct_paired,pairwise,35.64948817363152,2.2560144003858102,0.003134967572121798,0.0005420078816356518,2048,0,2048
0.001,0.1,dct_paired,scgi_proxy,35.49760375189248,2.227421888655878,0.0032419038546188522,0.0005311881259610824,2048,0,2048
0.001,0.1,srht_paired,scgi_frozen,34.624031010801076,1.9591338559776013,0.003966554719395982,0.0006974933838109975,2048,0,2048
0.001,0.1,hadamard_paired,scgi_frozen,34.383761205159516,2.3222872159535415,0.004416422816856952,0.001774012133064186,2048,0,2048
0.001,0.1,hadamard_paired,none,34.32986336919432,2.2906624687674007,0.004461033177978148,0.0017530812970407259,2048,0,2048
0.001,0.1,srht_paired,none,34.29602677903836,2.002462199244147,0.004295028305547606,0.0008203079948987342,2048,0,2048
0.001,0.1,dct_paired,none,33.9776044489264,2.0578358185613896,0.004600354141936464,0.0007534633947718207,2048,0,2048
0.001,0.1,dct_paired,scgi_frozen,33.97645103309796,2.0667804854171505,0.004602416519186242,0.0007589947950498005,2048,0,2048
0.001,0.1,hadamard_paired,agc,24.84899506553537,2.0896009889248828,0.03744377478275775,0.004752089337206513,2048,0,2048
0.001,0.1,fourier_fourstep,agc,24.30807441059559,1.9006917613325687,0.04269830005225372,0.0068879292453871465,2048,0,2048
0.001,0.1,dct_paired,agc,23.773511599108023,1.874988469462348,0.047812743012918914,0.0045514572859624465,2048,0,2048
0.001,0.1,fourier_fourstep,scgi_proxy,21.032075044604717,1.7500463577631251,0.08959633297486701,0.004740210520627744,2048,0,2048
0.001,0.1,fourier_fourstep,scgi_frozen,20.33935457291473,1.7303269732226862,0.10512529369292435,0.006258628929322157,2048,0,2048
0.001,0.1,fourier_fourstep,none,20.3197130867763,1.728519534333076,0.10560491728107835,0.006317338582435438,2048,0,2048
0.001,0.1,fourier_fourstep,reference_k2,20.114569281528972,1.694811244436468,0.11054256945427846,0.0023050830131202834,2048,1025,3073
0.001,0.1,fourier_fourstep,reference_k8,20.064863304708336,1.6977103855982434,0.11181967293248593,0.0025518003084671077,2048,257,2305
0.001,0.1,fourier_fourstep,reference_k32,20.039673492896412,1.6989161605302177,0.11247376762520502,0.002724028969594859,2048,65,2113
0.001,0.1,random_uniform,reference_k2,15.375191024031542,1.6336583599676444,0.3293699144598506,0.012525878902791747,2048,1025,3073
0.001,0.1,random_uniform,reference_k8,15.313081416514665,1.6456675066091944,0.3341194458407587,0.01284506339236561,2048,257,2305
0.001,0.1,random_binary,reference_k2,15.27288642344304,1.5543081365599436,0.33712144614018486,0.009862451000505075,2048,1025,3073
0.001,0.1,random_binary,reference_k8,15.253130518515135,1.5602362611739358,0.338654254154309,0.009747590876125919,2048,257,2305
0.001,0.1,random_binary,reference_k32,15.171381277139922,1.5732082254347783,0.34508531752871346,0.00976788796548928,2048,65,2113
0.001,0.1,random_uniform,reference_k32,15.105751301771829,1.6736479533149848,0.350504800320096,0.014679867823313188,2048,65,2113
0.001,0.1,random_binary,agc,15.064719289386062,1.591086992603302,0.3536645940033026,0.009949547302270195,2048,0,2048
0.001,0.1,random_binary,scgi_proxy,15.064256925383948,1.591288366672434,0.3536989565476821,0.009830814708024127,2048,0,2048
0.001,0.1,random_uniform,scgi_proxy,14.945041974735902,1.686266597689398,0.363774526470496,0.016581197892302262,2048,0,2048
0.001,0.1,random_uniform,agc,14.944743857630822,1.686349731780237,0.3637990016267654,0.016571704069135756,2048,0,2048
0.001,0.1,random_binary,scgi_frozen,13.867897414710137,1.745770237660198,0.46677848881779455,0.03270770462097238,2048,0,2048
0.001,0.1,random_binary,none,13.728948729363031,1.759504557288104,0.4823865027185461,0.03923567231401548,2048,0,2048
0.001,0.1,random_uniform,scgi_frozen,12.7069313594142,1.8216213684672313,0.6106572507179485,0.0535011993705399,2048,0,2048
0.001,0.1,random_uniform,none,12.556952420154776,1.8288525540708973,0.6325278566552646,0.05946314216824139,2048,0,2048
0.001,0.15,srht_paired,reference_k2,38.14593347439858,2.2496753682343376,0.001764035608128014,0.00030273353253710465,2048,1025,3073
0.001,0.15,hadamard_paired,reference_k2,38.1297932149272,2.248488816058028,0.001770477649578028,0.000303418042558863,2048,1025,3073
0.001,0.15,hadamard_paired,reference_k8,35.63559314755174,2.2481515204562554,0.003144464348098064,0.0005412267402725498,2048,257,2305
0.001,0.15,srht_paired,reference_k8,35.606876012128794,2.243035023670179,0.0031646446840888696,0.0005399276767182438,2048,257,2305
0.001,0.15,srht_paired,pairwise,35.163092740867164,2.2564528896912477,0.003506628759895356,0.000606770766448322,2048,0,2048
0.001,0.15,hadamard_paired,pairwise,35.14563526297232,2.2562894010577224,0.0035205251947931122,0.0006079464300949572,2048,0,2048
0.001,0.15,dct_paired,reference_k2,35.12387056741309,2.2548129394324015,0.003538250102135586,0.0006113876176639943,2048,1025,3073
0.001,0.15,hadamard_paired,reference_k32,35.079301633742055,2.214948862649213,0.00356990639344972,0.0005881895827558397,2048,65,2113
0.001,0.15,srht_paired,reference_k32,34.96206219212281,2.212795179548857,0.00366620377617118,0.0005948871019361282,2048,65,2113
0.001,0.15,hadamard_paired,scgi_proxy,34.77601975168693,2.1769228118686077,0.003823297076957688,0.000596361105730733,2048,0,2048
0.001,0.15,srht_paired,scgi_proxy,34.66112855778703,2.1902478634351925,0.003926805365350722,0.0006180360872077611,2048,0,2048
