rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,pairwise,44.68678231032312,2.2588257018812685,0.000391343266655292,6.793528508968289e-05,2048,0,2048
0.001,0.05,hadamard_paired,pairwise,44.67541097891386,2.258436167343241,0.000392354157338432,6.802910363451667e-05,2048,0,2048
0.001,0.05,hadamard_paired,scgi_proxy,44.315032214674865,2.1806492367964707,0.00042522593979723395,6.687487730020382e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_proxy,44.185221244541026,2.1935866698854514,0.00043819606751395,6.923820967820486e-05,2048,0,2048
0.001,0.05,srht_paired,agc,43.711847140590336,2.067926996009427,0.000487243469551628,6.817734156855551e-05,2048,0,2048
0.001,0.05,dct_paired,pairwise,41.65963521763927,2.257096473414822,0.00078565972334908,0.00013600056197859032,2048,0,2048
0.001,0.05,dct_paired,scgi_proxy,41.507385963427296,2.2289408328386213,0.0008125462845226581,0.00013345088201860344,2048,0,2048
0.001,0.05,srht_paired,scgi_frozen,40.64902188134402,1.9575473670707257,0.000990177281015954,0.00017080330234209268,2048,0,2048
0.001,0.05,hadamard_paired,scgi_frozen,40.38416672441784,2.263480230078678,0.0011039853669064,0.00042679141023032187,2048,0,2048
0.001,0.05,hadamard_paired,none,40.38416590737493,2.2634813271459007,0.001103985580128624,0.00042679136637127163,2048,0,2048
0.001,0.05,srht_paired,none,40.32290503559249,2.0030335670879142,0.001072063937875572,0.00020391710090631707,2048,0,2048
0.001,0.05,dct_paired,scgi_frozen,40.08957036519495,2.0423630441209117,0.001124567527270466,0.00017259190813136228,2048,0,2048
0.001,0.05,dct_paired,none,40.0895699074828,2.042363345560678,0.001124567659698716,0.00017259197761384327,2048,0,2048
0.001,0.05,hadamard_paired,agc,25.022869550948457,2.0727539550773852,0.03595333999044322,0.004387501998274721,2048,0,2048
0.001,0.05,fourier_fourstep,agc,24.725205193830543,1.8945195608008645,0.038859054915751964,0.006599855948447269,2048,0,2048
0.001,0.05,dct_paired,agc,24.079523910164525,1.8408362560838976,0.04453638318261069,0.003980160518038208,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_proxy,21.129849139307986,1.7445376161229664,0.08758375260082824,0.0042680980087921,2048,0,2048
0.001,0.05,fourier_fourstep,none,20.268836476619555,1.706561104976817,0.10673091762638878,0.0038683742157320246,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_frozen,20.2688364042166,1.7065610604530455,0.10673091934566409,0.0038683725980637363,2048,0,2048
0.001,0.05,random_uniform,agc,15.257307471063832,1.6447870704757284,0.338463109357477,0.013677367276809425,2048,0,2048
0.001,0.05,random_uniform,scgi_proxy,15.257085115480988,1.6448066285301906,0.3384805054625579,0.01368055852555022,2048,0,2048
0.001,0.05,random_binary,agc,15.186709225275372,1.571778023652055,0.34387594316085135,0.009956315181760699,2048,0,2048
0.001,0.05,random_binary,scgi_proxy,15.185812549776625,1.571890681203441,0.3439439126155008,0.009850230819826939,2048,0,2048
0.001,0.05,random_binary,scgi_frozen,14.8088181038802,1.6402063987883462,0.37524003055817995,0.014056617660482114,2048,0,2048
0.001,0.05,random_binary,none,14.744567515773657,1.6468264888622366,0.3809067161928429,0.01610497347826872,2048,0,2048
0.001,0.05,random_uniform,scgi_frozen,14.177406921274587,1.7667833312686636,0.4348778492653431,0.03324890629981647,2048,0,2048
0.001,0.05,random_uniform,none,14.058184671220495,1.7827781007454648,0.44720910332252795,0.03686760933382434,2048,0,2048
0.001,0.1,srht_paired,pairwise,38.673864886840136,2.2578923485970632,0.0015625566709143801,0.00027091683926780283,2048,0,2048
0.001,0.1,hadamard_paired,pairwise,38.65943576674481,2.2576198525715414,0.0015676763081913158,0.00027137091991516,2048,0,2048
0.001,0.1,hadamard_paired,scgi_proxy,38.29455947044427,2.1789927944613585,0.001700702101567792,0.00026644642590476164,2048,0,2048
0.001,0.1,srht_paired,scgi_proxy,38.17211241996766,2.1921689844797867,0.001749703315091494,0.0002760368691857954,2048,0,2048
0.001,0.1,srht_paired,agc,38.08896440135953,2.155135699854006,0.001781994986515606,0.0002724877578897991,2048,0,2048
0.001,0.1,dct_paired,pairwise,35.64948817363152,2.2560144003858102,0.003134967572121798,0.0005420078816356518,2048,0,2048
0.001,0.1,dct_paired,scgi_proxy,35.49760375189248,2.227421888655878,0.0032419038546188522,0.0005311881259610824,2048,0,2048
0.001,0.1,srht_paired,scgi_frozen,34.624031010801076,1.9591338559776013,0.003966554719395982,0.0006974933838109975,2048,0,2048
