rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,47.676869495304906,2.2525266671872637,0.000196543579628936,3.3860800077636126e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,47.66359597248607,2.2504821129542703,0.00019712900193378998,3.389287525906019e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,45.16798525099746,2.250236791724609,0.000350225384109344,6.047974581529626e-05,2048,257,2305
0.001,0.05,srht_paired,reference_k8,45.13236325551271,2.2455702085057405,0.00035303552781574204,6.046319243507979e-05,2048,257,2305
0.001,0.05,dct_paired,reference_k2,44.65545260796214,2.255814052558193,0.000394136082428378,6.817927292153148e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k32,44.609560757036455,2.216976863889902,0.00039780041902171405,6.573544843463576e-05,2048,65,2113
0.001,0.05,srht_paired,reference_k32,44.484710918156715,2.2156193343823047,0.00040925345791749,6.666634798783012e-05,2048,65,2113
0.001,0.05,dct_paired,reference_k8,42.155618430237745,2.2509813449630918,0.000700710422713632,0.00012019890214117695,2048,257,2305
0.001,0.05,dct_paired,reference_k32,41.68540551234312,2.2389802016717506,0.0007803944662792301,0.00013112155486864516,2048,65,2113
0.001,0.05,fourier_fourstep,reference_k2,20.137833572827134,1.693955917904363,0.1099511929957193,0.0022530129440551986,2048,1025,3073
0.001,0.05,fourier_fourstep,reference_k8,20.12655212299146,1.6946235903861926,0.1102382411938917,0.002312325767217009,2048,257,2305
0.001,0.05,fourier_fourstep,reference_k32,20.119654454198884,1.6949005957445267,0.11041463497572349,0.002372255413345959,2048,65,2113
0.001,0.05,random_uniform,reference_k2,15.38351766331325,1.632162806079938,0.3287370743078604,0.012450133371356717,2048,1025,3073
0.001,0.05,random_uniform,reference_k8,15.366836783760416,1.6361430919964652,0.330003036485286,0.012522371901200893,2048,257,2305
0.001,0.05,random_uniform,reference_k32,15.312527059844461,1.643877665301083,0.3341600227486212,0.012791424526951634,2048,65,2113
0.001,0.05,random_binary,reference_k2,15.275910996299304,1.5542197953298194,0.33688721793756743,0.00987127186900153,2048,1025,3073
0.001,0.05,random_binary,reference_k8,15.270753554439715,1.5564624414259776,0.3372859466794002,0.009823586755674138,2048,257,2305
0.001,0.05,random_binary,reference_k32,15.248779241653148,1.560179839201726,0.33899684898393095,0.009864861846229511,2048,65,2113
0.001,0.1,srht_paired,reference_k2,41.661177390928636,2.251224902608302,0.0007852496560850961,0.00013504679449581427,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k2,41.64646614694825,2.2496112023549233,0.000787853834222466,0.00013526454830822227,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k8,39.15091920577355,2.249419183836963,0.001399710843846978,0.00024139892277102537,2048,257,2305
0.001,0.1,srht_paired,reference_k8,39.118748863230685,2.2445287005262897,0.0014098175685258061,0.00024107677109261042,2048,257,2305
0.001,0.1,dct_paired,reference_k2,38.63858342689628,2.255578132605537,0.001575179149970872,0.00027243553560372594,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k32,38.59343187180295,2.2162084560946362,0.001589517391359882,0.00026237955372673463,2048,65,2113
0.001,0.1,srht_paired,reference_k32,38.47236310715034,2.2144567453475807,0.001633846324664942,0.0002657378733227862,2048,65,2113
0.001,0.1,dct_paired,reference_k8,36.14272718038815,2.250105512147034,0.0027977788838512117,0.00047937366648302746,2048,257,2305
0.001,0.1,dct_paired,reference_k32,35.677365073292265,2.2379023427364366,0.0031124973299010623,0.0005225738456136164,2048,65,2113
0.001,0.1,fourier_fourstep,reference_k2,20.114569281528972,1.694811244436468,0.11054256945427846,0.0023050830131202834,2048,1025,3073
0.001,0.1,fourier_fourstep,reference_k8,20.064863304708336,1.6977103855982434,0.11181967293248593,0.0025518003084671077,2048,257,2305
0.001,0.1,fourier_fourstep,reference_k32,20.039673492896412,1.6989161605302177,0.11247376762520502,0.002724028969594859,2048,65,2113
0.001,0.1,random_uniform,reference_k2,15.375191024031542,1.6336583599676444,0.3293699144598506,0.012525878902791747,2048,1025,3073
0.001,0.1,random_uniform,reference_k8,15.313081416514665,1.6456675066091944,0.3341194458407587,0.01284506339236561,2048,257,2305
0.001,0.1,random_binary,reference_k2,15.27288642344304,1.5543081365599436,0.33712144614018486,0.009862451000505075,2048,1025,3073
0.001,0.1,random_binary,reference_k8,15.253130518515135,1.5602362611739358,0.338654254154309,0.009747590876125919,2048,257,2305
0.001,0.1,random_binary,reference_k32,15.171381277139922,1.5732082254347783,0.34508531752871346,0.00976788796548928,2048,65,2113
0.001,0.1,random_uniform,reference_k32,15.105751301771829,1.6736479533149848,0.350504800320096,0.014679867823313188,2048,65,2113
0.001,0.15,srht_paired,reference_k2,38.14593347439858,2.2496753682343376,0.001764035608128014,0.00030273353253710465,2048,1025,3073
0.001,0.15,hadamard_paired,reference_k2,38.1297932149272,2.248488816058028,0.001770477649578028,0.000303418042558863,2048,1025,3073
0.001,0.15,hadamard_paired,reference_k8,35.63559314755174,2.2481515204562554,0.003144464348098064,0.0005412267402725498,2048,257,2305
0.001,0.15,srht_paired,reference_k8,35.606876012128794,2.243035023670179,0.0031646446840888696,0.0005399276767182438,2048,257,2305
0.001,0.15,dct_paired,reference_k2,35.12387056741309,2.2548129394324015,0.003538250102135586,0.0006113876176639943,2048,1025,3073
0.001,0.15,hadamard_paired,reference_k32,35.079301633742055,2.214948862649213,0.00356990639344972,0.0005881895827558397,2048,65,2113
0.001,0.15,srht_paired,reference_k32,34.96206219212281,2.212795179548857,0.00366620377617118,0.0005948871019361282,2048,65,2113
0.001,0.15,dct_paired,reference_k8,32.63458915011081,2.2483224627070677,0.00627474925248637,0.0010724228697689495,2048,257,2305
0.001,0.15,dct_paired,reference_k32,32.17457442545676,2.235842986863453,0.00697206518835079,0.0011679660613001354,2048,65,2113
0.001,0.15,fourier_fourstep,reference_k2,20.077247052809092,1.6964465222021308,0.111498324130778,0.0024058345795898504,2048,1025,3073
0.001,0.15,fourier_fourstep,reference_k8,19.963855479504943,1.70292218418823,0.11445856864127749,0.0029391063452533753,2048,257,2305
0.001,0.15,fourier_fourstep,reference_k32,19.910481739806816,1.705484410493036,0.11588065731135938,0.0032315865457803222,2048,65,2113
0.001,0.15,random_uniform,reference_k2,15.360339321417143,1.636084383396583,0.3305007201115683,0.012634661513519104,2048,1025,3073
0.001,0.15,random_binary,reference_k2,15.267630099180087,1.554746969485357,0.337528932012343,0.00984731205100997,2048,1025,3073
0.001,0.15,random_uniform,reference_k8,15.226680510474772,1.6594674053871121,0.34084592917377937,0.013431225248366046,2048,257,2305
0.001,0.15,random_binary,reference_k8,15.224145312084104,1.5656982846006302,0.3409181381255682,0.009666130677245451,2048,257,2305
0.001,0.15,random_binary,reference_k32,15.049978232609599,1.5921039377565738,0.3548647544980817,0.009904504005308122,2048,65,2113
0.001,0.15,random_uniform,reference_k32,14.80214576452328,1.7123370591441087,0.3760150989318518,0.018667376486774835,2048,65,2113
0.001,0.3,srht_paired,reference_k2,32.15498514968515,2.243563742180793,0.007006508221950424,0.0011921281509773565,2048,1025,3073
0.001,0.3,hadamard_paired,reference_k2,32.13467894776416,2.2436389418738796,0.00703894169951722,0.001197015197712456,2048,1025,3073
0.001,0.3,hadamard_paired,reference_k8,29.652128849314245,2.2417060177561785,0.012467287879349642,0.0021244301726104507,2048,257,2305
0.001,0.3,srht_paired,reference_k8,29.63368180240041,2.2359218068567035,0.012517587263926466,0.0021125345735301367,2048,257,2305
0.001,0.3,dct_paired,reference_k2,29.144742286844643,2.24948608159061,0.01401547029845099,0.0024040827823243772,2048,1025,3073
0.001,0.3,hadamard_paired,reference_k32,29.100932614515486,2.208300900847995,0.014137717807190413,0.0023059370912172222,2048,65,2113
0.001,0.3,srht_paired,reference_k32,28.99535079994824,2.204899146926118,0.014479819995328823,0.0023218107301303547,2048,65,2113
0.001,0.3,dct_paired,reference_k8,26.69028082673085,2.2377631606519857,0.02465136505192264,0.004148348473641319,2048,257,2305
0.001,0.3,dct_paired,reference_k32,26.24898995904662,2.2240969384640903,0.027273562283635203,0.004499039675409911,2048,65,2113
0.001,0.3,fourier_fourstep,reference_k2,19.886065434197224,1.7054784462410193,0.11652671614156519,0.0029670698035047607,2048,1025,3073
0.001,0.3,fourier_fourstep,reference_k8,19.462798521643652,1.727275076727752,0.1284996447920857,0.004737743899363603,2048,257,2305
0.001,0.3,fourier_fourstep,reference_k32,19.28784198464288,1.7340887550708313,0.1337975550725704,0.005348618057046035,2048,65,2113
0.001,0.3,random_uniform,reference_k2,15.278207434889495,1.6484898157898993,0.3368228974666698,0.013194519350347511,2048,1025,3073
0.001,0.3,random_binary,reference_k2,15.23869185889628,1.5581150954859855,0.3397815711209236,0.009773138697075521,2048,1025,3073
0.001,0.3,random_binary,reference_k8,15.074748641486622,1.5905026567206413,0.35284211847272373,0.009694978651944668,2048,257,2305
0.001,0.3,random_uniform,reference_k8,14.815790762306571,1.715450679250224,0.37476957929325144,0.017156994829022748,2048,257,2305
0.001,0.3,random_binary,reference_k32,14.504825352073103,1.6643761763996727,0.40244809793926967,0.01506787117781347,2048,65,2113
0.001,0.3,random_uniform,reference_k32,13.708309499998537,1.8049789530625948,0.48440041614504975,0.03544216692256132,2048,65,2113
0.001,0.5,srht_paired,reference_k2,27.780190506778617,2.2321725814131326,0.019177436942937186,0.0032096222029337072,2048,1025,3073
0.001,0.5,hadamard_paired,reference_k2,27.75464138437347,2.2338595775582264,0.019289728647364977,0.0032296750862920716,2048,1025,3073
0.001,0.5,hadamard_paired,reference_k8,25.30469194006759,2.2273103739762306,0.03390403526171105,0.005648112783035911,2048,257,2305
0.001,0.5,srht_paired,reference_k8,25.299488290673107,2.220706906347059,0.03393704479226272,0.005593285421931829,2048,257,2305
0.001,0.5,dct_paired,reference_k2,24.8086257343666,2.2357252829385112,0.038016729671704136,0.006391557797256751,2048,1025,3073
0.001,0.5,hadamard_paired,reference_k32,24.763549762918757,2.193140196760642,0.03835822832683484,0.006109037531329664,2048,65,2113
0.001,0.5,srht_paired,reference_k32,24.673611768834444,2.188089392508124,0.03914406001825979,0.006112314154149784,2048,65,2113
0.001,0.5,dct_paired,reference_k8,22.43277357874099,2.2128112890014338,0.06563828390682197,0.010631806914328471,2048,257,2305
0.001,0.5,dct_paired,reference_k32,22.021325395648415,2.1969837285043394,0.07212363325212473,0.011436377610516286,2048,65,2113
0.001,0.5,fourier_fourstep,reference_k2,19.475418460408736,1.724164671108494,0.12810923295173965,0.004194225268728461,2048,1025,3073
0.001,0.5,fourier_fourstep,reference_k8,18.509124529714853,1.7641887158523468,0.1601524650882811,0.008186169473665213,2048,257,2305
0.001,0.5,fourier_fourstep,reference_k32,18.164262496135027,1.7721049233789063,0.17340586322364526,0.009212885279010367,2048,65,2113
0.001,0.5,random_binary,reference_k2,15.170743494012006,1.5670487895617988,0.3451323500261683,0.009662463120335262,2048,1025,3073
0.001,0.5,random_uniform,reference_k2,15.090963419067439,1.67432043723513,0.3516974032916863,0.014643116547368482,2048,1025,3073
0.001,0.5,random_binary,reference_k8,14.760811434668701,1.6348688879064928,0.37932225674174047,0.01146089593320938,2048,257,2305
0.001,0.5,random_uniform,reference_k8,14.099500064791144,1.7851649114331962,0.4422255059609443,0.02523712876701472,2048,257,2305
0.001,0.5,random_binary,reference_k32,13.65159656852732,1.7397914331624489,0.49026270749294015,0.028192762738361122,2048,65,2113
0.001,0.5,random_uniform,reference_k32,12.545465481862486,1.8179194732981225,0.6331937177622927,0.047020785643614386,2048,65,2113
0.003,0.05,srht_paired,reference_k2,42.90914941517629,2.2516173511550277,0.000589138068610654,0.00010137600215211299,2048,1025,3073
0.003,0.05,hadamard_paired,reference_k2,42.89480563553914,2.249886069560887,0.000591040958068972,0.00010152187398880629,2048,1025,3073
0.003,0.05,hadamard_paired,reference_k8,40.399002697068155,2.249668866327683,0.001050108877689304,0.00018116996564270202,2048,257,2305
0.003,0.05,srht_paired,reference_k8,40.36590308549424,2.2448586581335266,0.0010579194467695099,0.0001809869548115314,2048,257,2305
0.003,0.05,dct_paired,reference_k2,39.88669140705727,2.2557038104112532,0.0011817388410489378,0.00020442137929301747,2048,1025,3073
0.003,0.05,hadamard_paired,reference_k32,39.84247719242315,2.2166145740526013,0.001192242499112378,0.00019686032603698266,2048,65,2113
0.003,0.05,srht_paired,reference_k32,39.71986133575908,2.21496556911909,0.0012259385887512721,0.0001995324972927931,2048,65,2113
0.003,0.05,dct_paired,reference_k8,37.38941677664775,2.2504098290865278,0.002099660971518136,0.00035989695369975834,2048,257,2305
0.003,0.05,dct_paired,reference_k32,36.92329164897798,2.238367226775228,0.002336255291613406,0.00039236483233484864,2048,65,2113
0.003,0.05,fourier_fourstep,reference_k2,20.12219217149589,1.6945051909414621,0.11034841121502723,0.0022863194462787798,2048,1025,3073
