rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
3.0,0.05,srht_paired,reference_k2,16.677521261174327,1.756235542426962,0.21036639592297446,0.028938956914898274,2048,1025,3073
3.0,0.05,hadamard_paired,reference_k2,16.594403649730825,1.7142648673409009,0.2142625639743875,0.028121626429531633,2048,1025,3073
3.0,0.05,srht_paired,reference_k8,15.692516809344047,1.7120552403746991,0.2635242128563456,0.03289061131674259,2048,257,2305
3.0,0.05,srht_paired,pairwise,15.690111624076621,1.7069351867518099,0.2636404646774528,0.03262206510641846,2048,0,2048
3.0,0.05,srht_paired,agc,15.663222269138984,1.705539128312545,0.26526389789927685,0.03269698491342321,2048,0,2048
3.0,0.05,srht_paired,scgi_proxy,15.662485256285601,1.7037504494557887,0.26529782582939687,0.03260220514264598,2048,0,2048
3.0,0.05,srht_paired,none,15.660951904614262,1.7037570363623145,0.26539356690659094,0.032631137029518524,2048,0,2048
3.0,0.05,srht_paired,reference_k32,15.642391764096729,1.6985010316635565,0.26649403986501347,0.032442259032759685,2048,65,2113
3.0,0.05,hadamard_paired,pairwise,15.61630665610438,1.6896150477910945,0.2681427956271366,0.03314520540545986,2048,0,2048
3.0,0.05,hadamard_paired,reference_k8,15.607415597070496,1.6684961354063637,0.2686266943212928,0.03272767524930057,2048,257,2305
3.0,0.05,hadamard_paired,scgi_proxy,15.58330681602337,1.6694844329426886,0.27006935347569055,0.03230363688328717,2048,0,2048
3.0,0.05,hadamard_paired,reference_k32,15.582048237006983,1.6657534660151958,0.27015468250931696,0.032414163514205514,2048,65,2113
3.0,0.05,hadamard_paired,none,15.573300445269956,1.6693408516377217,0.2707064664473536,0.032558308897730405,2048,0,2048
3.0,0.05,fourier_fourstep,reference_k2,15.238210628346541,1.3933372286832706,0.29100534838730063,0.017462470854583658,2048,1025,3073
3.0,0.05,hadamard_paired,agc,14.530365134233955,1.6930965430969194,0.3442847667275456,0.042160622000863034,2048,0,2048
3.0,0.05,dct_paired,reference_k2,14.389021525196133,1.606313673508316,0.35501716458506827,0.037043947214881495,2048,1025,3073
3.0,0.05,fourier_fourstep,reference_k32,14.192214005715169,1.3671254807555429,0.3705809518458956,0.02793572951837531,2048,65,2113
3.0,0.05,fourier_fourstep,none,14.16947432506513,1.3756423546187755,0.37248065941878583,0.027407405066209877,2048,0,2048
3.0,0.05,fourier_fourstep,reference_k8,14.16422766231894,1.3561239410487933,0.3727750778273528,0.02484281022335336,2048,257,2305
3.0,0.05,fourier_fourstep,scgi_proxy,14.08384797650785,1.440745005098423,0.3801253294198287,0.031247404231684758,2048,0,2048
