rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
3.0,0.05,srht_paired,pairwise,15.690111624076621,1.7069351867518099,0.2636404646774528,0.03262206510641846,2048,0,2048
3.0,0.05,srht_paired,agc,15.663222269138984,1.705539128312545,0.26526389789927685,0.03269698491342321,2048,0,2048
3.0,0.05,srht_paired,scgi_proxy,15.662485256285601,1.7037504494557887,0.26529782582939687,0.03260220514264598,2048,0,2048
3.0,0.05,srht_paired,none,15.660951904614262,1.7037570363623145,0.26539356690659094,0.032631137029518524,2048,0,2048
3.0,0.05,hadamard_paired,pairwise,15.61630665610438,1.6896150477910945,0.2681427956271366,0.03314520540545986,2048,0,2048
3.0,0.05,hadamard_paired,scgi_proxy,15.58330681602337,1.6694844329426886,0.27006935347569055,0.03230363688328717,2048,0,2048
3.0,0.05,hadamard_paired,none,15.573300445269956,1.6693408516377217,0.2707064664473536,0.032558308897730405,2048,0,2048
3.0,0.05,hadamard_paired,agc,14.530365134233955,1.6930965430969194,0.3442847667275456,0.042160622000863034,2048,0,2048
3.0,0.05,fourier_fourstep,none,14.16947432506513,1.3756423546187755,0.37248065941878583,0.027407405066209877,2048,0,2048
3.0,0.05,fourier_fourstep,scgi_proxy,14.08384797650785,1.440745005098423,0.3801253294198287,0.031247404231684758,2048,0,2048
3.0,0.05,dct_paired,pairwise,13.59798709738406,1.5671782321279966,0.4256593787464917,0.04147735412903265,2048,0,2048
3.0,0.05,dct_paired,scgi_proxy,13.5764315306388,1.5671863669933381,0.42775381491412023,0.04129690801665644,2048,0,2048
3.0,0.05,dct_paired,none,13.569989923413422,1.5656174215903114,0.42834013960627215,0.04075708529193729,2048,0,2048
3.0,0.05,fourier_fourstep,agc,13.545006871895586,1.4824652457880516,0.43048094329075165,0.037236420992684864,2048,0,2048
3.0,0.05,srht_paired,scgi_frozen,13.399223718018273,1.391186806062178,0.444286209476869,0.02415932645653412,2048,0,2048
3.0,0.05,random_binary,none,13.053679592731351,1.1969809496743131,0.4805538760968574,0.010890927685056118,2048,0,2048
3.0,0.05,random_binary,agc,13.005376496299984,1.1937743874961175,0.48592804259755934,0.011003901841271124,2048,0,2048
3.0,0.05,random_binary,scgi_proxy,13.004468172427753,1.1964658430124573,0.48603314994777447,0.011176757031282281,2048,0,2048
3.0,0.05,dct_paired,agc,12.751488699364339,1.5635335754210247,0.5171316091785655,0.048734703326376465,2048,0,2048
3.0,0.05,random_uniform,none,12.001781429241289,1.3058282192800743,0.6125287112809521,0.02390293833986439,2048,0,2048
3.0,0.05,random_uniform,scgi_proxy,11.985140392928917,1.3090716297943077,0.6148683060448666,0.0236605239258288,2048,0,2048
3.0,0.05,random_uniform,agc,11.98498149965766,1.3088292572179356,0.6148898820570526,0.02363555937766397,2048,0,2048
3.0,0.05,hadamard_paired,scgi_frozen,11.96953084486966,1.6608295326952762,0.6203358678369545,0.07089209832868054,2048,0,2048
3.0,0.05,fourier_fourstep,scgi_frozen,10.801962107337847,1.323133544346456,0.8075013801085171,0.033237380325969096,2048,0,2048
3.0,0.05,dct_paired,scgi_frozen,10.542384793214492,1.328303466993346,0.8571669693349406,0.033274183514192084,2048,0,2048
3.0,0.05,random_binary,scgi_frozen,9.979817412694391,1.1704319186989236,0.9750510047362473,0.0013139700863188236,2048,0,2048
3.0,0.05,random_uniform,scgi_frozen,9.932077256234562,1.1547953284534933,0.9858353768759359,0.004114293082376755,2048,0,2048
3.0,0.1,srht_paired,pairwise,12.217452900662341,1.476962791815429,0.5838017029356745,0.04168494521071261,2048,0,2048
3.0,0.1,srht_paired,agc,12.191900181106343,1.472612786951851,0.5871976345906221,0.04117942215787052,2048,0,2048
3.0,0.1,srht_paired,scgi_proxy,12.19118793680835,1.471908972577747,0.5872897774945003,0.04111910192212812,2048,0,2048
3.0,0.1,srht_paired,none,12.190276313795456,1.4721709907118166,0.587417442761551,0.04119370136296493,2048,0,2048
3.0,0.1,hadamard_paired,pairwise,12.13805092650442,1.4526787468744677,0.5945637588905646,0.042523854388799326,2048,0,2048
3.0,0.1,hadamard_paired,scgi_proxy,12.106049420777463,1.439814017964998,0.5989276960014053,0.04232991211725676,2048,0,2048
3.0,0.1,hadamard_paired,none,12.09805441511747,1.4401507533670317,0.600103428128883,0.04364704751367498,2048,0,2048
3.0,0.1,hadamard_paired,agc,11.646822913085957,1.4396457561100735,0.6656200831373805,0.04523743036512205,2048,0,2048
3.0,0.1,fourier_fourstep,none,11.618731067758366,1.2911789968995804,0.6696498151849791,0.040605260612829444,2048,0,2048
3.0,0.1,random_binary,none,11.535222712521286,1.2276904315312083,0.6818276556060505,0.02104387572260378,2048,0,2048
3.0,0.1,fourier_fourstep,scgi_proxy,11.507161204020678,1.3073216050338607,0.6868959881816689,0.03809466216013609,2048,0,2048
3.0,0.1,srht_paired,scgi_frozen,11.50536521935097,1.3406732723752366,0.6867863127070015,0.029118025316999346,2048,0,2048
3.0,0.1,random_binary,agc,11.493969788965416,1.2243225193297942,0.6883234503929124,0.020858355111035065,2048,0,2048
3.0,0.1,random_binary,scgi_proxy,11.4927483827657,1.2260981797321568,0.6885243124758429,0.02113026521759621,2048,0,2048
3.0,0.1,fourier_fourstep,agc,11.147849967762909,1.3037737822433413,0.7458486584119163,0.03496836823340842,2048,0,2048
3.0,0.1,dct_paired,pairwise,11.121108226760796,1.3335069471158756,0.7504117778601687,0.03405381915875497,2048,0,2048
3.0,0.1,dct_paired,scgi_proxy,11.102608134407784,1.3357308342168834,0.7536037825649753,0.033801048582557676,2048,0,2048
3.0,0.1,dct_paired,none,11.097288064111286,1.3344588693226198,0.7544941307443659,0.032992808473763915,2048,0,2048
3.0,0.1,dct_paired,agc,10.794748202106954,1.3278483586342456,0.8088459199732194,0.03330042752966342,2048,0,2048
3.0,0.1,hadamard_paired,scgi_frozen,10.720766168779269,1.457833283261862,0.8238504619459166,0.056189110434799114,2048,0,2048
3.0,0.1,random_uniform,none,10.7027455077802,1.2662334737041678,0.8258757892466522,0.025169889115119998,2048,0,2048
3.0,0.1,random_uniform,scgi_proxy,10.696228357646664,1.268584077677007,0.8271233470928809,0.025467643788010186,2048,0,2048
3.0,0.1,random_uniform,agc,10.696205406633212,1.269064766143686,0.8271289252389427,0.025511988563936334,2048,0,2048
3.0,0.1,fourier_fourstep,scgi_frozen,10.135592673238119,1.221009913883972,0.9407952494173821,0.014394451314121598,2048,0,2048
3.0,0.1,dct_paired,scgi_frozen,10.05239628339874,1.222170408696899,0.9589701753015912,0.013008633792963782,2048,0,2048
3.0,0.1,random_binary,scgi_frozen,9.976298868516428,1.1687620634498657,0.9758435542202568,0.002576489926415025,2048,0,2048
3.0,0.1,random_uniform,scgi_frozen,9.932493675208423,1.1547332622695594,0.9857418989874998,0.004382652239499408,2048,0,2048
3.0,0.15,srht_paired,pairwise,11.087224529722615,1.3523299879637707,0.7562300890063901,0.032702207420781185,2048,0,2048
3.0,0.15,srht_paired,agc,11.061309204735725,1.3464364378677542,0.7607038925612107,0.03156798146819109,2048,0,2048
3.0,0.15,srht_paired,scgi_proxy,11.060623694262313,1.3459991028438438,0.7608227784200687,0.03153881228304203,2048,0,2048
3.0,0.15,srht_paired,none,11.0601362862273,1.3463493479146444,0.7609108219219194,0.03161064685841718,2048,0,2048
3.0,0.15,hadamard_paired,pairwise,11.021043625027758,1.3279196428805997,0.767846195867598,0.03349876408159445,2048,0,2048
3.0,0.15,hadamard_paired,scgi_proxy,10.99068744393374,1.3201830014129443,0.7732639715195101,0.03455596583793726,2048,0,2048
