rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
3.0,0.05,srht_paired,reference_k2,16.677521261174327,1.756235542426962,0.21036639592297446,0.028938956914898274,2048,1025,3073
3.0,0.05,hadamard_paired,reference_k2,16.594403649730825,1.7142648673409009,0.2142625639743875,0.028121626429531633,2048,1025,3073
3.0,0.05,srht_paired,reference_k8,15.692516809344047,1.7120552403746991,0.2635242128563456,0.03289061131674259,2048,257,2305
3.0,0.05,srht_paired,reference_k32,15.642391764096729,1.6985010316635565,0.26649403986501347,0.032442259032759685,2048,65,2113
3.0,0.05,hadamard_paired,reference_k8,15.607415597070496,1.6684961354063637,0.2686266943212928,0.03272767524930057,2048,257,2305
3.0,0.05,hadamard_paired,reference_k32,15.582048237006983,1.6657534660151958,0.27015468250931696,0.032414163514205514,2048,65,2113
3.0,0.05,fourier_fourstep,reference_k2,15.238210628346541,1.3933372286832706,0.29100534838730063,0.017462470854583658,2048,1025,3073
3.0,0.05,dct_paired,reference_k2,14.389021525196133,1.606313673508316,0.35501716458506827,0.037043947214881495,2048,1025,3073
3.0,0.05,fourier_fourstep,reference_k32,14.192214005715169,1.3671254807555429,0.3705809518458956,0.02793572951837531,2048,65,2113
3.0,0.05,fourier_fourstep,reference_k8,14.16422766231894,1.3561239410487933,0.3727750778273528,0.02484281022335336,2048,257,2305
3.0,0.05,dct_paired,reference_k8,13.598195186298488,1.5567883707547134,0.4255138199553481,0.039937505183419604,2048,257,2305
3.0,0.05,dct_paired,reference_k32,13.59513010036159,1.5601081080254795,0.4259554324388638,0.0416496810826493,2048,65,2113
3.0,0.05,random_binary,reference_k2,13.420211122765954,1.157543120726967,0.44163929868683355,0.008943570765983552,2048,1025,3073
3.0,0.05,random_binary,reference_k8,12.742677308064131,1.2455700204428108,0.5164119583367793,0.01875285629118936,2048,257,2305
3.0,0.05,random_binary,reference_k32,12.563331528779742,1.2290079283555762,0.5380391819157561,0.014305638709926696,2048,65,2113
3.0,0.05,random_uniform,reference_k2,12.417666917381347,1.2791690899273964,0.55658827020184,0.02152827565810721,2048,1025,3073
3.0,0.05,random_uniform,reference_k8,11.608725060874429,1.305265086778252,0.6704527163051128,0.023143317785981124,2048,257,2305
3.0,0.05,random_uniform,reference_k32,11.424368379819345,1.3041550152040307,0.6996425519662213,0.027776214561489432,2048,65,2113
3.0,0.1,srht_paired,reference_k2,12.786773162712906,1.5378315332376937,0.512691287053795,0.04513995329576023,2048,1025,3073
3.0,0.1,hadamard_paired,reference_k2,12.693910869353813,1.4957733453218813,0.5236257521062045,0.04443433115915252,2048,1025,3073
