rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
3.0,0.05,hadamard_paired,oracle,120.0,0.0,9.801822347066517e-13,2.718367143002315e-14,2048,0,2048
3.0,0.05,srht_paired,oracle,120.0,0.0,8.503712918297617e-13,3.1044598146365655e-14,2048,0,2048
3.0,0.05,dct_paired,oracle,101.0185624832115,1.4295634552731453,8.305935835978617e-10,1.2151864908263968e-11,2048,0,2048
3.0,0.05,fourier_fourstep,oracle,19.77990598352661,1.3865983674334863,0.110462977937767,0.000521738596735683,2048,0,2048
3.0,0.05,srht_paired,reference_k2,16.59124949661723,1.886901208738168,0.2317711036899605,0.02854454818585913,2048,1025,3073
3.0,0.05,hadamard_paired,reference_k2,16.47653186551471,1.9001420290908795,0.23806361787263972,0.030138927945675284,2048,1025,3073
3.0,0.05,srht_paired,reference_k8,15.64715667245195,1.8814608606814125,0.2879548228557359,0.03470692269648,2048,257,2305
3.0,0.05,srht_paired,pairwise,15.639039286543248,1.8919718991131698,0.2885882312967436,0.03563856964258949,2048,0,2048
3.0,0.05,srht_paired,agc,15.615730695162322,1.887266331563389,0.2901053279790028,0.03550929196595176,2048,0,2048
3.0,0.05,srht_paired,scgi_proxy,15.615501813886485,1.8870958781803024,0.290120329119551,0.03550726554483691,2048,0,2048
3.0,0.05,srht_paired,none,15.613965806100126,1.8859178883571952,0.29021592701094945,0.03545501053079802,2048,0,2048
3.0,0.05,srht_paired,reference_k32,15.602546158883788,1.8886608851212197,0.29099199325878405,0.035660852617157304,2048,65,2113
3.0,0.05,hadamard_paired,pairwise,15.518655943734549,1.8685257494626617,0.29655679801181367,0.035283775988317785,2048,0,2048
3.0,0.05,hadamard_paired,scgi_proxy,15.502187290754346,1.8639109322293774,0.2976483440046593,0.03504568408455655,2048,0,2048
3.0,0.05,hadamard_paired,reference_k8,15.498152605090876,1.872802682167926,0.29801835646312236,0.03599719022007245,2048,257,2305
3.0,0.05,hadamard_paired,none,15.48952415228159,1.8644442444505633,0.2985197842586541,0.03513210759088136,2048,0,2048
3.0,0.05,hadamard_paired,reference_k32,15.482851551065062,1.8633486798752477,0.2989873764973715,0.03534730690688982,2048,65,2113
3.0,0.05,fourier_fourstep,reference_k2,15.420577211047505,1.5665292475144403,0.3018232314449623,0.016783718017447186,2048,1025,3073
3.0,0.05,random_binary,oracle,14.937165341140162,1.3025262163555,0.336921176861635,0.004930557576076257,2048,0,2048
3.0,0.05,random_uniform,oracle,14.90033893724532,1.3334140000171413,0.33976618365623457,0.0025559913810523135,2048,0,2048
3.0,0.05,hadamard_paired,agc,14.449065365743607,1.9620715473702457,0.3802518536550866,0.05267005738350703,2048,0,2048
3.0,0.05,fourier_fourstep,reference_k32,14.422249598683411,1.608540775226868,0.3801765932811182,0.02724201483610253,2048,65,2113
3.0,0.05,fourier_fourstep,none,14.398402089236862,1.5935406613357452,0.3820828608611059,0.02425978297047196,2048,0,2048
3.0,0.05,fourier_fourstep,reference_k8,14.383884248057868,1.601615476428383,0.38340271032172785,0.024821605229878328,2048,257,2305
3.0,0.05,dct_paired,reference_k2,14.382621615595365,1.839209206667555,0.3849197485322769,0.04297226697513696,2048,1025,3073
3.0,0.05,fourier_fourstep,scgi_proxy,14.21169783381777,1.583277936070791,0.3988118819354917,0.0243282899307064,2048,0,2048
3.0,0.05,random_binary,reference_k2,13.69366299152864,1.534047119000257,0.448958158618613,0.019533089266085876,2048,1025,3073
3.0,0.05,dct_paired,reference_k32,13.668143003253252,1.783448689534752,0.4532425087955879,0.045256045606573626,2048,65,2113
3.0,0.05,dct_paired,pairwise,13.665649609209712,1.778142306413301,0.45338849883760995,0.0439408145229783,2048,0,2048
3.0,0.05,dct_paired,reference_k8,13.662863573302332,1.7780393415134204,0.4536725618016472,0.04390564067881324,2048,257,2305
3.0,0.05,dct_paired,scgi_proxy,13.652850992511455,1.7730109232503029,0.454686052653731,0.04361537848310826,2048,0,2048
3.0,0.05,dct_paired,none,13.64502121103826,1.7723663590756973,0.45548815979740764,0.04347095419990183,2048,0,2048
3.0,0.05,srht_paired,scgi_frozen,13.563181694049755,1.6657615912724697,0.4633174073015603,0.03311840672852305,2048,0,2048
3.0,0.05,fourier_fourstep,agc,13.538100023719982,1.6712520479332056,0.4661687527937728,0.035647402019899424,2048,0,2048
3.0,0.05,random_binary,none,13.309072313147079,1.560353408292867,0.49073810072485513,0.026243437759157155,2048,0,2048
3.0,0.05,random_binary,scgi_proxy,13.277115552751074,1.57168919776581,0.49442519914896754,0.027686170726348054,2048,0,2048
3.0,0.05,random_binary,agc,13.275835314055893,1.5707416039550164,0.4945627665462985,0.02752755316689309,2048,0,2048
3.0,0.05,random_binary,reference_k8,12.9742569373521,1.5507475983521333,0.5301725232382284,0.03025927775185125,2048,257,2305
3.0,0.05,random_binary,reference_k32,12.805435732603286,1.574410344784958,0.551177613548335,0.031475222014864766,2048,65,2113
3.0,0.05,dct_paired,agc,12.701094041545325,1.7417461961125396,0.5657329979721222,0.04986524348737175,2048,0,2048
3.0,0.05,random_uniform,reference_k2,12.469509065776991,1.4934434541769173,0.5950372810931486,0.0230129476241768,2048,1025,3073
3.0,0.05,hadamard_paired,scgi_frozen,12.42038051575932,1.78014689623809,0.6039655554229677,0.05856600769086309,2048,0,2048
3.0,0.05,random_uniform,none,12.04323369973125,1.5151693139066051,0.6564734826095966,0.027396118600573078,2048,0,2048
3.0,0.05,random_uniform,agc,12.021617516637182,1.5238761435060086,0.6598004610139475,0.028868891134501435,2048,0,2048
3.0,0.05,random_uniform,scgi_proxy,12.021575833053802,1.5235853201667007,0.6598080873393205,0.028904755756003327,2048,0,2048
3.0,0.05,random_uniform,reference_k8,11.698379797286371,1.5086187155299586,0.7106286041165712,0.026859331309362376,2048,257,2305
3.0,0.05,random_uniform,reference_k32,11.549561437641124,1.5060106904552073,0.7355308334471806,0.031410055977307845,2048,65,2113
3.0,0.05,fourier_fourstep,scgi_frozen,11.116580589426825,1.4966674748388056,0.8124032394509865,0.027670515236802543,2048,0,2048
3.0,0.05,dct_paired,scgi_frozen,10.855126941819362,1.500334016235671,0.862760578706307,0.027623335902573834,2048,0,2048
3.0,0.05,random_binary,scgi_frozen,10.307134963495965,1.3738313756037992,0.9783415624368412,0.002229641394475344,2048,0,2048
3.0,0.05,random_uniform,scgi_frozen,10.239006963466839,1.3669827015961373,0.9938077653069459,0.0006989096978089361,2048,0,2048
3.0,0.1,hadamard_paired,oracle,120.0,0.0,1.0201252150132644e-12,2.9032874758445985e-14,2048,0,2048
3.0,0.1,srht_paired,oracle,120.0,0.0,8.932610549688103e-13,2.2613684579647184e-14,2048,0,2048
3.0,0.1,dct_paired,oracle,101.01710328399157,1.4276043236329568,8.308678484983349e-10,1.178137021458076e-11,2048,0,2048
3.0,0.1,fourier_fourstep,oracle,19.779906193984246,1.38659809974921,0.11046297255582638,0.0005217317628757494,2048,0,2048
3.0,0.1,random_binary,oracle,14.937165307961896,1.3025262827260358,0.33692117936775523,0.004930552464804993,2048,0,2048
3.0,0.1,random_uniform,oracle,14.900338845883052,1.333414000379535,0.3397661908036835,0.0025559914065140885,2048,0,2048
3.0,0.1,srht_paired,reference_k2,12.891801297333519,1.6632493121199885,0.5408620848284271,0.039791925480926506,2048,1025,3073
3.0,0.1,hadamard_paired,reference_k2,12.764441178086965,1.6670893736092933,0.5569527782963012,0.0409929106345834,2048,1025,3073
3.0,0.1,fourier_fourstep,reference_k2,12.586900149108516,1.5184934447343579,0.5793073025715687,0.025964721425687114,2048,1025,3073
3.0,0.1,srht_paired,pairwise,12.36689562060055,1.6601908525045292,0.6102540481860185,0.04366349300853041,2048,0,2048
3.0,0.1,srht_paired,reference_k8,12.363267807231782,1.6511763567201987,0.6106536314884969,0.04193515402635582,2048,257,2305
3.0,0.1,srht_paired,agc,12.346302480021738,1.6540780003207942,0.6130985295911179,0.04299371696249952,2048,0,2048
3.0,0.1,srht_paired,scgi_proxy,12.345724009637049,1.6542923349414829,0.6131861101572832,0.043095970652067196,2048,0,2048
3.0,0.1,srht_paired,none,12.344658125268603,1.6533170489876972,0.6133294013778067,0.042988701227697226,2048,0,2048
3.0,0.1,srht_paired,reference_k32,12.327148124326754,1.6523436754006655,0.615797628743189,0.04297777068031193,2048,65,2113
3.0,0.1,hadamard_paired,pairwise,12.242326506377333,1.6288717357768872,0.6277723205246892,0.040975013423160594,2048,0,2048
3.0,0.1,hadamard_paired,scgi_proxy,12.221824960401362,1.6254504652224984,0.6307103464927746,0.040510618770716995,2048,0,2048
3.0,0.1,random_binary,reference_k2,12.215754998411777,1.5908628808059413,0.6313264095392438,0.035678441960553905,2048,1025,3073
3.0,0.1,hadamard_paired,none,12.210352664104667,1.6268050671232057,0.6324303474055981,0.041419007951156064,2048,0,2048
3.0,0.1,hadamard_paired,reference_k8,12.200892312011721,1.6306495923961601,0.6338267490048426,0.0419700098179441,2048,257,2305
3.0,0.1,hadamard_paired,reference_k32,12.199978902250018,1.6239973288983023,0.6338690757061245,0.04040107800559979,2048,65,2113
3.0,0.1,fourier_fourstep,reference_k32,11.919256060529674,1.528176206139911,0.6758338254500652,0.0361277348921661,2048,65,2113
3.0,0.1,fourier_fourstep,none,11.8954712954845,1.5138376012734915,0.6793871909273712,0.03273299753862867,2048,0,2048
3.0,0.1,fourier_fourstep,reference_k8,11.880156504352815,1.5215262251818344,0.6817611648886527,0.03204941373243066,2048,257,2305
3.0,0.1,random_binary,none,11.792985016102135,1.5414528597213564,0.6957251343353168,0.0363623130190165,2048,0,2048
3.0,0.1,hadamard_paired,agc,11.777545046081647,1.6547635151290843,0.6988559455381319,0.048361633029644545,2048,0,2048
3.0,0.1,random_binary,scgi_proxy,11.768171730696526,1.545941848173535,0.6997367982291667,0.03708750620387,2048,0,2048
3.0,0.1,random_binary,agc,11.767178415971111,1.5447289978903862,0.6998786508407183,0.03671104995708227,2048,0,2048
3.0,0.1,srht_paired,scgi_frozen,11.751457165366663,1.6115181626740085,0.7026711142264495,0.04206986480649521,2048,0,2048
3.0,0.1,fourier_fourstep,scgi_proxy,11.745721002238536,1.4968689684384404,0.703010253490399,0.028677066329265866,2048,0,2048
3.0,0.1,dct_paired,reference_k2,11.673074934230875,1.598658164595027,0.7153372127666808,0.04029513093946461,2048,1025,3073
3.0,0.1,random_binary,reference_k8,11.499065093168822,1.4994210989329513,0.7443886666341083,0.03746109103688133,2048,257,2305
3.0,0.1,dct_paired,pairwise,11.374013541106807,1.5490058013065082,0.7659168620347945,0.033818279484751065,2048,0,2048
