rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
3.0,0.05,hadamard_paired,oracle,120.0,0.0,9.398021917448782e-13,6.372346772143609e-14,2048,0,2048
3.0,0.1,hadamard_paired,oracle,120.0,0.0,9.612227651032882e-13,4.086850839355232e-14,2048,0,2048
3.0,0.15,hadamard_paired,oracle,120.0,0.0,9.838069376246677e-13,5.000350190326276e-14,2048,0,2048
3.0,0.3,hadamard_paired,oracle,120.0,0.0,1.0142485812299734e-12,5.2034134178476814e-14,2048,0,2048
3.0,0.5,hadamard_paired,oracle,120.0,0.0,9.903037746511845e-13,4.392241028159133e-14,2048,0,2048
10.0,0.05,hadamard_paired,oracle,120.0,0.0,9.55918129776013e-13,5.873700618207918e-14,2048,0,2048
10.0,0.1,hadamard_paired,oracle,120.0,0.0,9.614504792059097e-13,7.403812947323979e-14,2048,0,2048
10.0,0.15,hadamard_paired,oracle,120.0,0.0,9.842931944347469e-13,4.41949428766057e-14,2048,0,2048
10.0,0.3,hadamard_paired,oracle,120.0,0.0,1.0155447984154696e-12,3.6160550577010034e-14,2048,0,2048
10.0,0.5,hadamard_paired,oracle,120.0,0.0,1.0224326304233481e-12,4.6617813517366016e-14,2048,0,2048
