sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.05,agc,random_uniform,hadamard_paired,,not_reached,-2.3687061644250207,-2.4910250069896662,2
0.05,agc,random_binary,hadamard_paired,,not_reached,-1.130041446209093,-1.2562062874686113,2
0.05,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.7344962447926378,-0.8519658084927553,2
0.05,agc,dct_paired,hadamard_paired,,not_reached,-1.687056186101767,-1.7199319703615874,2
0.05,agc,srht_paired,hadamard_paired,3.0,left_censored,1.0767541898885984,1.0491609566258688,2
0.05,none,random_uniform,hadamard_paired,,not_reached,-3.3323529869532535,-3.4800477279134228,2
0.05,none,random_binary,hadamard_paired,,not_reached,-2.073901784832234,-2.22515873204042,2
0.05,none,fourier_fourstep,hadamard_paired,,not_reached,-1.0226612570834916,-1.1647653792465533,2
0.05,none,dct_paired,hadamard_paired,,not_reached,-1.86861675229963,-1.9022329608680337,2
0.05,none,srht_paired,hadamard_paired,3.0,left_censored,0.06355211149461581,0.06095849483036986,2
0.05,pairwise,dct_paired,hadamard_paired,,not_reached,-1.8836892333952964,-1.9187338509886072,2
0.05,pairwise,srht_paired,hadamard_paired,3.0,left_censored,0.05206869598237596,0.04988632898599121,2
0.05,reference_k2,random_uniform,hadamard_paired,,not_reached,-3.9350306076368575,-4.077970142230946,2
0.05,reference_k2,random_binary,hadamard_paired,,not_reached,-2.6871621117890427,-2.8475788539627995,2
0.05,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-1.040530657143215,-1.1686692965739134,2
0.05,reference_k2,dct_paired,hadamard_paired,,not_reached,-2.116117810819027,-2.1601921796621735,2
0.05,reference_k2,srht_paired,hadamard_paired,3.0,left_censored,0.06322913781504269,0.06207644064812712,2
0.05,reference_k32,random_uniform,hadamard_paired,,not_reached,-3.8945917658142175,-4.044419653121247,2
0.05,reference_k32,random_binary,hadamard_paired,,not_reached,-2.6430062965662575,-2.795525219394861,2
0.05,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-1.0181867905769142,-1.161951437835807,2
0.05,reference_k32,dct_paired,hadamard_paired,,not_reached,-1.8632596016385694,-1.899035491124284,2
0.05,reference_k32,srht_paired,hadamard_paired,3.0,left_censored,0.025313525578834373,0.024950904281718422,2
0.05,reference_k8,random_uniform,hadamard_paired,,not_reached,-3.8006491383497103,-3.9403073271456215,2
0.05,reference_k8,random_binary,hadamard_paired,,not_reached,-2.536862395638895,-2.6773885417630687,2
0.05,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-1.0939183521667992,-1.227453909059733,2
0.05,reference_k8,dct_paired,hadamard_paired,,not_reached,-1.9015205138004347,-1.9382506018691235,2
0.05,reference_k8,srht_paired,hadamard_paired,3.0,left_censored,0.03413885529647587,0.0322630643979096,2
0.05,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-2.045324721849962,-2.100962941282223,2
0.05,scgi_frozen,random_binary,hadamard_paired,,not_reached,-1.994697891887295,-2.0503005670193186,2
0.05,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-1.1639107216353715,-1.2169354561159658,2
0.05,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-1.459065393215857,-1.4877431082854784,2
0.05,scgi_frozen,srht_paired,hadamard_paired,3.0,left_censored,1.3837954466688291,1.3650142085964507,2
0.05,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-3.3611004289857647,-3.5083557684448348,2
0.05,scgi_proxy,random_binary,hadamard_paired,,not_reached,-2.123198134751636,-2.2744107096945694,2
0.05,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-1.1568810517588055,-1.2987436278666902,2
0.05,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-1.8712159666438062,-1.9049164558892233,2
0.05,scgi_proxy,srht_paired,hadamard_paired,3.0,left_censored,0.056330292926958236,0.053800766397671396,2
0.1,agc,random_uniform,hadamard_paired,,not_reached,-0.8846066303041962,-0.9465026715630565,2
0.1,agc,random_binary,hadamard_paired,,not_reached,-0.0065774450980793375,-0.07084076167085307,2
0.1,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.3505545766909073,-0.4102364871385582,2
0.1,agc,dct_paired,hadamard_paired,,not_reached,-0.7519806511911948,-0.7795812760919727,2
0.1,agc,srht_paired,hadamard_paired,3.0,left_censored,0.5052709969918805,0.48674942759984496,2
0.1,none,random_uniform,hadamard_paired,,not_reached,-1.2913075273011998,-1.3680754794186747,2
0.1,none,random_binary,hadamard_paired,,not_reached,-0.39354804337607163,-0.4727358179818051,2
0.1,none,fourier_fourstep,hadamard_paired,,not_reached,-0.27463312653723193,-0.3477780774700818,2
