rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,pairwise,45.72744012804254,,0.0003163475677236602,,2048,0,2048
0.001,0.1,srht_paired,pairwise,39.71168425521299,,0.0012639796647826663,,2048,0,2048
0.001,0.15,srht_paired,pairwise,36.19745708638789,,0.002838983077762684,,2048,0,2048
0.001,0.3,hadamard_paired,pairwise,30.216038350631223,,0.011253942125550802,,2048,0,2048
0.001,0.5,hadamard_paired,pairwise,25.869806157339774,,0.030614551168938495,,2048,0,2048
0.003,0.05,srht_paired,pairwise,40.965659474990304,,0.0009469838335208637,,2048,0,2048
0.003,0.1,srht_paired,pairwise,34.95864582011065,,0.003776103856656993,,2048,0,2048
0.003,0.15,srht_paired,pairwise,31.458519514999608,,0.008453889384751221,,2048,0,2048
0.003,0.3,hadamard_paired,pairwise,25.551795081754687,,0.03294041029603567,,2048,0,2048
0.003,0.5,hadamard_paired,pairwise,21.36968465690797,,0.08628594240847591,,2048,0,2048
0.01,0.05,srht_paired,pairwise,35.755283339935346,,0.0031432590779024616,,2048,0,2048
0.01,0.1,srht_paired,pairwise,29.77813767843069,,0.012447861417149023,,2048,0,2048
0.01,0.15,srht_paired,pairwise,26.326030142216457,,0.02756166807861866,,2048,0,2048
0.01,0.3,hadamard_paired,pairwise,20.6591470542771,,0.1016234201498096,,2048,0,2048
0.01,0.5,hadamard_paired,pairwise,16.955458119184016,,0.23843098919297795,,2048,0,2048
0.03,0.05,srht_paired,pairwise,31.029136012721686,,0.009332433655833642,,2048,0,2048
0.03,0.1,srht_paired,pairwise,25.135068338816918,,0.03625781916507958,,2048,0,2048
0.03,0.15,srht_paired,pairwise,21.812104924547377,,0.07792880561632363,,2048,0,2048
0.03,0.3,srht_paired,pairwise,16.719502325557663,,0.25174350812371094,,2048,0,2048
0.03,0.5,srht_paired,pairwise,13.903394907568005,,0.48146976714292483,,2048,0,2048
0.1,0.05,srht_paired,pairwise,26.013715433635397,,0.029616720656728827,,2048,0,2048
0.1,0.1,hadamard_paired,pairwise,20.37622149869208,,0.1084641863249238,,2048,0,2048
0.1,0.15,hadamard_paired,pairwise,17.419241570893384,,0.21428134091013948,,2048,0,2048
0.1,0.3,hadamard_paired,pairwise,13.579844285362256,,0.5187093589667086,,2048,0,2048
0.1,0.5,hadamard_paired,pairwise,12.000905292044184,,0.746135980580519,,2048,0,2048
0.3,0.05,hadamard_paired,pairwise,21.914955773394787,,0.0761049552887016,,2048,0,2048
0.3,0.1,hadamard_paired,pairwise,16.820650383228898,,0.24594810128580866,,2048,0,2048
0.3,0.15,hadamard_paired,pairwise,14.489471169999463,,0.42068923158239396,,2048,0,2048
0.3,0.3,hadamard_paired,pairwise,12.0521067611214,,0.7373910063171804,,2048,0,2048
0.3,0.5,hadamard_paired,pairwise,11.278319576993105,,0.8812041926290874,,2048,0,2048
1.0,0.05,hadamard_paired,pairwise,18.562368614654673,,0.1646916766874972,,2048,0,2048
1.0,0.1,hadamard_paired,pairwise,14.340556718830442,,0.4353643267791355,,2048,0,2048
1.0,0.15,hadamard_paired,pairwise,12.743273169874268,,0.6288994218782987,,2048,0,2048
1.0,0.3,hadamard_paired,pairwise,11.369919374544493,,0.862812791474787,,2048,0,2048
1.0,0.5,hadamard_paired,pairwise,10.997354567253678,,0.9400978420062154,,2048,0,2048
