rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,hadamard_paired,oracle,120.0,,8.148203143937784e-13,,2048,0,2048
0.001,0.1,hadamard_paired,oracle,120.0,,8.343422020559582e-13,,2048,0,2048
0.001,0.15,hadamard_paired,oracle,120.0,,8.269282060482452e-13,,2048,0,2048
0.001,0.3,hadamard_paired,oracle,120.0,,8.291090990960288e-13,,2048,0,2048
0.001,0.5,hadamard_paired,oracle,120.0,,8.046588671949084e-13,,2048,0,2048
0.003,0.05,hadamard_paired,oracle,120.0,,8.25702490440343e-13,,2048,0,2048
0.003,0.1,hadamard_paired,oracle,120.0,,9.041942458355966e-13,,2048,0,2048
0.003,0.15,hadamard_paired,oracle,120.0,,9.034028014849007e-13,,2048,0,2048
0.003,0.3,hadamard_paired,oracle,120.0,,8.60302075975424e-13,,2048,0,2048
0.003,0.5,hadamard_paired,oracle,120.0,,8.316972900528606e-13,,2048,0,2048
0.01,0.05,hadamard_paired,oracle,120.0,,8.50239631088291e-13,,2048,0,2048
0.01,0.1,hadamard_paired,oracle,120.0,,8.308573148971254e-13,,2048,0,2048
0.01,0.15,hadamard_paired,oracle,120.0,,8.307262322732534e-13,,2048,0,2048
0.01,0.3,hadamard_paired,oracle,120.0,,8.33731548058385e-13,,2048,0,2048
0.01,0.5,hadamard_paired,oracle,120.0,,8.555341708707375e-13,,2048,0,2048
0.03,0.05,hadamard_paired,oracle,120.0,,8.593693330663035e-13,,2048,0,2048
0.03,0.1,hadamard_paired,oracle,120.0,,8.298332690393203e-13,,2048,0,2048
0.03,0.15,hadamard_paired,oracle,120.0,,8.46822263928252e-13,,2048,0,2048
0.03,0.3,hadamard_paired,oracle,120.0,,8.411963264527366e-13,,2048,0,2048
0.03,0.5,hadamard_paired,oracle,120.0,,8.176005291197012e-13,,2048,0,2048
0.1,0.05,hadamard_paired,oracle,120.0,,8.657477080733898e-13,,2048,0,2048
0.1,0.1,hadamard_paired,oracle,120.0,,8.305137889923997e-13,,2048,0,2048
0.1,0.15,hadamard_paired,oracle,120.0,,8.434116582896496e-13,,2048,0,2048
0.1,0.3,hadamard_paired,oracle,120.0,,8.404225714572567e-13,,2048,0,2048
0.1,0.5,hadamard_paired,oracle,120.0,,8.516118551781377e-13,,2048,0,2048
0.3,0.05,hadamard_paired,oracle,120.0,,8.281264833129207e-13,,2048,0,2048
0.3,0.1,hadamard_paired,oracle,120.0,,8.513244626793488e-13,,2048,0,2048
0.3,0.15,hadamard_paired,oracle,120.0,,8.260987205557664e-13,,2048,0,2048
0.3,0.3,hadamard_paired,oracle,120.0,,8.360805084878586e-13,,2048,0,2048
0.3,0.5,hadamard_paired,oracle,120.0,,8.348410454756504e-13,,2048,0,2048
1.0,0.05,hadamard_paired,oracle,120.0,,8.105145783573454e-13,,2048,0,2048
1.0,0.1,hadamard_paired,oracle,120.0,,8.351704232575876e-13,,2048,0,2048
1.0,0.15,hadamard_paired,oracle,120.0,,8.987542387139727e-13,,2048,0,2048
1.0,0.3,hadamard_paired,oracle,120.0,,8.494905546213136e-13,,2048,0,2048
1.0,0.5,hadamard_paired,oracle,120.0,,8.290647421946461e-13,,2048,0,2048
