sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.05,agc,random_uniform,hadamard_paired,,not_reached,-4.176285201777199,-10.228537369219312,7
0.05,agc,random_binary,hadamard_paired,,not_reached,-3.299108801154574,-10.106635788399329,7
0.05,agc,fourier_fourstep,hadamard_paired,,not_reached,-1.5910614579263544,-3.228803275568012,7
0.05,agc,dct_paired,hadamard_paired,,not_reached,-1.8052955016755519,-2.8306936909254965,7
0.05,agc,srht_paired,hadamard_paired,0.001,left_censored,18.989589917432365,1.180532270146422,7
0.05,none,random_uniform,hadamard_paired,,not_reached,-5.360592596067715,-22.91300085182396,7
0.05,none,random_binary,hadamard_paired,,not_reached,-4.465275841492284,-22.251824842012397,7
0.05,none,fourier_fourstep,hadamard_paired,,not_reached,-2.545928392978249,-16.494019662411706,7
0.05,none,dct_paired,hadamard_paired,0.001,left_censored,2.4637263703510897,-2.741909645907036,7
0.05,none,srht_paired,hadamard_paired,0.001,left_censored,2.9620982704743213,-0.138571910728853,7
0.05,pairwise,dct_paired,hadamard_paired,,not_reached,-2.370040349240295,-3.012621203789543,7
0.05,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.004517226599848101,-0.0679467555384754,7
0.05,reference_k2,random_uniform,hadamard_paired,,not_reached,-5.861144138300265,-32.90956927135398,7
0.05,reference_k2,random_binary,hadamard_paired,,not_reached,-5.261703596063175,-33.17432569975961,7
0.05,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-2.7760082197641225,-28.395225275620184,7
0.05,reference_k2,dct_paired,hadamard_paired,,not_reached,-2.5921591118138956,-3.006793513770141,7
0.05,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.1129350450666955,0.06345412363298664,7
0.05,reference_k32,random_uniform,hadamard_paired,,not_reached,-5.863631163007401,-29.768149928282064,7
0.05,reference_k32,random_binary,hadamard_paired,,not_reached,-4.958431933659682,-29.939220400136975,7
0.05,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-2.540484887295438,-25.122215141970145,7
0.05,reference_k32,dct_paired,hadamard_paired,,not_reached,-2.354192010483441,-2.8137617140190017,7
0.05,reference_k32,srht_paired,hadamard_paired,,not_reached,-0.08618179811794491,-0.24053841820028765,7
