rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,48.86099643183773,,0.0001537477855543688,,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,48.79754230820474,,0.00015601066270723218,,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,46.24286078880678,,0.00028094572859066675,,2048,257,2305
0.001,0.05,srht_paired,reference_k8,46.13310256142412,,0.00028813648663807547,,2048,257,2305
0.001,0.05,dct_paired,reference_k2,45.7907487944346,,0.0003117695047166663,,2048,1025,3073
0.001,0.05,srht_paired,pairwise,45.72744012804254,,0.0003163475677236602,,2048,0,2048
0.001,0.05,hadamard_paired,pairwise,45.72537427413934,,0.00031649808386987997,,2048,0,2048
0.001,0.05,hadamard_paired,reference_k32,45.55381783084121,,0.00032925071701293335,,2048,65,2113
0.001,0.05,srht_paired,reference_k32,45.313279412640924,,0.000348001063547532,,2048,65,2113
0.001,0.05,hadamard_paired,scgi_proxy,45.21948560853819,,0.0003555985256197909,,2048,0,2048
0.001,0.05,srht_paired,scgi_proxy,45.07150762506083,,0.00036792368808831786,,2048,0,2048
0.001,0.05,srht_paired,agc,44.63789307943835,,0.0004065549044745521,,2048,0,2048
0.001,0.05,dct_paired,reference_k8,43.26681711564511,,0.0005574768031586457,,2048,257,2305
0.001,0.05,dct_paired,reference_k32,42.74005611682221,,0.0006293654541263724,,2048,65,2113
0.001,0.05,dct_paired,pairwise,42.7127530703498,,0.0006333345863365905,,2048,0,2048
0.001,0.05,dct_paired,scgi_proxy,42.39293470066897,,0.0006817341387487032,,2048,0,2048
0.001,0.05,srht_paired,none,40.169215706152656,,0.0011375930807841124,,2048,0,2048
0.001,0.05,dct_paired,none,39.670843806029424,,0.001275922017897936,,2048,0,2048
0.001,0.05,hadamard_paired,none,37.207117435678335,,0.002250073832030332,,2048,0,2048
0.001,0.05,hadamard_paired,agc,25.648303162005984,,0.03221648808540704,,2048,0,2048
0.001,0.05,fourier_fourstep,agc,24.05724170407963,,0.04647124867715896,,2048,0,2048
0.001,0.05,dct_paired,agc,23.843007660330432,,0.048821120916848385,,2048,0,2048
