rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,pairwise,45.72744012804254,,0.0003163475677236602,,2048,0,2048
0.001,0.05,hadamard_paired,pairwise,45.72537427413934,,0.00031649808386987997,,2048,0,2048
0.001,0.05,hadamard_paired,scgi_proxy,45.21948560853819,,0.0003555985256197909,,2048,0,2048
0.001,0.05,srht_paired,scgi_proxy,45.07150762506083,,0.00036792368808831786,,2048,0,2048
0.001,0.05,srht_paired,agc,44.63789307943835,,0.0004065549044745521,,2048,0,2048
0.001,0.05,dct_paired,pairwise,42.7127530703498,,0.0006333345863365905,,2048,0,2048
0.001,0.05,dct_paired,scgi_proxy,42.39293470066897,,0.0006817341387487032,,2048,0,2048
0.001,0.05,srht_paired,none,40.169215706152656,,0.0011375930807841124,,2048,0,2048
0.001,0.05,dct_paired,none,39.670843806029424,,0.001275922017897936,,2048,0,2048
0.001,0.05,hadamard_paired,none,37.207117435678335,,0.002250073832030332,,2048,0,2048
0.001,0.05,hadamard_paired,agc,25.648303162005984,,0.03221648808540704,,2048,0,2048
0.001,0.05,fourier_fourstep,agc,24.05724170407963,,0.04647124867715896,,2048,0,2048
0.001,0.05,dct_paired,agc,23.843007660330432,,0.048821120916848385,,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_proxy,21.391302024788814,,0.08585751412996546,,2048,0,2048
0.001,0.05,fourier_fourstep,none,20.71309777326663,,0.10036880077736432,,2048,0,2048
0.001,0.05,srht_paired,scgi_frozen,16.797103743409416,,0.24728520768560033,,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_frozen,16.630877198551257,,0.2569335352904282,,2048,0,2048
0.001,0.05,hadamard_paired,scgi_frozen,16.339629707441606,,0.27475496031460306,,2048,0,2048
0.001,0.05,random_uniform,agc,15.776090387431855,,0.31282357416159906,,2048,0,2048
0.001,0.05,random_uniform,scgi_proxy,15.775043484757031,,0.3128989919543973,,2048,0,2048
0.001,0.05,dct_paired,scgi_frozen,15.54247262132122,,0.3301119533055868,,2048,0,2048
0.001,0.05,random_binary,agc,15.541667373606655,,0.33017316673386005,,2048,0,2048
0.001,0.05,random_binary,scgi_proxy,15.536301342613061,,0.330581372344629,,2048,0,2048
0.001,0.05,random_binary,none,14.955292593665936,,0.3779020545993047,,2048,0,2048
0.001,0.05,random_uniform,none,14.294116583854375,,0.44004476027259093,,2048,0,2048
0.001,0.05,random_binary,scgi_frozen,10.892036391074013,,0.9631742720991178,,2048,0,2048
0.001,0.05,random_uniform,scgi_frozen,10.78433179904457,,0.9873595532887255,,2048,0,2048
0.001,0.1,srht_paired,pairwise,39.71168425521299,,0.0012639796647826663,,2048,0,2048
0.001,0.1,hadamard_paired,pairwise,39.710061743914785,,0.0012644519720558106,,2048,0,2048
0.001,0.1,hadamard_paired,scgi_proxy,39.207837777110214,,0.0014194651511912854,,2048,0,2048
0.001,0.1,srht_paired,scgi_proxy,39.05599872390478,,0.0014699705706364983,,2048,0,2048
0.001,0.1,srht_paired,agc,39.004274935551976,,0.0014875823570908637,,2048,0,2048
0.001,0.1,dct_paired,pairwise,36.70670049571343,,0.0025248667486884695,,2048,0,2048
0.001,0.1,dct_paired,scgi_proxy,36.382378873063516,,0.002720637157353961,,2048,0,2048
0.001,0.1,srht_paired,none,34.10705984790508,,0.0045941220391623955,,2048,0,2048
0.001,0.1,dct_paired,none,33.441448971141355,,0.00535505105039014,,2048,0,2048
0.001,0.1,hadamard_paired,none,31.17063358525145,,0.009033273383863779,,2048,0,2048
0.001,0.1,hadamard_paired,agc,25.44256688926484,,0.0337793916252689,,2048,0,2048
0.001,0.1,fourier_fourstep,agc,23.779406143987284,,0.049541356977642,,2048,0,2048
0.001,0.1,dct_paired,agc,23.508147231689023,,0.05273437331641483,,2048,0,2048
0.001,0.1,fourier_fourstep,scgi_proxy,21.3822021241365,,0.08603760252356077,,2048,0,2048
0.001,0.1,fourier_fourstep,none,20.931150584822472,,0.09545385093409983,,2048,0,2048
0.001,0.1,srht_paired,scgi_frozen,16.87618230426832,,0.2428232581367144,,2048,0,2048
0.001,0.1,hadamard_paired,scgi_frozen,16.29567670989078,,0.27754975064924375,,2048,0,2048
0.001,0.1,fourier_fourstep,scgi_frozen,16.248223104689924,,0.28059905366755317,,2048,0,2048
0.001,0.1,random_uniform,agc,15.472807977158345,,0.33544993709491916,,2048,0,2048
0.001,0.1,random_uniform,scgi_proxy,15.472021903958314,,0.33551065904320976,,2048,0,2048
0.001,0.1,random_binary,agc,15.419510601190034,,0.3395920012873127,,2048,0,2048
0.001,0.1,random_binary,scgi_proxy,15.415907244945714,,0.3398738788592821,,2048,0,2048
0.001,0.1,dct_paired,scgi_frozen,15.266929511729494,,0.35173498025674005,,2048,0,2048
0.001,0.1,random_binary,none,13.791261347257759,,0.4940630530533644,,2048,0,2048
0.001,0.1,random_uniform,none,12.628134966619653,,0.6457955020258526,,2048,0,2048
0.001,0.1,random_binary,scgi_frozen,10.90233928601947,,0.9608920138226634,,2048,0,2048
0.001,0.1,random_uniform,scgi_frozen,10.7855876387139,,0.9870740820048733,,2048,0,2048
0.001,0.15,srht_paired,pairwise,36.19745708638789,,0.002838983077762684,,2048,0,2048
0.001,0.15,hadamard_paired,pairwise,36.19626902617953,,0.002839759818972647,,2048,0,2048
0.001,0.15,hadamard_paired,scgi_proxy,35.697511329740905,,0.0031853516194309058,,2048,0,2048
0.001,0.15,srht_paired,agc,35.55403680110206,,0.003292341166873737,,2048,0,2048
0.001,0.15,srht_paired,scgi_proxy,35.54207906736092,,0.0033014186912506734,,2048,0,2048
0.001,0.15,dct_paired,pairwise,33.20478591913796,,0.005654964990377639,,2048,0,2048
0.001,0.15,dct_paired,scgi_proxy,32.875919623995664,,0.006099813405886982,,2048,0,2048
0.001,0.15,srht_paired,none,30.551441517037155,,0.010417520428794274,,2048,0,2048
0.001,0.15,dct_paired,none,29.71689918953414,,0.012624628103739618,,2048,0,2048
0.001,0.15,hadamard_paired,none,27.6596262696145,,0.02027430079541592,,2048,0,2048
0.001,0.15,hadamard_paired,agc,25.151852546735437,,0.03611796375274999,,2048,0,2048
0.001,0.15,fourier_fourstep,agc,23.312925672612636,,0.055158944262713866,,2048,0,2048
0.001,0.15,dct_paired,agc,23.070741445875235,,0.05832226312358636,,2048,0,2048
0.001,0.15,fourier_fourstep,scgi_proxy,21.286428268177122,,0.087956043556274,,2048,0,2048
0.001,0.15,fourier_fourstep,none,21.019918372491855,,0.09352262222270798,,2048,0,2048
0.001,0.15,srht_paired,scgi_frozen,16.925437359902805,,0.24008486145724184,,2048,0,2048
0.001,0.15,hadamard_paired,scgi_frozen,16.216343917978556,,0.28266635630359493,,2048,0,2048
0.001,0.15,fourier_fourstep,scgi_frozen,15.762359602180585,,0.31381417172966164,,2048,0,2048
0.001,0.15,random_binary,agc,15.228862969917662,,0.3548315394911739,,2048,0,2048
0.001,0.15,random_binary,scgi_proxy,15.227813774036692,,0.3549172722781699,,2048,0,2048
0.001,0.15,random_uniform,agc,15.040086462473287,,0.3705952650765139,,2048,0,2048
0.001,0.15,random_uniform,scgi_proxy,15.039993554541072,,0.37060319324725893,,2048,0,2048
0.001,0.15,dct_paired,scgi_frozen,14.951582631318018,,0.37822501550562887,,2048,0,2048
0.001,0.15,random_binary,none,12.863114304586869,,0.6117825453147984,,2048,0,2048
0.001,0.15,random_uniform,none,11.798227957533449,,0.7817820897501976,,2048,0,2048
0.001,0.15,random_binary,scgi_frozen,10.911913201340075,,0.9587760840635122,,2048,0,2048
0.001,0.15,random_uniform,scgi_frozen,10.786463426599973,,0.9868750510702594,,2048,0,2048
0.001,0.3,hadamard_paired,pairwise,30.216038350631223,,0.011253942125550802,,2048,0,2048
0.001,0.3,srht_paired,pairwise,30.215897235800306,,0.011254307804602145,,2048,0,2048
0.001,0.3,hadamard_paired,scgi_proxy,29.72659829163135,,0.012596464971894351,,2048,0,2048
0.001,0.3,srht_paired,agc,29.60088805456632,,0.012966408718684494,,2048,0,2048
0.001,0.3,srht_paired,scgi_proxy,29.561791413162396,,0.013083663657729292,,2048,0,2048
0.001,0.3,dct_paired,pairwise,27.275612235159684,,0.02214865146030248,,2048,0,2048
0.001,0.3,dct_paired,scgi_proxy,26.933297353258002,,0.023965074154785444,,2048,0,2048
0.001,0.3,srht_paired,none,24.478945335241384,,0.04217100771091747,,2048,0,2048
0.001,0.3,hadamard_paired,agc,23.95323192045195,,0.047597629095302574,,2048,0,2048
0.001,0.3,dct_paired,none,23.145693046197493,,0.05732435909390771,,2048,0,2048
0.001,0.3,hadamard_paired,none,21.826580827417228,,0.07766948575835836,,2048,0,2048
0.001,0.3,dct_paired,agc,21.475011931789098,,0.08421846456939358,,2048,0,2048
0.001,0.3,fourier_fourstep,agc,21.403866942218265,,0.08560947194788715,,2048,0,2048
0.001,0.3,fourier_fourstep,scgi_proxy,20.572305887602013,,0.10367592616585829,,2048,0,2048
0.001,0.3,fourier_fourstep,none,20.251710095810843,,0.11161883951470768,,2048,0,2048
0.001,0.3,srht_paired,scgi_frozen,16.87840551915598,,0.24269898528715306,,2048,0,2048
0.001,0.3,hadamard_paired,scgi_frozen,15.816168880272505,,0.30994998841832333,,2048,0,2048
0.001,0.3,random_binary,scgi_proxy,14.43601615571878,,0.4258992712063947,,2048,0,2048
0.001,0.3,random_binary,agc,14.42737665811137,,0.4267473635076111,,2048,0,2048
0.001,0.3,fourier_fourstep,scgi_frozen,14.176098050223363,,0.45216683750581443,,2048,0,2048
0.001,0.3,dct_paired,scgi_frozen,13.92835818618115,,0.4787102139605153,,2048,0,2048
0.001,0.3,random_uniform,scgi_proxy,13.639891032275656,,0.5115868930669829,,2048,0,2048
0.001,0.3,random_uniform,agc,13.635693901243979,,0.512081542481334,,2048,0,2048
0.001,0.3,random_binary,none,11.572685045669468,,0.8234552597651791,,2048,0,2048
0.001,0.3,random_uniform,none,11.03692417586837,,0.9315712885161346,,2048,0,2048
0.001,0.3,random_binary,scgi_frozen,10.933085412427836,,0.9541133471073426,,2048,0,2048
0.001,0.3,random_uniform,scgi_frozen,10.786177148524507,,0.9869401060073856,,2048,0,2048
0.001,0.5,hadamard_paired,pairwise,25.869806157339774,,0.030614551168938495,,2048,0,2048
0.001,0.5,srht_paired,pairwise,25.86784755097004,,0.030628361010055498,,2048,0,2048
0.001,0.5,hadamard_paired,scgi_proxy,25.38992693164061,,0.034191316197736035,,2048,0,2048
0.001,0.5,srht_paired,agc,25.253151296694938,,0.03528526495036959,,2048,0,2048
0.001,0.5,srht_paired,scgi_proxy,25.216154710135807,,0.035587136281866466,,2048,0,2048
0.001,0.5,dct_paired,pairwise,23.029941272203338,,0.05887275849796766,,2048,0,2048
0.001,0.5,dct_paired,scgi_proxy,22.670698687489974,,0.06394971947745402,,2048,0,2048
0.001,0.5,hadamard_paired,agc,22.131290905232074,,0.0724068112692126,,2048,0,2048
0.001,0.5,srht_paired,none,20.095457101510025,,0.1157078442512268,,2048,0,2048
0.001,0.5,dct_paired,agc,19.39919083031567,,0.1358280386212555,,2048,0,2048
0.001,0.5,fourier_fourstep,scgi_proxy,19.11742513667702,,0.14493257182482713,,2048,0,2048
0.001,0.5,fourier_fourstep,agc,18.967882007008498,,0.15001003479321243,,2048,0,2048
0.001,0.5,dct_paired,none,18.197711004359554,,0.179117249663094,,2048,0,2048
0.001,0.5,hadamard_paired,none,17.94937129955707,,0.18965809434908418,,2048,0,2048
0.001,0.5,fourier_fourstep,none,17.496790123289742,,0.21048904619026762,,2048,0,2048
0.001,0.5,srht_paired,scgi_frozen,16.38681728455537,,0.2717858135410245,,2048,0,2048
0.001,0.5,hadamard_paired,scgi_frozen,15.105270042909634,,0.36507450766346283,,2048,0,2048
0.001,0.5,random_binary,scgi_proxy,13.366346052747279,,0.5448461760776094,,2048,0,2048
0.001,0.5,random_binary,agc,13.34690223221569,,0.5472909784227948,,2048,0,2048
0.001,0.5,dct_paired,scgi_frozen,12.75476046518393,,0.6272381510771977,,2048,0,2048
0.001,0.5,fourier_fourstep,scgi_frozen,12.60818496086399,,0.6487688902148785,,2048,0,2048
0.001,0.5,random_uniform,scgi_proxy,12.392713094831546,,0.6817689262317442,,2048,0,2048
0.001,0.5,random_uniform,agc,12.380988715689835,,0.6836119421942906,,2048,0,2048
0.001,0.5,random_binary,none,11.090271946777147,,0.9201980694864287,,2048,0,2048
0.001,0.5,random_binary,scgi_frozen,10.935980751890614,,0.953477474098469,,2048,0,2048
0.001,0.5,random_uniform,none,10.835377468169527,,0.9758223607932387,,2048,0,2048
0.001,0.5,random_uniform,scgi_frozen,10.778523549352247,,0.988680930291922,,2048,0,2048
0.003,0.05,srht_paired,pairwise,40.965659474990304,,0.0009469838335208637,,2048,0,2048
0.003,0.05,hadamard_paired,pairwise,40.96346251948685,,0.0009474630032419511,,2048,0,2048
0.003,0.05,hadamard_paired,scgi_proxy,40.462240718960196,,0.001063370090202113,,2048,0,2048
0.003,0.05,srht_paired,scgi_proxy,40.30461813848001,,0.0011026728934863032,,2048,0,2048
0.003,0.05,srht_paired,agc,40.20779808757689,,0.0011275315520961802,,2048,0,2048
0.003,0.05,dct_paired,pairwise,37.957209225661636,,0.0018931611774249055,,2048,0,2048
0.003,0.05,dct_paired,scgi_proxy,37.637786501110774,,0.0020376512834159367,,2048,0,2048
0.003,0.05,srht_paired,none,36.88768032648673,,0.0024218122958801,,2048,0,2048
0.003,0.05,dct_paired,none,36.0618229486473,,0.0029290461712472575,,2048,0,2048
0.003,0.05,hadamard_paired,none,34.744451721882456,,0.003967010411575175,,2048,0,2048
0.003,0.05,hadamard_paired,agc,25.507217141351816,,0.03328026672975029,,2048,0,2048
