rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,48.86099643183773,,0.0001537477855543688,,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,48.79754230820474,,0.00015601066270723218,,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,46.24286078880678,,0.00028094572859066675,,2048,257,2305
0.001,0.05,srht_paired,reference_k8,46.13310256142412,,0.00028813648663807547,,2048,257,2305
0.001,0.05,dct_paired,reference_k2,45.7907487944346,,0.0003117695047166663,,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k32,45.55381783084121,,0.00032925071701293335,,2048,65,2113
0.001,0.05,srht_paired,reference_k32,45.313279412640924,,0.000348001063547532,,2048,65,2113
0.001,0.05,dct_paired,reference_k8,43.26681711564511,,0.0005574768031586457,,2048,257,2305
0.001,0.05,dct_paired,reference_k32,42.74005611682221,,0.0006293654541263724,,2048,65,2113
0.001,0.05,fourier_fourstep,reference_k32,20.431602688871067,,0.10708983356415955,,2048,65,2113
0.001,0.05,fourier_fourstep,reference_k8,20.407474815559276,,0.10768644273974619,,2048,257,2305
0.001,0.05,fourier_fourstep,reference_k2,20.402317032584556,,0.10781440965426936,,2048,1025,3073
0.001,0.05,random_uniform,reference_k2,15.88797303685076,,0.3048675557111728,,2048,1025,3073
0.001,0.05,random_uniform,reference_k8,15.859700414302951,,0.3068587213573124,,2048,257,2305
0.001,0.05,random_uniform,reference_k32,15.785667902559148,,0.3121344630999364,,2048,65,2113
0.001,0.05,random_binary,reference_k2,15.623216608445126,,0.324031216786801,,2048,1025,3073
0.001,0.05,random_binary,reference_k32,15.614597430704237,,0.32467494035084743,,2048,65,2113
0.001,0.05,random_binary,reference_k8,15.609708665564694,,0.3250406261480503,,2048,257,2305
0.001,0.1,srht_paired,reference_k2,42.84590135230105,,0.0006142121133632913,,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k2,42.778565021298874,,0.0006238095373619234,,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k8,40.22953795612334,,0.001121901469500673,,2048,257,2305
