rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.003,0.1,hadamard_paired,oracle,120.0,0.0,8.666188014847235e-13,1.7298619699937676e-13,2048,0,2048
0.003,0.1,srht_paired,oracle,120.0,0.0,7.360161520871514e-13,1.0867450269146136e-13,2048,0,2048
0.003,0.1,dct_paired,oracle,102.93647548135449,2.301137969980808,7.723822890887234e-10,2.280159989649065e-10,2048,0,2048
0.003,0.1,srht_paired,reference_k2,38.61861627806824,1.823230221921685,0.0019929027934679866,0.00017848380984544532,2048,1025,3073
0.003,0.1,hadamard_paired,reference_k2,38.596414035577865,1.822842254505235,0.002002824051529747,0.00017570238971903563,2048,1025,3073
0.003,0.1,hadamard_paired,reference_k8,36.00024420757037,1.8201703176847812,0.0036417442242655798,0.0003243800513860955,2048,257,2305
0.003,0.1,srht_paired,reference_k8,35.94977971874999,1.8250837154905633,0.0036840074037452933,0.0003247369457276058,2048,257,2305
0.003,0.1,dct_paired,reference_k2,35.59774091493842,1.8232696047534929,0.00399486210420666,0.0003495243941573875,2048,1025,3073
0.003,0.1,srht_paired,pairwise,35.55237536343489,1.8255307324101717,0.0040370195109787465,0.0003558150815561905,2048,0,2048
0.003,0.1,hadamard_paired,pairwise,35.53764346150017,1.8293184406353409,0.00405088442399604,0.00035882479666834093,2048,0,2048
0.003,0.1,hadamard_paired,scgi_proxy,35.02239191278178,1.7960897463190393,0.004559726551722634,0.0003855083580194102,2048,0,2048
0.003,0.1,srht_paired,agc,34.89015560480916,1.7683381029508807,0.004697531817625006,0.00035578449115780035,2048,0,2048
0.003,0.1,srht_paired,scgi_proxy,34.88757039586095,1.79384268789881,0.004701822128667234,0.000376170711951566,2048,0,2048
0.003,0.1,dct_paired,reference_k8,33.00491517507446,1.8212435039327122,0.007259347313716074,0.0006571646077061088,2048,257,2305
0.003,0.1,dct_paired,pairwise,32.54678666412984,1.8265573147836647,0.008065705252894406,0.0007165119085773848,2048,0,2048
0.003,0.1,dct_paired,scgi_proxy,32.34127950491862,1.8099190223580381,0.008451560676752106,0.000686392609708473,2048,0,2048
0.003,0.1,hadamard_paired,none,32.220559491993754,1.806949899259808,0.008918611800416625,0.0024366343750617248,2048,0,2048
0.003,0.1,srht_paired,none,32.01920461183957,1.8391788392129798,0.00921691456441958,0.0016193488739243886,2048,0,2048
0.003,0.1,dct_paired,none,31.256325062272502,1.830868539321464,0.01087780629819476,0.0012058390233723743,2048,0,2048
0.003,0.1,srht_paired,scgi_frozen,27.487213679490203,1.8042922110556572,0.025892920675397838,0.00268446756443198,2048,0,2048
0.003,0.1,hadamard_paired,agc,25.932220537191856,1.7940945850043968,0.03694238534966299,0.002600607613634234,2048,0,2048
0.003,0.1,hadamard_paired,scgi_frozen,25.65782559491812,1.8117085737479586,0.03948809029113675,0.004478856575803479,2048,0,2048
0.003,0.1,fourier_fourstep,agc,24.79065469855156,1.6985612567885873,0.04866613754182284,0.008665296737535895,2048,0,2048
0.003,0.1,dct_paired,agc,24.470991620781295,1.7102731492772558,0.051820824995911126,0.005064151629652382,2048,0,2048
0.003,0.1,dct_paired,scgi_frozen,23.33208501575694,1.821307221012951,0.06727356606486919,0.0054343700178038105,2048,0,2048
0.003,0.1,fourier_fourstep,scgi_proxy,22.003941073643272,1.6445146846788077,0.09118546921162271,0.004974150516002596,2048,0,2048
0.003,0.1,fourier_fourstep,none,21.27384852086983,1.6901447397130536,0.1082905086053634,0.01152596911946741,2048,0,2048
0.003,0.1,fourier_fourstep,oracle,21.261054257806467,1.6255297957003292,0.10806239621048735,0.0018317478991295045,2048,0,2048
0.003,0.1,fourier_fourstep,reference_k2,21.179677363838064,1.6287767519583345,0.1101099272572715,0.0020786285507543825,2048,1025,3073
0.003,0.1,fourier_fourstep,reference_k8,21.056574242710994,1.6410887853943472,0.11328565675889239,0.0026393394646061397,2048,257,2305
0.003,0.1,fourier_fourstep,scgi_frozen,20.555863057131685,1.5463188780165746,0.12754918275767924,0.011242418611379711,2048,0,2048
0.003,0.1,random_uniform,oracle,16.4091501657951,1.6092346703991767,0.3305852076996473,0.015891336758460186,2048,0,2048
0.003,0.1,random_uniform,reference_k2,16.379843324259753,1.6172567415762154,0.33283329791944194,0.016229777611962405,2048,1025,3073
0.003,0.1,random_binary,oracle,16.316576822535776,1.4813215004105216,0.33755846002680684,0.012632593639464779,2048,0,2048
0.003,0.1,random_binary,reference_k2,16.30697048559453,1.4842105236946763,0.33829843853933056,0.012448626539423325,2048,1025,3073
0.003,0.1,random_binary,reference_k8,16.26401724231196,1.488584453082328,0.34167030737670623,0.012843667747203923,2048,257,2305
0.003,0.1,random_uniform,reference_k8,16.21689287352243,1.6359687368880103,0.3455777801301973,0.01729396927578537,2048,257,2305
0.003,0.1,random_binary,scgi_proxy,15.852612570617318,1.5191443264526443,0.37560017604452245,0.013607097760269955,2048,0,2048
