rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.003,0.1,srht_paired,reference_k2,38.61861627806824,1.8232302219216852,0.00199290279346803,0.00017848380984543998,2048,1025,3073
0.003,0.1,hadamard_paired,reference_k2,38.596414035577865,1.8228422545052354,0.002002824051529789,0.00017570238971903733,2048,1025,3073
0.003,0.1,hadamard_paired,reference_k8,36.00024420757037,1.8201703176847823,0.0036417442242656366,0.0003243800513860933,2048,257,2305
0.003,0.1,srht_paired,reference_k8,35.94977971874999,1.8250837154905633,0.0036840074037453427,0.0003247369457275908,2048,257,2305
0.003,0.1,dct_paired,reference_k2,35.59774091493842,1.8232696047534938,0.0039948621042067145,0.00034952439415738087,2048,1025,3073
0.003,0.1,srht_paired,pairwise,35.55237536343489,1.8255307324101717,0.004037019510978817,0.000355815081556185,2048,0,2048
0.003,0.1,hadamard_paired,pairwise,35.53764346150017,1.829318440635341,0.004050884423996085,0.00035882479666834316,2048,0,2048
0.003,0.1,hadamard_paired,scgi_proxy,35.02239191278178,1.796089746319038,0.004559726551722676,0.0003855083580194038,2048,0,2048
0.003,0.1,srht_paired,agc,34.89015560480916,1.7683381029508807,0.004697531817625053,0.00035578449115779883,2048,0,2048
0.003,0.1,srht_paired,scgi_proxy,34.88757039586095,1.79384268789881,0.004701822128667279,0.0003761707119515636,2048,0,2048
0.003,0.1,dct_paired,reference_k8,33.00491517507446,1.8212435039327124,0.007259347313716125,0.0006571646077061111,2048,257,2305
0.003,0.1,dct_paired,pairwise,32.54678666412984,1.8265573147836647,0.008065705252894451,0.000716511908577376,2048,0,2048
0.003,0.1,dct_paired,scgi_proxy,32.34127950491862,1.8099190223580384,0.008451560676752151,0.0006863926097084577,2048,0,2048
0.003,0.1,hadamard_paired,none,32.220559491993754,1.8069498992598085,0.008918611800416682,0.002436634375061722,2048,0,2048
0.003,0.1,srht_paired,none,32.01920461183957,1.8391788392129798,0.00921691456441963,0.0016193488739243921,2048,0,2048
0.003,0.1,dct_paired,none,31.256325062272502,1.830868539321464,0.01087780629819482,0.001205839023372374,2048,0,2048
0.003,0.1,hadamard_paired,agc,25.93222053719185,1.7940945850043972,0.03694238534966303,0.0026006076136342346,2048,0,2048
0.003,0.1,fourier_fourstep,agc,24.79065469855156,1.698561256788587,0.04866613754182288,0.008665296737535888,2048,0,2048
0.003,0.1,dct_paired,agc,24.470991620781287,1.7102731492772552,0.05182082499591116,0.005064151629652375,2048,0,2048
0.003,0.1,fourier_fourstep,scgi_proxy,22.003941073643272,1.6445146846788077,0.09118546921162275,0.004974150516002598,2048,0,2048
0.003,0.1,fourier_fourstep,none,21.27384852086983,1.6901447397130533,0.10829050860536346,0.011525969119467376,2048,0,2048
0.003,0.1,fourier_fourstep,reference_k2,21.179677363838064,1.628776751958334,0.11010992725727155,0.002078628550754371,2048,1025,3073
0.003,0.1,fourier_fourstep,reference_k8,21.056574242710994,1.6410887853943477,0.1132856567588924,0.0026393394646061353,2048,257,2305
0.003,0.1,random_uniform,reference_k2,16.379843324259753,1.617256741576216,0.33283329791944194,0.016229777611962426,2048,1025,3073
0.003,0.1,random_binary,reference_k2,16.30697048559453,1.4842105236946763,0.33829843853933056,0.012448626539423316,2048,1025,3073
0.003,0.1,random_binary,reference_k8,16.26401724231196,1.488584453082328,0.34167030737670623,0.012843667747203904,2048,257,2305
0.003,0.1,random_uniform,reference_k8,16.21689287352243,1.6359687368880103,0.34557778013019735,0.017293969275785376,2048,257,2305
0.003,0.1,random_binary,scgi_proxy,15.852612570617318,1.5191443264526443,0.3756001760445225,0.013607097760269951,2048,0,2048
0.003,0.1,random_binary,agc,15.851373989566172,1.5201785505035972,0.3757122118563224,0.013756513616285288,2048,0,2048
0.003,0.1,random_uniform,scgi_proxy,15.33968855015332,1.6757040106912013,0.4231199339949023,0.025107611362153223,2048,0,2048
0.003,0.1,random_uniform,agc,15.338185331489539,1.6763128413037736,0.4232660141525715,0.02510475130141839,2048,0,2048
0.003,0.1,random_binary,none,14.265834879715154,1.6908785022074853,0.5437457447522687,0.05614448492983253,2048,0,2048
0.003,0.1,random_uniform,none,13.103021409492522,1.7102059554007158,0.7098493556412305,0.06464999498175684,2048,0,2048
0.003,0.1,fourier_fourstep,scgi_frozen,13.100973990814918,1.5852874544026683,0.7075888540475859,0.019817600577651324,2048,0,2048
0.003,0.1,hadamard_paired,scgi_frozen,12.824029351257154,1.552026128491489,0.7542006857274403,0.0216849132844679,2048,0,2048
0.003,0.1,dct_paired,scgi_frozen,12.549911878900842,1.5522162724796036,0.803099121508986,0.01111998092762743,2048,0,2048
0.003,0.1,random_binary,scgi_frozen,11.733563529494345,1.555275481882309,0.9691201010844007,0.007633097173695579,2048,0,2048
0.003,0.1,srht_paired,scgi_frozen,11.690585943587944,1.5654432124342668,0.9787413090093683,0.004917794752849181,2048,0,2048
0.003,0.1,random_uniform,scgi_frozen,11.651739664884039,1.5699855582277458,0.9875364620641321,0.0052449582152438515,2048,0,2048
0.003,0.5,srht_paired,reference_k2,24.86476230044667,1.8055762870228704,0.047294117236809805,0.004152231156347765,2048,1025,3073
0.003,0.5,hadamard_paired,reference_k2,24.814467559986436,1.8086991302903939,0.047831667082574546,0.004032565262421805,2048,1025,3073
0.003,0.5,hadamard_paired,reference_k8,22.36457912077572,1.8041904572639278,0.08409700594900905,0.007257688368837259,2048,257,2305
0.003,0.5,srht_paired,reference_k8,22.35341461117714,1.8016047686293304,0.08428836312029439,0.006986694924474859,2048,257,2305
0.003,0.5,dct_paired,reference_k2,21.993710315591972,1.7945669881868815,0.09154347322458722,0.007256609651880648,2048,1025,3073
0.003,0.5,srht_paired,pairwise,21.9890392726787,1.7943865541993644,0.09165932889677118,0.007513678148976567,2048,0,2048
0.003,0.5,hadamard_paired,pairwise,21.941305465619642,1.8145936378485392,0.09268499444376112,0.0077524556214563995,2048,0,2048
