rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,47.676869495304906,2.2525266671872637,0.000196543579628936,3.3860800077636126e-05,2048,1025,3073
0.001,0.1,srht_paired,reference_k2,41.661177390928636,2.251224902608302,0.0007852496560850961,0.00013504679449581427,2048,1025,3073
0.001,0.15,srht_paired,reference_k2,38.14593347439858,2.2496753682343376,0.001764035608128014,0.00030273353253710465,2048,1025,3073
0.001,0.3,srht_paired,reference_k2,32.15498514968515,2.2435637421807924,0.007006508221950424,0.0011921281509773565,2048,1025,3073
0.001,0.5,srht_paired,reference_k2,27.780190506778617,2.232172581413133,0.019177436942937186,0.0032096222029337072,2048,1025,3073
0.003,0.05,srht_paired,reference_k2,42.90914941517629,2.2516173511550277,0.000589138068610654,0.00010137600215211299,2048,1025,3073
0.003,0.1,srht_paired,reference_k2,36.90021375584675,2.2488912295713477,0.0023499951183745017,0.0004028645704146125,2048,1025,3073
0.003,0.15,srht_paired,reference_k2,33.39502029939674,2.245433285122946,0.005266589749872366,0.0008984921650477306,2048,1025,3073
0.003,0.3,srht_paired,reference_k2,27.45341319591205,2.2308923263622624,0.02067507857671091,0.0034538623483427702,2048,1025,3073
0.003,0.5,srht_paired,reference_k2,23.185916005981962,2.2029832215047964,0.05517399917247369,0.008837399695863099,2048,1025,3073
0.01,0.05,srht_paired,reference_k2,37.69000449820621,2.2494779602806574,0.001959289062383114,0.00033618440065828493,2048,1025,3073
0.01,0.1,srht_paired,reference_k2,31.701888687261523,2.242862843188191,0.007776801335356028,0.0013220011780425316,2048,1025,3073
0.01,0.15,srht_paired,reference_k2,28.228722358051396,2.2339291421640075,0.01729689366229058,0.0029026236127204564,2048,1025,3073
0.01,0.3,srht_paired,reference_k2,22.444838947230874,2.1952187758403747,0.06542093326347138,0.010353867743340869,2048,1025,3073
0.01,0.5,srht_paired,reference_k2,18.50189520757169,2.125202674569817,0.16178320280334454,0.02280545176035487,2048,1025,3073
0.03,0.05,srht_paired,reference_k2,32.942484618339535,2.2450428572735723,0.005844948037951596,0.0009968956408439075,2048,1025,3073
0.03,0.1,srht_paired,reference_k2,27.00877087802953,2.229247180399986,0.02290275253444014,0.003817841932552095,2048,1025,3073
0.03,0.15,srht_paired,reference_k2,23.619675300893604,2.207342131172627,0.04993825906004197,0.008054843517844756,2048,1025,3073
0.03,0.3,srht_paired,reference_k2,18.226311447482857,2.117962423246598,0.1723410020406412,0.023990394296163866,2048,1025,3073
0.03,0.5,srht_paired,reference_k2,14.962143626084746,1.988002919667929,0.3640336099156052,0.039028686628894145,2048,1025,3073
0.1,0.05,srht_paired,reference_k2,27.792681103621227,2.233160328277857,0.019123701417738285,0.003208453708193803,2048,1025,3073
0.1,0.1,srht_paired,reference_k2,22.031907428658595,2.191207980404522,0.07193757217468251,0.011323768438864196,2048,1025,3073
0.1,0.15,srht_paired,reference_k2,18.897415505954076,2.1359653689828364,0.1477567906260023,0.021237812523646857,2048,1025,3073
0.1,0.3,srht_paired,reference_k2,14.484646747330322,1.9606580307940664,0.4060633733825237,0.04080433690673471,2048,1025,3073
0.1,0.5,srht_paired,reference_k2,12.405526598553967,1.803749447807396,0.6533710459623603,0.04032220748623989,2048,1025,3073
0.3,0.05,srht_paired,reference_k2,23.278432347308176,2.2072312084508248,0.05402428711090672,0.008734236921700677,2048,1025,3073
0.3,0.1,srht_paired,reference_k2,17.930903019464385,2.112746903068839,0.18444697878913785,0.025483105204510408,2048,1025,3073
0.3,0.15,srht_paired,reference_k2,15.32118532538659,2.009743021890945,0.3353414143920886,0.03774863826497554,2048,1025,3073
