rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,pairwise,44.68678254333784,2.2588231376213974,0.000391343202099868,6.793502728554979e-05,2048,0,2048
0.001,0.1,srht_paired,pairwise,38.67386503914275,2.2578915381242575,0.001562556495694534,0.00027091602470235535,2048,0,2048
0.001,0.15,srht_paired,pairwise,35.163092041452465,2.2564527901899076,0.003506629308685138,0.0006067707515790709,2048,0,2048
0.001,0.3,srht_paired,pairwise,29.195574820406367,2.24918351348777,0.013852173598891255,0.002372056143869824,2048,0,2048
0.001,0.5,srht_paired,pairwise,24.874122495773282,2.2330955609342498,0.03744422645210533,0.006261028014192785,2048,0,2048
0.003,0.05,srht_paired,pairwise,39.92552536768441,2.258167052016844,0.001171309975160674,0.0002031220451862781,2048,0,2048
0.003,0.1,srht_paired,pairwise,33.924591777590535,2.255603603176808,0.00466362292961438,0.000805849621015139,2048,0,2048
0.003,0.15,srht_paired,pairwise,30.43240488022648,2.251559888484663,0.010420131730620966,0.001790120931331056,2048,0,2048
0.003,0.3,srht_paired,pairwise,24.558173963158087,2.2312213625544834,0.04026653072875838,0.006712125861999401,2048,0,2048
0.003,0.5,srht_paired,pairwise,20.43698648616943,2.188659549135969,0.1038358134862815,0.01619491492793723,2048,0,2048
0.01,0.05,srht_paired,pairwise,34.7293429479092,2.255782079469466,0.0038747115775926862,0.0006690582410934066,2048,0,2048
0.01,0.1,srht_paired,pairwise,28.766825307789155,2.2477563318235387,0.0152880872937482,0.0026092453979389197,2048,0,2048
0.01,0.15,srht_paired,pairwise,25.334913034953342,2.235186333587845,0.03367643377757979,0.005641081034711085,2048,0,2048
0.01,0.3,srht_paired,pairwise,19.75276325137791,2.176333276004104,0.12149459143028242,0.01854724902171639,2048,0,2048
0.01,0.5,srht_paired,pairwise,16.18651598814437,2.074656673787998,0.2752194835259864,0.03496888463001795,2048,0,2048
0.03,0.05,srht_paired,pairwise,30.030913097890753,2.249885623304255,0.011428029257643073,0.001954927812963011,2048,0,2048
0.03,0.1,srht_paired,pairwise,24.16976586155217,2.227437296721831,0.04402472810839221,0.007281543918900843,2048,0,2048
0.03,0.15,srht_paired,pairwise,20.892819588125473,2.1940850651732218,0.09350379381011786,0.014676699292741135,2048,0,2048
0.03,0.3,srht_paired,pairwise,15.972613386716034,2.0644521962063243,0.28901681622616776,0.035920098919880704,2048,0,2048
0.03,0.5,srht_paired,pairwise,13.358587432160771,1.9101395649062232,0.5255245531253551,0.04485848297547458,2048,0,2048
0.1,0.05,srht_paired,pairwise,25.04987204464169,2.2324878214533714,0.03595568905331672,0.0059894698638065175,2048,0,2048
0.1,0.1,srht_paired,pairwise,19.4949074600788,2.169675384820739,0.12888827594647176,0.01940765039792514,2048,0,2048
