rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,hadamard_paired,oracle,120.0,0.0,8.734552206915924e-13,1.3265788661004563e-13,2048,0,2048
0.001,0.1,hadamard_paired,oracle,120.0,0.0,8.836643840374277e-13,1.2837206322768697e-13,2048,0,2048
0.001,0.15,hadamard_paired,oracle,120.0,0.0,8.930797019239856e-13,1.353642253237794e-13,2048,0,2048
0.001,0.3,hadamard_paired,oracle,120.0,0.0,9.332103867293028e-13,1.4265776113454348e-13,2048,0,2048
0.001,0.5,hadamard_paired,oracle,120.0,0.0,9.411541913111637e-13,1.5032648372921059e-13,2048,0,2048
0.003,0.05,hadamard_paired,oracle,120.0,0.0,8.825711300679301e-13,1.3248057797712393e-13,2048,0,2048
0.003,0.1,hadamard_paired,oracle,120.0,0.0,8.949495963220327e-13,1.3334506865745413e-13,2048,0,2048
0.003,0.15,hadamard_paired,oracle,120.0,0.0,9.088244796762623e-13,1.3571734177863199e-13,2048,0,2048
0.003,0.3,hadamard_paired,oracle,120.0,0.0,9.365776932498965e-13,1.4429400607651835e-13,2048,0,2048
0.003,0.5,hadamard_paired,oracle,120.0,0.0,9.428032559148594e-13,1.4714603406759402e-13,2048,0,2048
0.01,0.05,hadamard_paired,oracle,120.0,0.0,8.827644101257785e-13,1.329227894898472e-13,2048,0,2048
0.01,0.1,hadamard_paired,oracle,120.0,0.0,8.913106276258726e-13,1.3019420563704142e-13,2048,0,2048
0.01,0.15,hadamard_paired,oracle,120.0,0.0,9.180970988190355e-13,1.418313771621814e-13,2048,0,2048
0.01,0.3,hadamard_paired,oracle,120.0,0.0,9.404326159254508e-13,1.524138588685435e-13,2048,0,2048
0.01,0.5,hadamard_paired,oracle,120.0,0.0,9.395460702616315e-13,1.425103485131547e-13,2048,0,2048
0.03,0.05,hadamard_paired,oracle,120.0,0.0,8.848548305477477e-13,1.2931126318612491e-13,2048,0,2048
0.03,0.1,hadamard_paired,oracle,120.0,0.0,8.943868196976245e-13,1.3126779287239744e-13,2048,0,2048
0.03,0.15,hadamard_paired,oracle,120.0,0.0,9.184168428388469e-13,1.3522275151288333e-13,2048,0,2048
0.03,0.3,hadamard_paired,oracle,120.0,0.0,9.41898884404345e-13,1.4728928937418742e-13,2048,0,2048
0.03,0.5,hadamard_paired,oracle,120.0,0.0,9.33584573794003e-13,1.5381085159438683e-13,2048,0,2048
0.1,0.05,hadamard_paired,oracle,120.0,0.0,8.854395197164419e-13,1.3356115947576965e-13,2048,0,2048
0.1,0.1,hadamard_paired,oracle,120.0,0.0,9.066564867676568e-13,1.3002824456171876e-13,2048,0,2048
0.1,0.15,hadamard_paired,oracle,120.0,0.0,9.210114919322817e-13,1.3522280892263213e-13,2048,0,2048
0.1,0.3,hadamard_paired,oracle,120.0,0.0,9.306353563079684e-13,1.474577510329159e-13,2048,0,2048
0.1,0.5,hadamard_paired,oracle,120.0,0.0,9.515926929834028e-13,1.4827005936892655e-13,2048,0,2048
0.3,0.05,hadamard_paired,oracle,120.0,0.0,8.800463508055204e-13,1.3469064033389525e-13,2048,0,2048
0.3,0.1,hadamard_paired,oracle,120.0,0.0,9.057218114775109e-13,1.3614634047425425e-13,2048,0,2048
0.3,0.15,hadamard_paired,oracle,120.0,0.0,9.189375082019058e-13,1.4280570881870854e-13,2048,0,2048
0.3,0.3,hadamard_paired,oracle,120.0,0.0,9.233006479686127e-13,1.4763667008729825e-13,2048,0,2048
0.3,0.5,hadamard_paired,oracle,120.0,0.0,9.31348201823732e-13,1.4537268308988485e-13,2048,0,2048
1.0,0.05,hadamard_paired,oracle,120.0,0.0,8.853185484184949e-13,1.307436436546914e-13,2048,0,2048
1.0,0.1,hadamard_paired,oracle,120.0,0.0,9.118821270433073e-13,1.355343223496631e-13,2048,0,2048
1.0,0.15,hadamard_paired,oracle,120.0,0.0,9.200394194234652e-13,1.3577319830186627e-13,2048,0,2048
1.0,0.3,hadamard_paired,oracle,120.0,0.0,9.377744751617622e-13,1.4511433438815323e-13,2048,0,2048
1.0,0.5,hadamard_paired,oracle,120.0,0.0,9.294164907883365e-13,1.469537580893325e-13,2048,0,2048
3.0,0.05,hadamard_paired,oracle,120.0,0.0,8.820857924550949e-13,1.2421160511154843e-13,2048,0,2048
3.0,0.1,hadamard_paired,oracle,120.0,0.0,9.034997231441011e-13,1.2868934656008211e-13,2048,0,2048
3.0,0.15,hadamard_paired,oracle,120.0,0.0,9.179233716082359e-13,1.3990969519867743e-13,2048,0,2048
3.0,0.3,hadamard_paired,oracle,120.0,0.0,9.309589847938685e-13,1.4123895360652212e-13,2048,0,2048
3.0,0.5,hadamard_paired,oracle,120.0,0.0,9.333656249710751e-13,1.3969361168652267e-13,2048,0,2048
10.0,0.05,hadamard_paired,oracle,120.0,0.0,8.783316362055085e-13,1.26784880858263e-13,2048,0,2048
10.0,0.1,hadamard_paired,oracle,120.0,0.0,8.955488458211186e-13,1.309992366524013e-13,2048,0,2048
10.0,0.15,hadamard_paired,oracle,120.0,0.0,9.166942985269635e-13,1.277576335497226e-13,2048,0,2048
10.0,0.3,hadamard_paired,oracle,120.0,0.0,9.331361131142038e-13,1.4592846235111573e-13,2048,0,2048
10.0,0.5,hadamard_paired,oracle,120.0,0.0,9.267135058076825e-13,1.4070062723063697e-13,2048,0,2048
