rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,47.67686497802376,2.2525293914694138,0.000196543796880092,3.386092247195523e-05,2048,1025,3073
0.001,0.1,srht_paired,reference_k2,41.66117677021357,2.251224981134187,0.000785249777431206,0.00013504684031804444,2048,1025,3073
0.001,0.15,srht_paired,reference_k2,38.145932534637694,2.2496760700876774,0.001764036019148854,0.00030273374673737903,2048,1025,3073
0.001,0.3,srht_paired,reference_k2,32.15498362725084,2.2435640642003976,0.007006510798498292,0.0011921295367342036,2048,1025,3073
0.001,0.5,srht_paired,reference_k2,27.780189957226366,2.232173028102634,0.019177439523198746,0.0032096236736246465,2048,1025,3073
0.003,0.05,srht_paired,reference_k2,42.90914400404114,2.251616105279886,0.000589138749330844,0.00010137579598654954,2048,1025,3073
0.003,0.1,srht_paired,reference_k2,36.90021348086888,2.2488908603569175,0.002349995220966888,0.00040286428926222123,2048,1025,3073
0.003,0.15,srht_paired,reference_k2,33.39501915755806,2.2454334703617618,0.00526659112638083,0.0008984924356841101,2048,1025,3073
0.003,0.3,srht_paired,reference_k2,27.45341242421728,2.2308931553531473,0.020675082860830175,0.0034538669725254372,2048,1025,3073
0.003,0.5,srht_paired,reference_k2,23.18591568635598,2.202983827829155,0.05517400431952126,0.008837407772391245,2048,1025,3073
0.01,0.05,srht_paired,reference_k2,37.690002579303325,2.2494783891403904,0.001959289955945458,0.0003361846915671929,2048,1025,3073
0.01,0.1,srht_paired,reference_k2,31.701887615169365,2.242862842539956,0.007776803307530836,0.0013220020152815292,2048,1025,3073
0.01,0.15,srht_paired,reference_k2,28.22872092516192,2.2339296245422733,0.01729689959589812,0.0029026258911086936,2048,1025,3073
0.01,0.3,srht_paired,reference_k2,22.444838166590497,2.1952193899354433,0.0654209464878643,0.010353879345784252,2048,1025,3073
0.01,0.5,srht_paired,reference_k2,18.50189464031942,2.125203162617738,0.16178322647225798,0.02280547439226925,2048,1025,3073
0.03,0.05,srht_paired,reference_k2,32.942482923884135,2.245043846430151,0.00584495046874952,0.0009968968419138942,2048,1025,3073
0.03,0.1,srht_paired,reference_k2,27.00877056430163,2.229247617927714,0.022902754458143045,0.003817844062046877,2048,1025,3073
0.03,0.15,srht_paired,reference_k2,23.6196749036802,2.207342727988826,0.049938264384971405,0.008054849308537657,2048,1025,3073
0.03,0.3,srht_paired,reference_k2,18.226311048902666,2.117963081621984,0.17234102104597096,0.02399042079600355,2048,1025,3073
0.03,0.5,srht_paired,reference_k2,14.962143291469623,1.9880034309612484,0.36403364171506425,0.039028726408154336,2048,1025,3073
0.1,0.05,srht_paired,reference_k2,27.792680203287606,2.2331609344412633,0.01912370584408632,0.0032084574745545533,2048,1025,3073
0.1,0.1,srht_paired,reference_k2,22.031907029230773,2.1912087464502945,0.0719375806590263,0.011323782034356465,2048,1025,3073
0.1,0.15,srht_paired,reference_k2,18.89741503931138,2.135965917386159,0.14775680865277058,0.021237830609760863,2048,1025,3073
0.1,0.3,srht_paired,reference_k2,14.484646481803768,1.9606584763476484,0.4060634017704263,0.040804376214842224,2048,1025,3073
0.1,0.5,srht_paired,reference_k2,12.405526456064557,1.8037496775257014,0.6533710688593914,0.040322233281881684,2048,1025,3073
0.3,0.05,srht_paired,reference_k2,23.278431519197692,2.2072318644143034,0.05402429874240231,0.00873424753264754,2048,1025,3073
0.3,0.1,srht_paired,reference_k2,17.93090264280607,2.1127474859322994,0.18444699786606955,0.025483131708065935,2048,1025,3073
0.3,0.15,srht_paired,reference_k2,15.321184993169439,2.0097434847952536,0.33534144337968413,0.037748673124544614,2048,1025,3073
0.3,0.3,srht_paired,reference_k2,12.321112924037498,1.7969805942746062,0.6661020656191907,0.039585235898914425,2048,1025,3073
0.3,0.5,srht_paired,reference_k2,11.262173058966203,1.688412237619352,0.8489567522207832,0.026533457003873055,2048,1025,3073
1.0,0.05,srht_paired,reference_k2,19.16335443980068,2.151947786126665,0.13907386579760136,0.020638657127549153,2048,1025,3073
1.0,0.1,srht_paired,reference_k2,14.67584014159327,1.9824347464649725,0.3887819940455664,0.04113121298676766,2048,1025,3073
1.0,0.15,srht_paired,reference_k2,12.878376008108114,1.853908449872019,0.5864163937643345,0.04294673567026859,2048,1025,3073
1.0,0.3,srht_paired,reference_k2,11.250574241192487,1.6907258000763907,0.8512117027576848,0.02611718011823815,2048,1025,3073
1.0,0.5,srht_paired,reference_k2,10.794904077634579,1.6378747839403176,0.9450512955343872,0.014792431081785493,2048,1025,3073
3.0,0.05,srht_paired,reference_k2,17.303541102499114,2.106582278910636,0.21307060039653053,0.029148863802696382,2048,1025,3073
3.0,0.1,srht_paired,reference_k2,13.442136428047386,1.9072652243734507,0.5155541905564778,0.044505206886345815,2048,1025,3073
3.0,0.15,srht_paired,reference_k2,12.079437117097603,1.7872151746522869,0.7040600952886316,0.03908361730556994,2048,1025,3073
3.0,0.3,srht_paired,reference_k2,10.969660697960194,1.6629334021115212,0.9078963448659749,0.020472195987294113,2048,1025,3073
3.0,0.5,srht_paired,reference_k2,10.684403453394994,1.6281055017035229,0.9693576228133881,0.011663874242314088,2048,1025,3073
10.0,0.05,srht_paired,reference_k2,17.07557945572331,2.0998102258600606,0.2244991500594627,0.03030817242279137,2048,1025,3073
10.0,0.1,srht_paired,reference_k2,13.302661448277703,1.8978233074299105,0.5322668085302322,0.044600963478222774,2048,1025,3073
10.0,0.15,srht_paired,reference_k2,11.993814523501433,1.7798208786216694,0.7179999765979257,0.03839584012298165,2048,1025,3073
10.0,0.3,srht_paired,reference_k2,10.94129963183066,1.660425735354998,0.9138292592619897,0.019898761258045794,2048,1025,3073
10.0,0.5,srht_paired,reference_k2,10.673604357518926,1.6274377106891331,0.9717671261053996,0.011359450516065371,2048,1025,3073
