rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,47.67686497802376,2.2525293914694138,0.000196543796880092,3.386092247195523e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,47.66359330281417,2.250484118912217,0.00019712914457849999,3.389304815829467e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,45.16798241967039,2.2502337051690358,0.000350225580322246,6.047958440136735e-05,2048,257,2305
0.001,0.05,srht_paired,reference_k8,45.132365521337206,2.2455717138047495,0.00035303536184614595,6.046328105926701e-05,2048,257,2305
0.001,0.05,srht_paired,pairwise,44.68678254333784,2.2588231376213974,0.000391343202099868,6.793502728554979e-05,2048,0,2048
0.001,0.05,hadamard_paired,pairwise,44.67540845259357,2.2584363666980782,0.000392354375728092,6.80290986794866e-05,2048,0,2048
0.001,0.05,dct_paired,reference_k2,44.65545002268066,2.25581241284877,0.00039413634503265003,6.817952108831765e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k32,44.60955786963222,2.2169748265071134,0.000397800646626006,6.573526983824133e-05,2048,65,2113
0.001,0.05,srht_paired,reference_k32,44.484713942943365,2.2156190366322615,0.00040925318073822,6.666634054662916e-05,2048,65,2113
0.001,0.05,hadamard_paired,scgi_proxy,44.31503268994093,2.180646619434579,0.00042522584348649,6.687447275677e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_proxy,44.18521974531696,2.1935851883755206,0.00043819618589224405,6.923806253396595e-05,2048,0,2048
0.001,0.05,srht_paired,agc,43.711844725359654,2.067925004450146,0.000487243720499002,6.817719272065104e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_frozen,43.42796629746861,2.1863544854380845,0.000521792180692216,8.423380879478853e-05,2048,0,2048
0.001,0.05,dct_paired,reference_k8,42.15561761429048,2.2509820248860133,0.000700710603207242,0.00012019929999073724,2048,257,2305
0.001,0.05,dct_paired,reference_k32,41.68540788919432,2.2389803795753234,0.0007803941114039741,0.00013112205199412115,2048,65,2113
0.001,0.05,dct_paired,pairwise,41.6596330425072,2.257096913718705,0.000785660219453236,0.00013600134253670545,2048,0,2048
0.001,0.05,dct_paired,scgi_proxy,41.50738417596357,2.2289375128587463,0.000812546621989866,0.00013345102943964818,2048,0,2048
0.001,0.05,hadamard_paired,none,40.38416411712069,2.2634786107680673,0.001103985841732956,0.00042679081194363437,2048,0,2048
0.001,0.05,srht_paired,none,40.32290393293052,2.0030331543468756,0.001072064176430894,0.0002039169062060152,2048,0,2048
0.001,0.05,dct_paired,none,40.089569731909876,2.0423633862098245,0.00112456769514342,0.0001725919676980048,2048,0,2048
0.001,0.05,dct_paired,scgi_frozen,34.9653349340371,2.037282485323102,0.003678232703711488,0.0006766725246934895,2048,0,2048
0.001,0.05,hadamard_paired,scgi_frozen,34.26084988048687,2.4483967262232245,0.00444682504513609,0.0014008944779489738,2048,0,2048
0.001,0.05,hadamard_paired,agc,25.02286917257602,2.0727533637258175,0.035953342824106664,0.004387499907175172,2048,0,2048
0.001,0.05,fourier_fourstep,agc,24.72520572298192,1.894519007162877,0.03885904884203307,0.006599848510782861,2048,0,2048
0.001,0.05,dct_paired,agc,24.079524037503855,1.8408364194945825,0.044536382366538535,0.0039801661365762376,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_frozen,21.24412834505758,1.7466706663697207,0.08534437230038343,0.00486948055224482,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_proxy,21.129848414658245,1.7445349950105273,0.08758376499321434,0.0042680532907832976,2048,0,2048
