rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,pairwise,44.68678254333784,2.2588231376213974,0.000391343202099868,6.793502728554979e-05,2048,0,2048
0.001,0.05,hadamard_paired,pairwise,44.67540845259357,2.2584363666980782,0.000392354375728092,6.80290986794866e-05,2048,0,2048
0.001,0.05,hadamard_paired,scgi_proxy,44.31503268994093,2.180646619434579,0.00042522584348649,6.687447275677e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_proxy,44.18521974531696,2.1935851883755206,0.00043819618589224405,6.923806253396595e-05,2048,0,2048
0.001,0.05,srht_paired,agc,43.711844725359654,2.067925004450146,0.000487243720499002,6.817719272065104e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_frozen,43.42796629746861,2.1863544854380845,0.000521792180692216,8.423380879478853e-05,2048,0,2048
0.001,0.05,dct_paired,pairwise,41.6596330425072,2.257096913718705,0.000785660219453236,0.00013600134253670545,2048,0,2048
0.001,0.05,dct_paired,scgi_proxy,41.50738417596357,2.2289375128587463,0.000812546621989866,0.00013345102943964818,2048,0,2048
0.001,0.05,hadamard_paired,none,40.38416411712069,2.2634786107680673,0.001103985841732956,0.00042679081194363437,2048,0,2048
0.001,0.05,srht_paired,none,40.32290393293052,2.0030331543468756,0.001072064176430894,0.0002039169062060152,2048,0,2048
0.001,0.05,dct_paired,none,40.089569731909876,2.0423633862098245,0.00112456769514342,0.0001725919676980048,2048,0,2048
0.001,0.05,dct_paired,scgi_frozen,34.9653349340371,2.037282485323102,0.003678232703711488,0.0006766725246934895,2048,0,2048
0.001,0.05,hadamard_paired,scgi_frozen,34.26084988048687,2.4483967262232245,0.00444682504513609,0.0014008944779489738,2048,0,2048
0.001,0.05,hadamard_paired,agc,25.02286917257602,2.0727533637258175,0.035953342824106664,0.004387499907175172,2048,0,2048
0.001,0.05,fourier_fourstep,agc,24.72520572298192,1.894519007162877,0.03885904884203307,0.006599848510782861,2048,0,2048
0.001,0.05,dct_paired,agc,24.079524037503855,1.8408364194945825,0.044536382366538535,0.0039801661365762376,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_frozen,21.24412834505758,1.7466706663697207,0.08534437230038343,0.00486948055224482,2048,0,2048
0.001,0.05,fourier_fourstep,scgi_proxy,21.129848414658245,1.7445349950105273,0.08758376499321434,0.0042680532907832976,2048,0,2048
0.001,0.05,fourier_fourstep,none,20.268837376325713,1.7065610505015856,0.10673089551847309,0.0038683735284508834,2048,0,2048
0.001,0.05,random_uniform,agc,15.257307606958209,1.6447869931300616,0.3384630989303456,0.013677371033976012,2048,0,2048
0.001,0.05,random_uniform,scgi_proxy,15.257085565729867,1.6448070648862343,0.33848046894470785,0.013680517454949885,2048,0,2048
0.001,0.05,random_uniform,scgi_frozen,15.231153993099188,1.6401560351677926,0.3405208427883217,0.014083910655129617,2048,0,2048
0.001,0.05,random_binary,agc,15.186709176833125,1.5717781274696225,0.3438759463120375,0.009956291492471096,2048,0,2048
0.001,0.05,random_binary,scgi_proxy,15.185812476137306,1.5718910428029114,0.3439439173180945,0.00985019136655801,2048,0,2048
0.001,0.05,random_binary,scgi_frozen,15.177853727714808,1.5761521307393902,0.34459288450418496,0.010466302835845433,2048,0,2048
0.001,0.05,random_binary,none,14.744567332860152,1.6468266929008135,0.38090673170720074,0.016104961908990443,2048,0,2048
0.001,0.05,random_uniform,none,14.058184597399174,1.7827780508820394,0.4472091103534318,0.03686760204910282,2048,0,2048
0.001,0.1,srht_paired,pairwise,38.67386503914275,2.2578915381242575,0.001562556495694534,0.00027091602470235535,2048,0,2048
0.001,0.1,hadamard_paired,pairwise,38.65943412383276,2.2576204811956835,0.001567676890499682,0.00027137093514415075,2048,0,2048
0.001,0.1,hadamard_paired,scgi_proxy,38.29455883748222,2.178992425959142,0.001700702316814012,0.00026644617262708547,2048,0,2048
0.001,0.1,srht_paired,scgi_proxy,38.17211332308014,2.1921704141883342,0.0017497030943373578,0.0002760376954820111,2048,0,2048
0.001,0.1,srht_paired,agc,38.08896172009033,2.1551351205546094,0.001781996046991518,0.00027248762644004493,2048,0,2048
0.001,0.1,srht_paired,scgi_frozen,37.998036817382726,2.1904144945300303,0.0018213721336108298,0.0002893573008883933,2048,0,2048
0.001,0.1,dct_paired,pairwise,35.64948891105064,2.256015298227168,0.00313496726133925,0.0005420092082907451,2048,0,2048
0.001,0.1,dct_paired,scgi_proxy,35.49760196337428,2.2274222327586153,0.003241905302901132,0.0005311892127795417,2048,0,2048
0.001,0.1,hadamard_paired,none,34.32986289830097,2.2906615822115666,0.004461033489864546,0.0017530808767084426,2048,0,2048
0.001,0.1,srht_paired,none,34.2960263749776,2.0024614287487266,0.004295028618993294,0.0008203074354013745,2048,0,2048
0.001,0.1,dct_paired,none,33.9776046222969,2.057836904385564,0.0046003542509651715,0.0007534654409576078,2048,0,2048
0.001,0.1,hadamard_paired,scgi_frozen,32.78873547746829,2.4838196931554095,0.006252180351215299,0.0019267814254276617,2048,0,2048
0.001,0.1,dct_paired,scgi_frozen,32.331487429421884,2.2065412275036493,0.006801372870073328,0.0015217503379480113,2048,0,2048
0.001,0.1,hadamard_paired,agc,24.848994413621508,2.0895997790992817,0.037443778876571514,0.0047520771095206586,2048,0,2048
0.001,0.1,fourier_fourstep,agc,24.308074549075354,1.9006915604575163,0.04269829844532391,0.006887926452430177,2048,0,2048
0.001,0.1,dct_paired,agc,23.773511913803414,1.87498801863429,0.04781273979154968,0.004551460032138834,2048,0,2048
0.001,0.1,fourier_fourstep,scgi_frozen,21.285715903220293,1.7885217631110497,0.08478041530828367,0.008180619026829332,2048,0,2048
0.001,0.1,fourier_fourstep,scgi_proxy,21.032074911765193,1.7500458018647718,0.0895963355528574,0.004740206873369539,2048,0,2048
0.001,0.1,fourier_fourstep,none,20.319713951233112,1.7285194314054748,0.10560489633525794,0.006317338614729166,2048,0,2048
0.001,0.1,random_binary,agc,15.064719284389758,1.591087024970709,0.35366459391608385,0.009949529600535016,2048,0,2048
