rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,hadamard_paired,oracle,120.0,0.0,8.153461173993756e-13,2.0928845565334503e-14,2048,0,2048
0.001,0.1,hadamard_paired,oracle,120.0,0.0,8.33375032260774e-13,3.1336128906519634e-14,2048,0,2048
0.001,0.15,hadamard_paired,oracle,120.0,0.0,8.315968716348918e-13,3.015353220742026e-14,2048,0,2048
0.001,0.3,hadamard_paired,oracle,120.0,0.0,8.67494678544883e-13,3.0216140216789046e-14,2048,0,2048
0.001,0.5,hadamard_paired,oracle,120.0,0.0,8.803325197491242e-13,8.455036518664378e-14,2048,0,2048
0.003,0.05,hadamard_paired,oracle,120.0,0.0,8.277221107914746e-13,2.1814786718233637e-14,2048,0,2048
0.003,0.1,hadamard_paired,oracle,120.0,0.0,8.425077981190557e-13,3.90420798735168e-14,2048,0,2048
0.003,0.15,hadamard_paired,oracle,120.0,0.0,8.566698225566693e-13,2.973418163790801e-14,2048,0,2048
0.003,0.3,hadamard_paired,oracle,120.0,0.0,8.855533184074849e-13,6.77261590536274e-14,2048,0,2048
0.003,0.5,hadamard_paired,oracle,120.0,0.0,8.934511499823816e-13,6.053770362776284e-14,2048,0,2048
0.01,0.05,hadamard_paired,oracle,120.0,0.0,8.264021764007209e-13,3.120203419633691e-14,2048,0,2048
0.01,0.1,hadamard_paired,oracle,120.0,0.0,8.496440840767891e-13,2.2381382286519653e-14,2048,0,2048
0.01,0.15,hadamard_paired,oracle,120.0,0.0,8.588916323453419e-13,3.2412702113794584e-14,2048,0,2048
0.01,0.3,hadamard_paired,oracle,120.0,0.0,8.781002895134076e-13,7.334157886208334e-14,2048,0,2048
0.01,0.5,hadamard_paired,oracle,120.0,0.0,8.87890145607423e-13,3.3846117078586987e-14,2048,0,2048
0.03,0.05,hadamard_paired,oracle,120.0,0.0,8.275968788690437e-13,2.99481163827895e-14,2048,0,2048
0.03,0.1,hadamard_paired,oracle,120.0,0.0,8.527574968540668e-13,2.258853014046403e-14,2048,0,2048
0.03,0.15,hadamard_paired,oracle,120.0,0.0,8.659329247373051e-13,2.5026696501208248e-14,2048,0,2048
0.03,0.3,hadamard_paired,oracle,120.0,0.0,8.786181446203258e-13,3.0058206155039966e-14,2048,0,2048
0.03,0.5,hadamard_paired,oracle,120.0,0.0,8.722287013467803e-13,5.449196463671478e-14,2048,0,2048
0.1,0.05,hadamard_paired,oracle,120.0,0.0,8.331546509300893e-13,3.1637477671505285e-14,2048,0,2048
0.1,0.1,hadamard_paired,oracle,120.0,0.0,8.485604493525799e-13,1.9315801241486938e-14,2048,0,2048
0.1,0.15,hadamard_paired,oracle,120.0,0.0,8.78950307688912e-13,3.9724650143381114e-14,2048,0,2048
0.1,0.3,hadamard_paired,oracle,120.0,0.0,8.823780187428993e-13,4.487776317627467e-14,2048,0,2048
0.1,0.5,hadamard_paired,oracle,120.0,0.0,8.904805161912026e-13,4.3134749253407333e-14,2048,0,2048
0.3,0.05,hadamard_paired,oracle,120.0,0.0,8.309442533915269e-13,3.396288461456248e-14,2048,0,2048
0.3,0.1,hadamard_paired,oracle,120.0,0.0,8.490038802311252e-13,3.904346530218732e-14,2048,0,2048
0.3,0.15,hadamard_paired,oracle,120.0,0.0,8.479686294771731e-13,2.5273481579770382e-14,2048,0,2048
0.3,0.3,hadamard_paired,oracle,120.0,0.0,8.666569809410388e-13,4.501283265535217e-14,2048,0,2048
0.3,0.5,hadamard_paired,oracle,120.0,0.0,8.698791356106527e-13,4.380126933174332e-14,2048,0,2048
1.0,0.05,hadamard_paired,oracle,120.0,0.0,8.262971516273086e-13,2.0294307572459568e-14,2048,0,2048
1.0,0.1,hadamard_paired,oracle,120.0,0.0,8.537271120811104e-13,3.256996968846778e-14,2048,0,2048
1.0,0.15,hadamard_paired,oracle,120.0,0.0,8.763702961717276e-13,2.9090207411598546e-14,2048,0,2048
1.0,0.3,hadamard_paired,oracle,120.0,0.0,8.827384472788827e-13,3.216142790949315e-14,2048,0,2048
1.0,0.5,hadamard_paired,oracle,120.0,0.0,8.81400979054386e-13,6.722786155820722e-14,2048,0,2048
3.0,0.05,hadamard_paired,oracle,120.0,0.0,8.307459693897755e-13,2.9499361237010995e-14,2048,0,2048
3.0,0.1,hadamard_paired,oracle,120.0,0.0,8.458010206677028e-13,2.015593214741585e-14,2048,0,2048
3.0,0.15,hadamard_paired,oracle,120.0,0.0,8.560597574380564e-13,2.6163171878133475e-14,2048,0,2048
3.0,0.3,hadamard_paired,oracle,120.0,0.0,8.800549940924912e-13,4.848952779114842e-14,2048,0,2048
3.0,0.5,hadamard_paired,oracle,120.0,0.0,8.785211663057126e-13,4.265179863444339e-14,2048,0,2048
10.0,0.05,hadamard_paired,oracle,120.0,0.0,8.248399322930171e-13,2.5249526601964844e-14,2048,0,2048
10.0,0.1,hadamard_paired,oracle,120.0,0.0,8.391278396077029e-13,2.5985480900501152e-14,2048,0,2048
10.0,0.15,hadamard_paired,oracle,120.0,0.0,8.591217204340659e-13,3.3264607444636324e-14,2048,0,2048
10.0,0.3,hadamard_paired,oracle,120.0,0.0,8.631335231016288e-13,5.4924458115013364e-14,2048,0,2048
10.0,0.5,hadamard_paired,oracle,120.0,0.0,8.599753799744393e-13,4.399754432247847e-14,2048,0,2048
