rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,47.36190928028533,1.3084226903152614,0.00018736170016473,2.583110630145398e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,47.35104894745298,1.2972152676173734,0.0001877657849127,2.5414762149863177e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,44.85999296774122,1.3100838461920077,0.00033334285955685997,4.617048860690488e-05,2048,257,2305
0.001,0.05,srht_paired,reference_k8,44.81492081973792,1.2856923892321028,0.00033660933191841,4.488321446676803e-05,2048,257,2305
0.001,0.05,srht_paired,pairwise,44.38188808184303,1.30778140928139,0.00037209182037529,5.116349603886609e-05,2048,0,2048
0.001,0.05,hadamard_paired,pairwise,44.364736840257606,1.303892737585097,0.00037352410338564,5.104978412880341e-05,2048,0,2048
0.001,0.05,hadamard_paired,reference_k32,44.345078582718806,1.302448179914277,0.00037519563813344,5.096736259520792e-05,2048,65,2113
0.001,0.05,dct_paired,reference_k2,44.34150201122185,1.3162428636568153,0.0003756605933599,5.2394842043936626e-05,2048,1025,3073
0.001,0.05,srht_paired,reference_k32,44.15486332500435,1.2550907704823915,0.00039147670162007,4.884916113397998e-05,2048,65,2113
0.001,0.05,hadamard_paired,scgi_proxy,44.01672500391563,1.3026660915957582,0.00040478705823279,5.602923695204688e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_proxy,43.84268607813287,1.2557640990646337,0.00042090893036169995,5.459136584408151e-05,2048,0,2048
0.001,0.05,srht_paired,agc,43.38445852799923,1.2042692822183294,0.00046713341041654006,5.492529417692456e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_frozen,43.14872377680682,1.3578225646076474,0.00049525586027764,7.519166327393352e-05,2048,0,2048
0.001,0.05,dct_paired,reference_k8,41.84198152424711,1.2998210933080674,0.00066769462043299,9.095313608862172e-05,2048,257,2305
0.001,0.05,dct_paired,reference_k32,41.37535885133339,1.2955415077930037,0.0007432725193133,0.00010014627470515896,2048,65,2113
