rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,46.814272556500256,2.073411788259154,0.00022133758202974,3.619574720591752e-05,2048,1025,3073
0.001,0.1,srht_paired,reference_k2,40.79996532039486,2.0709561246190105,0.00088399876716361,0.0001441127337010576,2048,1025,3073
0.001,0.15,srht_paired,reference_k2,37.286322148559364,2.068217314204447,0.0019850792891902202,0.00032248366780213356,2048,1025,3073
0.001,0.3,srht_paired,reference_k2,31.30141222440448,2.0582982923708464,0.00787284206044168,0.0012625780417191079,2048,1025,3073
0.001,0.5,srht_paired,reference_k2,26.937403320642193,2.041362509821834,0.02149321913022241,0.003369704399433173,2048,1025,3073
0.003,0.05,srht_paired,reference_k2,42.04755315237586,2.071661444976612,0.0006632893361709601,0.00010823199424606102,2048,1025,3073
0.003,0.1,srht_paired,reference_k2,36.041426333491195,2.0668688130885267,0.00264392425049637,0.00042878288151548995,2048,1025,3073
0.003,0.15,srht_paired,reference_k2,32.53966150131331,2.061225635386759,0.00592034879373585,0.0009531319302665161,2048,1025,3073
0.003,0.3,srht_paired,reference_k2,26.61184729820028,2.0395245685714913,0.02316501260487116,0.003622822022921698,2048,1025,3073
0.003,0.5,srht_paired,reference_k2,22.36978669869303,2.0012042957052714,0.06145198492253738,0.009106108377978313,2048,1025,3073
0.01,0.05,srht_paired,reference_k2,36.83072140580954,2.0678370350571655,0.00220462103795358,0.0003580159817349799,2048,1025,3073
0.01,0.1,srht_paired,reference_k2,30.849129911966003,2.057191261840163,0.00873666573254242,0.0013992185421645995,2048,1025,3073
0.01,0.15,srht_paired,reference_k2,27.384437092348254,2.0438930595967153,0.01939248120071843,0.003051093898967509,2048,1025,3073
0.01,0.3,srht_paired,reference_k2,21.6357739094563,1.990971994554724,0.0727458487092907,0.010620075595924636,2048,1025,3073
0.01,0.5,srht_paired,reference_k2,17.7541905484803,1.9024393912211428,0.17738949496226467,0.022497544590527763,2048,1025,3073
0.03,0.05,srht_paired,reference_k2,32.08788844058953,2.0605252015263806,0.006569289304796879,0.0010569575454298364,2048,1025,3073
0.03,0.1,srht_paired,reference_k2,26.169151757434115,2.0371630843430486,0.025649171013685558,0.003999434995419424,2048,1025,3073
0.03,0.15,srht_paired,reference_k2,22.800057499985417,2.007084248662007,0.05566557383735008,0.008320771091660637,2048,1025,3073
0.03,0.3,srht_paired,reference_k2,17.485136006420475,1.8937632203017762,0.18868620627915128,0.023574395941402853,2048,1025,3073
0.03,0.5,srht_paired,reference_k2,14.330910263590212,1.741919896245437,0.38882740490580353,0.035739606784866394,2048,1025,3073
0.1,0.05,srht_paired,reference_k2,26.95039667820032,2.0424126763387624,0.02143023222761479,0.003367591250854938,2048,1025,3073
0.1,0.1,srht_paired,reference_k2,21.227738819436773,1.9854851552604837,0.07990029562897878,0.011574174744753174,2048,1025,3073
0.1,0.15,srht_paired,reference_k2,18.141605459257597,1.9156151198492206,0.16230526253087882,0.021044293118861048,2048,1025,3073
0.1,0.3,srht_paired,reference_k2,13.876490324122974,1.7114119735881173,0.4314827215499009,0.036705372051861015,2048,1025,3073
0.1,0.5,srht_paired,reference_k2,11.925434377205907,1.544520255977845,0.6747260671675883,0.033071316085689625,2048,1025,3073
0.3,0.05,srht_paired,reference_k2,22.463149493458364,2.0054972472007666,0.06015559425221441,0.008983228645129055,2048,1025,3073
0.3,0.1,srht_paired,reference_k2,17.19818498366741,1.8864250075208773,0.2015368909268945,0.024816616151520175,2048,1025,3073
0.3,0.15,srht_paired,reference_k2,14.67480977298878,1.7660453726514251,0.35937215571878756,0.034711264103255375,2048,1025,3073
0.3,0.3,srht_paired,reference_k2,11.84706488919105,1.537914398918602,0.6869499760693437,0.03218100875418866,2048,1025,3073
0.3,0.5,srht_paired,reference_k2,10.874182374444034,1.4314481826815837,0.8588119447045077,0.020660179451595276,2048,1025,3073
1.0,0.05,srht_paired,reference_k2,18.406308217594944,1.935376467984428,0.1527937473418221,0.020466942841874416,2048,1025,3073
1.0,0.1,srht_paired,reference_k2,14.060393119656315,1.7380393501957914,0.4137632918744944,0.03721258732269982,2048,1025,3073
1.0,0.15,srht_paired,reference_k2,12.364908707885627,1.5998531250325592,0.6101071051115705,0.03626604578760339,2048,1025,3073
